travel_time,id,kind,action,origin,destination,start_time,reward,reward_right
3.9833333333333334,3,AV,1,1,0,1818,-3.9833333333333334,
2.2666666666666666,4,AV,0,1,1,1842,-2.2666666666666666,
1.8666666666666667,1,AV,2,0,1,1807,-1.8666666666666667,
3.2333333333333334,2,AV,1,1,0,1065,-3.2333333333333334,
2.0,0,Human,1,0,1,1022,-2.0,-1.9833333333333334
4.433333333333334,5,Human,2,0,0,2100,-4.433333333333334,-3.45
1.75,6,Human,2,0,1,1598,-1.75,-1.7166666666666666
1.7666666666666666,7,Human,1,0,1,525,-1.7666666666666666,-1.7833333333333334
