id,start_time,origin,destination,kind
289,515,22,20,Human
290,516,16,45,Human
291,517,16,10,Human
292,521,7,1,Human
293,521,16,46,Human
294,522,7,4,Human
295,524,11,20,Human
296,524,4,5,Human
297,525,17,5,Human
298,528,11,47,Human
299,529,11,5,Human
300,531,51,20,Human
301,533,4,20,Human
302,534,4,5,Human
303,536,4,5,Human
304,537,11,20,Human
305,541,17,5,Human
306,546,11,20,Human
307,547,11,20,Human
308,548,17,5,Human
309,549,11,5,Human
310,551,11,5,Human
311,552,4,5,Human
312,555,52,20,Human
313,562,0,2,Human
314,563,0,3,Human
315,564,0,3,Human
316,565,0,2,Human
317,572,0,3,Human
318,573,11,20,Human
319,578,8,48,Human
320,579,36,16,Human
321,588,39,9,Human
322,593,8,49,Human
323,593,4,50,Human
324,599,4,5,Human
325,600,17,5,Human
326,603,16,10,Human
327,606,16,5,Human
328,607,7,10,Human
329,610,7,9,Human
330,611,7,10,Human
331,613,7,9,Human
332,614,7,10,Human
333,615,0,51,Human
334,616,7,10,Human
335,616,53,52,Human
336,618,7,9,Human
337,622,54,1,Human
338,634,11,20,Human
339,637,11,4,Human
340,645,55,20,Human
341,645,17,5,Human
342,652,56,10,Human
343,653,57,15,Human
344,667,0,53,Human
345,667,7,10,Human
346,670,0,2,Human
347,673,24,54,Human
348,674,58,3,Human
349,675,7,10,Human
350,676,4,40,Human
351,676,8,10,Human
352,676,7,10,Human
353,678,7,9,Human
354,679,0,3,Human
355,680,7,55,Human
356,680,13,56,Human
357,680,0,3,Human
358,680,0,3,Human
359,681,8,10,Human
360,682,1,57,Human
361,684,7,10,Human
362,686,59,10,Human
363,686,7,10,Human
364,686,17,5,Human
365,688,7,4,Human
366,691,7,9,Human
367,692,7,58,Human
368,693,47,2,Human
369,694,60,5,Human
370,694,7,10,Human
371,695,22,9,Human
372,696,7,9,Human
373,697,7,9,Human
374,699,7,9,Human
375,706,0,3,Human
376,707,7,9,Human
377,710,7,10,Human
378,711,7,10,Human
379,714,17,5,Human
380,715,61,2,Human
381,721,62,2,Human
382,726,11,3,Human
383,726,63,5,Human
384,729,64,1,Human
385,729,0,59,Human
386,732,11,3,Human
387,733,65,2,Human
388,736,66,1,Human
389,738,16,12,Human
390,741,4,5,Human
391,746,67,5,Human
392,751,68,2,Human
393,752,69,12,Human
394,752,70,3,Human
395,752,16,5,Human
396,761,32,5,Human
397,767,17,5,Human
398,769,7,4,Human
399,770,7,9,Human
400,772,7,4,Human
401,774,7,9,Human
402,775,0,5,Human
403,775,4,4,Human
404,775,7,4,Human
405,776,0,2,Human
406,777,7,10,Human
407,778,0,3,Human
408,779,7,9,Human
409,779,11,60,Human
410,780,0,5,Human
411,780,7,9,Human
412,780,1,10,Human
413,782,1,4,Human
414,782,7,4,Human
415,783,4,4,Human
416,784,7,10,Human
417,786,7,4,Human
418,787,0,23,Human
419,788,7,10,Human
420,789,11,3,Human
421,794,0,2,Human
422,794,0,5,Human
423,794,11,3,Human
424,796,0,5,Human
425,797,0,3,Human
426,798,8,16,Human
427,801,0,5,Human
428,802,0,5,Human
429,803,0,5,Human
430,803,1,1,Human
431,804,0,5,Human
432,805,0,3,Human
433,807,0,5,Human
434,807,0,5,Human
435,811,0,2,Human
436,814,1,10,Human
437,815,1,1,Human
438,816,17,5,Human
439,816,71,2,Human
440,817,1,1,Human
441,818,17,5,Human
442,818,0,2,Human
443,820,4,20,Human
444,822,1,10,Human
445,822,0,61,Human
446,824,0,62,Human
447,832,72,20,Human
448,833,73,2,Human
449,840,8,63,Human
450,851,17,5,Human
451,851,64,64,Human
452,852,4,20,Human
453,853,4,4,Human
454,856,8,65,Human
455,859,4,3,Human
456,860,1,1,Human
457,861,17,5,Human
458,861,13,39,Human
459,861,7,9,Human
460,862,74,10,Human
461,862,1,10,Human
462,864,1,10,Human
463,866,1,1,Human
464,869,75,1,Human
465,870,7,1,Human
466,870,1,1,Human
467,873,7,66,Human
468,874,21,39,Human
469,875,4,2,Human
470,876,1,1,Human
471,877,4,4,Human
472,878,4,12,Human
473,884,67,67,Human
474,887,17,5,Human
475,887,1,10,Human
476,889,8,68,Human
477,890,1,10,Human
478,892,1,1,Human
479,894,8,0,Human
480,894,1,1,Human
481,895,0,4,Human
482,895,11,69,Human
483,896,8,70,Human
484,896,1,1,Human
485,897,0,5,Human
486,898,4,5,Human
487,898,0,5,Human
488,899,76,20,Human
489,899,1,1,Human
490,900,4,5,Human
491,901,77,10,Human
492,901,0,52,Human
493,902,0,12,Human
494,903,0,5,Human
495,904,0,2,Human
496,905,0,2,Human
497,905,4,5,Human
498,907,4,5,Human
499,907,0,2,Human
500,908,4,5,Human
501,911,0,5,Human
502,911,0,3,Human
503,912,1,10,Human
504,913,0,5,Human
505,918,1,1,Human
506,920,0,5,Human
507,921,16,71,Human
508,922,0,3,Human
509,923,0,5,Human
510,923,0,72,Human
511,925,0,12,Human
512,930,0,5,Human
513,931,78,5,Human
514,931,24,10,Human
515,932,0,3,Human
516,938,1,73,Human
517,942,79,1,Human
518,942,80,3,Human
519,944,81,2,Human
520,948,1,1,Human
521,953,1,74,Human
522,955,1,10,Human
523,957,1,10,Human
524,957,4,5,Human
525,959,1,75,Human
526,964,1,1,Human
527,966,1,1,Human
528,968,1,1,Human
529,969,4,5,Human
530,970,1,1,Human
531,973,11,3,Human
532,973,1,1,Human
533,974,0,2,Human
534,976,82,1,Human
535,978,11,3,Human
536,981,55,5,Human
537,984,4,5,Human
538,984,11,2,Human
539,989,0,3,Human
540,990,11,5,Human
541,994,11,3,Human
542,999,11,4,Human
543,1000,1,10,Human
544,1000,11,5,Human
545,1002,4,5,Human
546,1002,11,5,Human
547,1002,1,1,Human
548,1003,83,1,Human
549,1004,1,10,Human
550,1004,11,5,Human
551,1005,11,5,Human
552,1007,11,5,Human
553,1007,0,2,Human
554,1009,0,2,Human
555,1010,11,55,Human
556,1011,0,2,Human
557,1014,17,3,Human
558,1016,4,76,Human
559,1019,84,1,Human
560,1020,0,77,Human
561,1024,16,5,Human
562,1029,11,2,Human
563,1033,4,52,Human
564,1039,1,10,Human
565,1041,1,10,Human
566,1044,1,1,Human
567,1046,1,1,Human
568,1047,4,5,Human
569,1048,1,10,Human
570,1050,8,78,Human
571,1052,4,5,Human
572,1054,85,2,Human
573,1055,1,1,Human
574,1055,11,5,Human
575,1056,1,10,Human
576,1058,1,1,Human
577,1060,21,79,Human
578,1061,86,3,Human
579,1062,1,10,Human
580,1062,21,80,Human
581,1064,1,1,Human
582,1064,7,1,Human
583,1065,1,81,Human
584,1066,11,5,Human
585,1070,0,3,Human
586,1070,7,1,Human
587,1071,51,3,Human
588,1075,13,82,Human
589,1075,17,16,Human
590,1078,4,5,Human
591,1078,13,4,Human
592,1080,4,5,Human
593,1081,4,12,Human
594,1084,4,2,Human
595,1085,4,3,Human
596,1090,87,5,Human
597,1090,17,5,Human
598,1091,88,5,Human
599,1092,4,3,Human
600,1092,11,3,Human
601,1095,11,83,Human
602,1098,11,3,Human
603,1100,11,3,Human
604,1105,1,10,Human
605,1107,89,2,Human
606,1107,1,1,Human
607,1109,90,9,Human
608,1110,17,5,Human
609,1113,16,30,Human
610,1117,91,1,Human
611,1118,4,3,Human
612,1119,92,2,Human
613,1121,4,3,Human
614,1123,4,3,Human
615,1124,0,2,Human
616,1124,4,84,Human
617,1126,4,85,Human
618,1128,0,3,Human
619,1131,17,20,Human
620,1132,11,3,Human
621,1133,17,86,Human
622,1139,93,2,Human
623,1140,4,2,Human
624,1140,27,2,Human
625,1140,16,87,Human
626,1144,11,3,Human
627,1152,94,3,Human
628,1152,4,3,Human
629,1155,4,3,Human
630,1157,16,9,Human
631,1158,0,12,Human
632,1158,4,3,Human
633,1158,16,9,Human
634,1158,11,3,Human
635,1163,95,1,Human
636,1164,4,88,Human
637,1164,0,3,Human
638,1167,96,3,Human
639,1167,51,3,Human
640,1173,97,3,Human
641,1173,53,9,Human
642,1173,4,3,Human
643,1173,11,4,Human
644,1175,11,2,Human
645,1176,4,3,Human
646,1177,4,76,Human
647,1179,11,2,Human
648,1182,0,3,Human
649,1192,4,3,Human
