origins,destinations,path_index,free_flow_time
0,0,0,2.676753608734223
0,0,1,3.1231092436974786
0,0,2,3.4014805922368945
1,0,0,2.4291822579616906
1,0,1,2.5935822696442314
1,0,2,2.4149739828589927
0,1,0,1.319327731092437
0,1,1,1.3048219287715086
0,1,2,1.573329331732693
1,1,0,1.7841136454581834
1,1,1,1.7006771030946575
1,1,2,1.7845936070612551
