travel_time,id,kind,action,origin,destination,start_time,reward,reward_right,cost_table
0.65,0,Human,0,0,0,12,-0.65,-0.65,"-0.6473665156671748,-0.8862385066666668"
0.65,1,Human,0,0,0,35,-0.65,-0.65,"-0.7339573290004447,-0.9340124160000003"
0.55,2,Human,0,0,0,7,-0.55,-0.55,"-0.538441166852281,-0.7901082453333335"
0.7,3,Human,0,0,0,44,-0.7,-0.7,"-0.7868987506454537,-1.0578938424251736"
0.6333333333333333,4,Human,0,0,0,28,-0.6333333333333333,-0.6333333333333333,"-0.688429659025097,-0.9527633080320002"
0.4666666666666667,5,Human,0,0,0,3,-0.4666666666666667,-0.4666666666666667,"-0.4649036498463954,-0.7044243200000001"
0.7333333333333333,6,Human,0,0,0,40,-0.7333333333333333,-0.7333333333333333,"-0.8048697161931158,-1.0275514538666668"
0.6833333333333333,7,Human,0,0,0,22,-0.6833333333333333,-0.6833333333333333,"-0.7126088508308374,-0.9890938282666668"
0.6666666666666666,8,Human,0,0,0,49,-0.6666666666666666,-0.6666666666666666,"-0.756998750273746,-1.0499043103266135"
0.6333333333333333,9,Human,0,0,0,18,-0.6333333333333333,-0.6333333333333333,"-0.636876958692843,-0.9404299349333335"
0.5666666666666667,10,Human,0,0,0,10,-0.5666666666666667,-0.5666666666666667,"-0.5690378756914907,-0.7207018666666668"
0.6833333333333333,11,Human,0,0,0,50,-0.6833333333333333,-0.6833333333333333,"-0.8090141397429985,-0.9961246475878403"
0.6333333333333333,12,Human,0,0,0,15,-0.6333333333333333,-0.6333333333333333,"-0.6233141047798318,-0.8727864917333336"
0.65,13,Human,0,0,0,20,-0.65,-0.65,"-0.6579240912263684,-0.8540051200000002"
0.65,14,Human,0,0,0,25,-0.65,-0.65,"-0.6905518616774479,-0.9624776297813336"
0.65,15,Human,0,0,0,30,-0.65,-0.65,"-0.6778428485577466,-0.947326724778667"
0.5,16,Human,0,0,0,5,-0.5,-0.5,"-0.5007484028086057,-0.8287116117333335"
0.65,17,Human,0,0,0,32,-0.65,-0.65,"-0.72553230248593,-0.958943300676267"
0.55,18,Human,0,0,0,8,-0.55,-0.55,"-0.5518035408298994,-0.7383018666666669"
0.6833333333333333,19,Human,0,0,0,38,-0.6833333333333333,-0.6833333333333333,"-0.7503005534742252,-0.9708269482666669"
