id,q-table
930,-9.54  0.00  0.00
931,-17.82  0.00  0.00
932,0.00  -7.30  0.00
933,-13.14  0.00  0.00
934,-7.96  0.00  0.00
935,-20.28  0.00  0.00
936,0.00  -9.84  0.00
937,-11.46  0.00  0.00
938,0.00  -16.61  0.00
939,-16.02  0.00  0.00
940,0.00  -14.22  0.00
941,0.00  -10.56  0.00
942,0.00  -24.13  0.00
943,-11.49  0.00  0.00
944,-13.07  0.00  0.00
945,-11.60  0.00  0.00
946,-5.24  0.00  0.00
947,-12.36  0.00  0.00
948,-13.66  0.00  0.00
949,0.00  0.00  -18.56
950,0.00  0.00  -15.55
951,0.00  0.00  -9.07
952,-9.36  0.00  0.00
953,0.00  0.00  -7.29
954,-10.30  0.00  0.00
955,0.00  -8.88  0.00
956,0.00  0.00  -10.09
957,-12.65  0.00  0.00
958,0.00  0.00  -10.20
959,-13.52  0.00  0.00
960,-11.99  0.00  0.00
961,-12.43  0.00  0.00
962,-5.39  0.00  0.00
963,0.00  0.00  -11.24
964,0.00  -8.20  0.00
965,-10.45  0.00  0.00
966,0.00  0.00  -8.18
967,-17.19  0.00  0.00
968,0.00  -10.40  0.00
969,-10.45  0.00  0.00
970,0.00  0.00  -14.69
971,0.00  0.00  -8.79
972,0.00  -5.84  0.00
973,-11.93  0.00  0.00
974,-9.38  0.00  0.00
975,-12.86  0.00  0.00
976,0.00  0.00  -16.02
977,0.00  0.00  -4.61
978,0.00  0.00  -8.36
979,0.00  -17.72  0.00
980,0.00  0.00  -7.55
981,0.00  -8.97  0.00
982,-20.50  0.00  0.00
983,-10.99  0.00  0.00
984,0.00  -13.58  0.00
985,0.00  -6.67  0.00
986,-9.24  0.00  0.00
987,0.00  -9.78  0.00
988,0.00  0.00  -8.81
989,-9.67  0.00  0.00
990,0.00  0.00  -12.19
991,0.00  -13.30  0.00
992,-8.41  0.00  0.00
993,-5.80  0.00  0.00
994,-16.71  0.00  0.00
995,0.00  -14.33  0.00
996,0.00  -14.63  0.00
997,-5.26  0.00  0.00
998,0.00  -10.73  0.00
999,0.00  -9.56  0.00
1000,-14.96  0.00  0.00
1001,0.00  0.00  -12.50
1002,-17.36  0.00  0.00
1003,0.00  -20.92  0.00
1004,0.00  0.00  -16.34
1005,0.00  -6.77  0.00
1006,0.00  -10.83  0.00
1007,-18.24  0.00  0.00
1008,0.00  0.00  -8.26
1009,0.00  0.00  -12.73
1010,0.00  -20.34  0.00
1011,0.00  0.00  -8.61
1012,0.00  -11.16  0.00
1013,0.00  0.00  -13.99
1014,-8.13  0.00  0.00
1015,0.00  -12.97  0.00
1016,-10.08  0.00  0.00
1017,0.00  -8.85  0.00
1018,0.00  -15.68  0.00
1019,-11.78  0.00  0.00
1020,0.00  -15.75  0.00
1021,-8.03  0.00  0.00
1022,-14.21  0.00  0.00
1023,-14.10  0.00  0.00
1024,0.00  0.00  -17.53
1025,-5.63  0.00  0.00
1026,0.00  0.00  -21.20
1027,-8.64  0.00  0.00
1028,-9.02  0.00  0.00
1029,0.00  -20.78  0.00
1030,0.00  -8.14  0.00
1031,0.00  0.00  -17.50
1032,0.00  -9.29  0.00
1033,-13.83  0.00  0.00
1034,0.00  0.00  -9.72
1035,0.00  -9.48  0.00
1036,-6.19  0.00  0.00
1037,0.00  -13.66  0.00
1038,-7.86  0.00  0.00
1039,0.00  -10.00  0.00
1040,0.00  0.00  -15.34
1041,-5.49  0.00  0.00
1042,-9.45  0.00  0.00
1043,-18.06  0.00  0.00
1044,-20.47  0.00  0.00
1045,-14.67  0.00  0.00
1046,-7.90  0.00  0.00
1047,-20.26  0.00  0.00
1048,0.00  -23.14  0.00
1049,-8.02  0.00  0.00
1050,-10.65  0.00  0.00
1051,0.00  -14.26  0.00
1052,0.00  0.00  -9.45
1053,0.00  0.00  -16.33
1054,0.00  -12.01  0.00
1055,0.00  0.00  -7.21
1056,0.00  -17.96  0.00
1057,-9.39  0.00  0.00
1058,-6.01  0.00  0.00
1059,0.00  0.00  -9.29
1060,0.00  0.00  -6.66
1061,0.00  0.00  -14.82
1062,0.00  0.00  -6.42
1063,-10.27  0.00  0.00
1064,-19.86  0.00  0.00
1065,0.00  -21.11  0.00
1066,-9.62  0.00  0.00
1067,0.00  0.00  -22.70
1068,0.00  0.00  -17.03
1069,-14.31  0.00  0.00
1070,0.00  0.00  -8.20
1071,0.00  0.00  -6.36
1072,0.00  0.00  -21.85
1073,-10.77  0.00  0.00
1074,-9.89  0.00  0.00
1075,-5.47  0.00  0.00
1076,0.00  -12.71  0.00
1077,0.00  0.00  -10.89
1078,0.00  -17.66  0.00
1079,0.00  -22.21  0.00
1080,-7.19  0.00  0.00
1081,0.00  -16.20  0.00
1082,0.00  0.00  -12.61
1083,-20.97  0.00  0.00
1084,0.00  -13.34  0.00
1085,0.00  -6.91  0.00
1086,-8.16  0.00  0.00
1087,0.00  -23.07  0.00
1088,-10.17  0.00  0.00
1089,0.00  0.00  -11.86
1090,0.00  0.00  -15.36
1091,-18.95  0.00  0.00
1092,-12.74  0.00  0.00
1093,-11.54  0.00  0.00
1094,-7.33  0.00  0.00
1095,0.00  -7.92  0.00
1096,-12.11  0.00  0.00
1097,-19.95  0.00  0.00
1098,-6.64  0.00  0.00
1099,0.00  0.00  -14.82
1100,0.00  -11.31  0.00
1101,0.00  -18.51  0.00
1102,0.00  -19.51  0.00
1103,0.00  0.00  -12.62
1104,-6.42  0.00  0.00
1105,-9.17  0.00  0.00
1106,-6.62  0.00  0.00
1107,0.00  0.00  -9.86
1108,-13.59  0.00  0.00
1109,0.00  -12.48  0.00
1110,0.00  0.00  -11.35
1111,-10.82  0.00  0.00
1112,0.00  -7.08  0.00
1113,-15.63  0.00  0.00
1114,0.00  -7.36  0.00
1115,-14.18  0.00  0.00
1116,0.00  -20.38  0.00
1117,-14.13  0.00  0.00
1118,-5.23  0.00  0.00
1119,0.00  -12.81  0.00
1120,0.00  -8.96  0.00
1121,0.00  0.00  -7.10
1122,-6.13  0.00  0.00
1123,0.00  0.00  -14.48
1124,0.00  -19.31  0.00
1125,0.00  -11.24  0.00
1126,-14.51  0.00  0.00
1127,-10.57  0.00  0.00
1128,0.00  -13.05  0.00
1129,-7.89  0.00  0.00
1130,0.00  -11.66  0.00
1131,-12.03  0.00  0.00
1132,-8.08  0.00  0.00
1133,-12.78  0.00  0.00
1134,0.00  -10.52  0.00
1135,-13.88  0.00  0.00
1136,-9.13  0.00  0.00
1137,0.00  -21.23  0.00
1138,0.00  -16.30  0.00
1139,0.00  0.00  -11.78
1140,-10.33  0.00  0.00
1141,-5.47  0.00  0.00
1142,-10.09  0.00  0.00
1143,-9.55  0.00  0.00
1144,0.00  -8.20  0.00
1145,-11.07  0.00  0.00
1146,0.00  0.00  -8.30
1147,-15.96  0.00  0.00
1148,0.00  -10.48  0.00
1149,0.00  -8.29  0.00
1150,-11.38  0.00  0.00
1151,-7.11  0.00  0.00
1152,0.00  0.00  -17.57
1153,-13.96  0.00  0.00
1154,0.00  -8.07  0.00
1155,0.00  -18.20  0.00
1156,-10.34  0.00  0.00
1157,0.00  0.00  -12.32
1158,-17.73  0.00  0.00
1159,-17.34  0.00  0.00
1160,-10.05  0.00  0.00
1161,0.00  -10.83  0.00
1162,0.00  0.00  -13.64
1163,0.00  -9.90  0.00
1164,-21.46  0.00  0.00
1165,0.00  -11.03  0.00
1166,-21.51  0.00  0.00
1167,-5.03  0.00  0.00
1168,0.00  0.00  -4.99
1169,0.00  -10.35  0.00
1170,0.00  -10.88  0.00
1171,0.00  0.00  -15.36
1172,0.00  0.00  -11.67
1173,0.00  0.00  -11.39
1174,-13.53  0.00  0.00
1175,-10.93  0.00  0.00
1176,0.00  -10.75  0.00
1177,0.00  0.00  -10.32
1178,-10.91  0.00  0.00
1179,0.00  0.00  -6.46
1180,-4.36  0.00  0.00
1181,0.00  0.00  -10.51
1182,-11.99  0.00  0.00
1183,0.00  -16.33  0.00
1184,-10.09  0.00  0.00
1185,-17.39  0.00  0.00
1186,0.00  0.00  -9.84
1187,-14.11  0.00  0.00
1188,0.00  -5.12  0.00
1189,-10.23  0.00  0.00
1190,-10.28  0.00  0.00
1191,-5.97  0.00  0.00
1192,-11.75  0.00  0.00
1193,0.00  -11.41  0.00
1194,0.00  0.00  -8.75
1195,0.00  0.00  -15.54
1196,-15.89  0.00  0.00
1197,-8.41  0.00  0.00
1198,0.00  -11.40  0.00
1199,-11.64  0.00  0.00
