id,q-table
209,-20.71  0.00  0.00
210,0.00  -10.94  0.00
211,0.00  -8.67  0.00
212,0.00  -9.77  0.00
213,-9.06  0.00  0.00
214,-23.15  0.00  0.00
215,0.00  0.00  -11.40
216,0.00  -15.94  0.00
217,0.00  0.00  -10.29
218,0.00  -9.04  0.00
219,0.00  0.00  -11.30
220,0.00  -5.43  0.00
221,-14.26  0.00  0.00
222,0.00  0.00  -13.84
223,0.00  0.00  -9.72
224,-5.55  0.00  0.00
225,-6.90  0.00  0.00
226,0.00  0.00  -14.51
227,-14.51  0.00  0.00
228,0.00  -12.98  0.00
229,-7.50  0.00  0.00
230,-4.38  0.00  0.00
231,-10.08  0.00  0.00
232,-18.51  0.00  0.00
233,-12.43  0.00  0.00
234,0.00  0.00  -15.66
235,0.00  0.00  -6.18
236,0.00  -13.88  0.00
237,-5.99  0.00  0.00
238,-9.54  0.00  0.00
239,-5.00  0.00  0.00
240,-13.28  0.00  0.00
241,-12.17  0.00  0.00
242,0.00  -6.47  0.00
243,-15.96  0.00  0.00
244,-5.43  0.00  0.00
245,0.00  0.00  -10.88
246,0.00  -10.86  0.00
247,0.00  0.00  -16.63
248,0.00  0.00  -6.84
249,0.00  0.00  -10.79
250,-4.92  0.00  0.00
251,-18.11  0.00  0.00
252,0.00  -7.45  0.00
253,-14.83  0.00  0.00
254,-21.54  0.00  0.00
255,-5.84  0.00  0.00
256,-14.26  0.00  0.00
257,0.00  -15.16  0.00
258,-15.38  0.00  0.00
259,0.00  0.00  -13.27
260,0.00  -18.36  0.00
261,0.00  -15.93  0.00
262,-5.99  0.00  0.00
263,-13.51  0.00  0.00
264,0.00  -11.63  0.00
265,-12.71  0.00  0.00
266,0.00  0.00  -15.51
267,0.00  0.00  -13.41
268,-6.50  0.00  0.00
269,-6.32  0.00  0.00
270,0.00  0.00  -9.55
271,-10.15  0.00  0.00
272,0.00  0.00  -14.15
273,-12.20  0.00  0.00
274,0.00  0.00  -12.23
275,0.00  0.00  -7.04
276,-12.48  0.00  0.00
277,-9.78  0.00  0.00
278,0.00  -8.52  0.00
279,-14.58  0.00  0.00
280,0.00  0.00  -15.79
281,0.00  0.00  -8.30
282,0.00  -22.25  0.00
283,0.00  0.00  -12.66
284,-17.26  0.00  0.00
285,0.00  -13.02  0.00
286,-17.58  0.00  0.00
287,0.00  -9.41  0.00
288,0.00  -10.26  0.00
289,-12.81  0.00  0.00
290,0.00  0.00  -8.66
291,0.00  0.00  -21.98
292,-21.52  0.00  0.00
293,0.00  0.00  -17.04
294,-11.24  0.00  0.00
295,0.00  -8.98  0.00
296,0.00  0.00  -12.36
297,-7.10  0.00  0.00
298,-10.44  0.00  0.00
299,0.00  -12.97  0.00
300,0.00  -8.04  0.00
301,-6.05  0.00  0.00
302,0.00  0.00  -10.89
303,-12.79  0.00  0.00
304,-8.05  0.00  0.00
305,0.00  -6.73  0.00
306,-9.99  0.00  0.00
307,0.00  -13.99  0.00
308,-6.11  0.00  0.00
309,-10.69  0.00  0.00
310,-5.06  0.00  0.00
311,0.00  0.00  -10.30
312,0.00  0.00  -8.08
313,0.00  0.00  -20.83
314,0.00  0.00  -15.20
315,-14.33  0.00  0.00
316,0.00  -7.97  0.00
317,0.00  -12.34  0.00
318,-18.24  0.00  0.00
