id,epsilon,q_table
735,0.79,0.00  -5.39  0.00
736,0.75,-11.41  0.00  0.00
737,0.96,0.00  0.00  -18.43
738,0.73,0.00  0.00  -8.16
739,0.70,-8.99  0.00  0.00
740,0.94,-8.13  0.00  0.00
741,0.82,0.00  -8.52  0.00
742,0.79,0.00  0.00  -10.38
743,0.78,-17.36  0.00  0.00
744,0.82,-15.59  0.00  0.00
745,0.65,-4.95  0.00  0.00
746,0.81,-5.39  0.00  0.00
747,0.66,0.00  -10.98  0.00
748,0.70,0.00  0.00  -16.77
749,0.93,0.00  -12.13  0.00
750,0.88,0.00  0.00  -13.16
751,0.71,0.00  0.00  -24.61
752,0.72,0.00  0.00  -9.47
753,0.91,0.00  0.00  -16.86
754,0.86,0.00  -11.35  0.00
755,0.79,0.00  -21.26  0.00
756,0.79,0.00  0.00  -10.82
757,0.75,0.00  -12.27  0.00
758,0.69,0.00  0.00  -8.21
759,0.73,0.00  -16.60  0.00
760,0.95,-15.46  0.00  0.00
761,0.75,-9.44  0.00  0.00
762,0.78,-17.85  0.00  0.00
763,0.93,0.00  -9.34  0.00
764,0.65,-8.14  0.00  0.00
765,0.82,0.00  0.00  -8.80
766,0.88,0.00  0.00  -11.09
767,0.85,0.00  0.00  -7.67
768,0.73,0.00  -15.65  0.00
769,0.64,-7.09  0.00  0.00
770,0.66,0.00  0.00  -13.04
771,0.90,0.00  0.00  -17.45
772,0.96,0.00  0.00  -10.05
773,0.88,0.00  -7.89  0.00
774,0.77,0.00  0.00  -10.51
775,0.69,0.00  0.00  -11.66
776,0.67,-11.64  0.00  0.00
777,0.66,-14.10  0.00  0.00
778,0.82,0.00  -13.58  0.00
779,0.89,0.00  -11.62  0.00
780,0.67,-11.10  0.00  0.00
781,0.70,0.00  0.00  -7.22
782,0.66,0.00  0.00  -18.04
783,0.72,0.00  0.00  -7.58
784,0.81,0.00  0.00  -6.36
785,0.81,0.00  0.00  -14.70
786,0.86,-12.55  0.00  0.00
787,0.86,-13.77  0.00  0.00
788,0.83,0.00  -18.35  0.00
789,0.90,0.00  0.00  -9.47
790,0.83,0.00  0.00  -10.15
791,0.83,0.00  -12.47  0.00
792,0.79,0.00  0.00  -13.89
793,0.65,-15.60  0.00  0.00
794,0.66,0.00  0.00  -20.24
795,0.82,-12.30  0.00  0.00
796,0.91,0.00  0.00  -12.93
797,0.68,0.00  0.00  -15.97
798,0.74,-12.12  0.00  0.00
799,0.87,0.00  0.00  -9.32
800,0.74,-6.24  0.00  0.00
801,0.89,0.00  -9.62  0.00
802,0.83,0.00  0.00  -9.28
803,0.85,0.00  0.00  -11.23
804,0.85,-17.91  0.00  0.00
805,0.83,-18.68  0.00  0.00
806,0.78,0.00  -9.51  0.00
807,0.87,0.00  -10.01  0.00
808,0.85,-15.11  0.00  0.00
809,0.81,-7.89  0.00  0.00
810,0.91,0.00  0.00  -5.50
811,0.77,-10.81  0.00  0.00
812,0.73,0.00  -10.80  0.00
813,0.87,-22.00  0.00  0.00
814,0.87,-8.12  0.00  0.00
815,0.83,0.00  -9.03  0.00
816,0.81,-23.22  0.00  0.00
817,0.85,0.00  0.00  -14.25
818,0.89,0.00  0.00  -13.17
819,0.81,0.00  -12.98  0.00
820,0.88,-11.54  0.00  0.00
821,0.84,0.00  0.00  -5.16
822,0.85,-8.88  0.00  0.00
823,0.88,-15.81  0.00  0.00
824,0.72,0.00  -12.06  0.00
825,0.90,-7.45  0.00  0.00
826,0.70,-8.46  0.00  0.00
827,0.85,0.00  0.00  -9.28
828,0.84,-15.81  0.00  0.00
829,0.76,0.00  -15.15  0.00
830,0.81,0.00  0.00  -9.92
831,0.80,0.00  -12.14  0.00
832,0.82,0.00  0.00  -6.63
833,0.74,0.00  0.00  -7.94
834,0.68,-12.77  0.00  0.00
835,0.68,0.00  -11.22  0.00
836,0.70,-10.29  0.00  0.00
837,0.73,-16.25  0.00  0.00
838,0.90,-22.45  0.00  0.00
839,0.89,0.00  0.00  -10.07
840,0.83,-14.02  0.00  0.00
841,0.68,0.00  -7.85  0.00
842,0.82,0.00  0.00  -9.51
843,0.69,-14.20  0.00  0.00
844,0.77,0.00  0.00  -8.93
845,0.92,-11.31  0.00  0.00
846,0.82,0.00  0.00  -9.00
847,0.88,-10.39  0.00  0.00
848,0.71,-20.13  0.00  0.00
849,0.86,0.00  0.00  -15.99
850,0.84,0.00  0.00  -17.63
851,0.70,-8.71  0.00  0.00
852,0.64,-16.99  0.00  0.00
853,0.78,-21.33  0.00  0.00
854,0.95,0.00  0.00  -10.06
855,0.71,-9.04  0.00  0.00
856,0.64,0.00  -9.56  0.00
857,0.68,-16.70  0.00  0.00
858,0.72,-4.60  0.00  0.00
859,0.77,-9.10  0.00  0.00
860,0.81,0.00  -13.69  0.00
861,0.83,0.00  -15.19  0.00
862,0.94,-10.44  0.00  0.00
863,0.67,0.00  0.00  -6.80
864,0.87,0.00  -9.32  0.00
865,0.78,-20.13  0.00  0.00
866,0.91,-10.81  0.00  0.00
867,0.87,0.00  -12.76  0.00
868,0.90,0.00  0.00  -8.17
869,0.69,0.00  -20.69  0.00
870,0.87,0.00  0.00  -11.78
871,0.81,-6.55  0.00  0.00
872,0.64,-16.63  0.00  0.00
873,0.85,-15.69  0.00  0.00
874,0.86,0.00  0.00  -16.55
875,0.77,0.00  0.00  -7.51
876,0.88,0.00  -9.73  0.00
877,0.93,0.00  -11.57  0.00
878,0.87,0.00  -8.80  0.00
879,0.71,0.00  -8.08  0.00
880,0.91,0.00  -7.37  0.00
881,0.91,0.00  0.00  -6.21
882,0.84,-15.94  0.00  0.00
883,0.88,-22.24  0.00  0.00
884,0.76,0.00  0.00  -17.44
885,0.72,-11.04  0.00  0.00
886,0.84,-10.26  0.00  0.00
887,0.85,-6.46  0.00  0.00
888,0.86,-22.07  0.00  0.00
889,0.84,-7.72  0.00  0.00
890,0.88,0.00  -13.71  0.00
891,0.91,0.00  -7.30  0.00
892,0.90,0.00  0.00  -12.05
893,0.71,-8.37  0.00  0.00
894,0.92,-10.01  0.00  0.00
895,0.84,0.00  0.00  -5.58
896,0.79,-18.06  0.00  0.00
897,0.73,0.00  0.00  -7.45
898,0.72,-7.70  0.00  0.00
899,0.82,-14.90  0.00  0.00
900,0.74,-11.42  0.00  0.00
901,0.79,0.00  -12.13  0.00
902,0.67,-11.95  0.00  0.00
903,0.66,0.00  0.00  -8.53
904,0.67,-21.40  0.00  0.00
905,0.81,0.00  0.00  -15.47
906,0.74,-15.47  0.00  0.00
907,0.81,0.00  -14.57  0.00
908,0.68,0.00  -9.11  0.00
909,0.74,0.00  -14.92  0.00
910,0.75,-18.06  0.00  0.00
911,0.93,-13.36  0.00  0.00
912,0.83,0.00  0.00  -20.74
913,0.73,-14.16  0.00  0.00
914,0.78,0.00  0.00  -6.57
915,0.84,0.00  0.00  -14.64
916,0.85,0.00  -8.14  0.00
917,0.74,0.00  -5.66  0.00
918,0.72,-9.03  0.00  0.00
919,0.76,0.00  -8.76  0.00
920,0.81,0.00  0.00  -8.56
921,0.88,0.00  -22.85  0.00
922,0.84,0.00  -10.01  0.00
923,0.78,0.00  0.00  -12.75
924,0.67,0.00  0.00  -14.81
925,0.74,-16.32  0.00  0.00
926,0.84,-13.67  0.00  0.00
927,0.94,0.00  -12.54  0.00
928,0.78,0.00  -20.46  0.00
929,0.70,0.00  -16.13  0.00
930,0.87,0.00  -7.01  0.00
931,0.88,0.00  0.00  -18.56
932,0.68,-17.80  0.00  0.00
933,0.71,0.00  0.00  -10.49
934,0.90,-7.16  0.00  0.00
935,0.79,0.00  0.00  -7.15
936,0.74,-10.99  0.00  0.00
937,0.81,0.00  -12.46  0.00
938,0.90,-16.33  0.00  0.00
939,0.71,-13.91  0.00  0.00
940,0.87,0.00  -8.92  0.00
941,0.90,0.00  0.00  -11.33
942,0.84,0.00  -14.74  0.00
943,0.71,-10.45  0.00  0.00
944,0.66,-19.16  0.00  0.00
945,0.70,-17.96  0.00  0.00
946,0.90,0.00  -13.29  0.00
947,0.69,0.00  0.00  -6.10
948,0.76,0.00  -11.65  0.00
949,0.78,-18.25  0.00  0.00
950,0.81,0.00  -19.45  0.00
951,0.69,-14.88  0.00  0.00
952,0.70,-7.51  0.00  0.00
953,0.89,-9.48  0.00  0.00
954,0.81,-6.34  0.00  0.00
955,0.74,0.00  -19.05  0.00
956,0.93,0.00  -10.04  0.00
957,0.85,0.00  0.00  -14.68
958,0.76,0.00  -14.87  0.00
959,0.69,-8.36  0.00  0.00
960,0.67,-6.39  0.00  0.00
961,0.75,-10.28  0.00  0.00
962,0.95,0.00  -12.11  0.00
963,0.67,-15.92  0.00  0.00
964,0.80,0.00  -9.78  0.00
965,0.69,-16.37  0.00  0.00
966,0.87,0.00  -8.83  0.00
967,0.74,-24.34  0.00  0.00
968,0.72,0.00  -11.61  0.00
969,0.84,0.00  -9.51  0.00
970,0.86,-13.49  0.00  0.00
971,0.82,-13.66  0.00  0.00
972,0.85,-10.08  0.00  0.00
973,0.88,-7.21  0.00  0.00
974,0.82,0.00  -7.01  0.00
975,0.80,-10.58  0.00  0.00
976,0.97,0.00  -13.06  0.00
977,0.81,0.00  -8.38  0.00
978,0.80,0.00  -13.87  0.00
979,0.89,0.00  0.00  -15.38
980,0.94,0.00  -9.70  0.00
981,0.86,0.00  0.00  -10.43
982,0.71,-5.30  0.00  0.00
983,0.71,-12.93  0.00  0.00
984,0.86,0.00  0.00  -14.20
985,0.88,0.00  -9.70  0.00
986,0.88,-14.13  0.00  0.00
987,0.66,0.00  0.00  -20.47
988,0.73,0.00  0.00  -17.39
989,0.90,0.00  0.00  -6.13
990,0.84,0.00  0.00  -17.69
991,0.89,-10.26  0.00  0.00
992,0.71,0.00  0.00  -11.48
993,0.80,0.00  0.00  -14.83
994,0.85,0.00  0.00  -11.18
995,0.70,0.00  0.00  -14.58
996,0.65,0.00  0.00  -15.96
997,0.91,0.00  0.00  -19.57
998,0.89,-12.50  0.00  0.00
999,0.92,0.00  0.00  -16.78
1000,0.76,-9.99  0.00  0.00
1001,0.82,-10.73  0.00  0.00
1002,0.74,-15.31  0.00  0.00
1003,0.85,0.00  0.00  -18.70
1004,0.72,-10.59  0.00  0.00
1005,0.92,0.00  -17.25  0.00
1006,0.73,-12.05  0.00  0.00
1007,0.86,0.00  0.00  -20.95
1008,0.78,0.00  -11.95  0.00
1009,0.70,-9.15  0.00  0.00
1010,0.73,-6.36  0.00  0.00
1011,0.91,0.00  0.00  -8.10
1012,0.83,0.00  0.00  -16.19
1013,0.96,0.00  0.00  -6.20
1014,0.68,-23.67  0.00  0.00
1015,0.76,0.00  0.00  -10.94
1016,0.79,-17.17  0.00  0.00
1017,0.82,-15.11  0.00  0.00
1018,0.85,0.00  0.00  -8.71
1019,0.93,0.00  0.00  -18.01
1020,0.70,-20.17  0.00  0.00
1021,0.79,0.00  0.00  -10.10
1022,0.79,-7.33  0.00  0.00
1023,0.76,-7.93  0.00  0.00
1024,0.71,0.00  -8.78  0.00
1025,0.92,0.00  -5.77  0.00
1026,0.76,-7.16  0.00  0.00
1027,0.87,0.00  -12.64  0.00
1028,0.66,-7.86  0.00  0.00
1029,0.89,-9.94  0.00  0.00
1030,0.79,0.00  -9.37  0.00
1031,0.96,0.00  -15.58  0.00
1032,0.92,0.00  0.00  -10.46
1033,0.81,0.00  0.00  -17.29
1034,0.71,0.00  -6.94  0.00
1035,0.69,0.00  0.00  -9.42
1036,0.76,-10.76  0.00  0.00
1037,0.93,-11.80  0.00  0.00
1038,0.68,0.00  0.00  -9.59
1039,0.71,-6.91  0.00  0.00
1040,0.87,0.00  -5.71  0.00
1041,0.78,-8.79  0.00  0.00
1042,0.85,-9.25  0.00  0.00
1043,0.78,0.00  0.00  -9.55
1044,0.79,0.00  0.00  -16.37
1045,0.84,-12.53  0.00  0.00
1046,0.86,-12.95  0.00  0.00
1047,0.79,-11.97  0.00  0.00
1048,0.68,-5.63  0.00  0.00
1049,0.73,-7.29  0.00  0.00
1050,0.67,0.00  0.00  -4.15
1051,0.84,0.00  -12.19  0.00
1052,0.72,-12.26  0.00  0.00
1053,0.96,-8.10  0.00  0.00
1054,0.70,-5.67  0.00  0.00
1055,0.89,0.00  0.00  -10.69
1056,0.73,0.00  -14.53  0.00
1057,0.90,-7.58  0.00  0.00
1058,0.80,-6.48  0.00  0.00
1059,0.75,0.00  -20.70  0.00
1060,0.86,-12.98  0.00  0.00
1061,0.75,0.00  0.00  -12.02
1062,0.84,0.00  0.00  -11.14
1063,0.78,0.00  0.00  -4.51
1064,0.74,0.00  0.00  -13.26
1065,0.83,-13.41  0.00  0.00
1066,0.72,-15.88  0.00  0.00
1067,0.73,0.00  -12.47  0.00
1068,0.88,0.00  -13.80  0.00
1069,0.67,-6.75  0.00  0.00
1070,0.79,-9.28  0.00  0.00
1071,0.94,0.00  -17.21  0.00
1072,0.70,-7.23  0.00  0.00
1073,0.82,0.00  -9.71  0.00
1074,0.71,-8.27  0.00  0.00
1075,0.66,-10.09  0.00  0.00
1076,0.71,0.00  0.00  -19.32
1077,0.80,-8.55  0.00  0.00
1078,0.87,0.00  0.00  -17.75
1079,0.67,0.00  0.00  -10.09
1080,0.89,-8.44  0.00  0.00
1081,0.93,-8.08  0.00  0.00
1082,0.83,-16.54  0.00  0.00
1083,0.72,0.00  0.00  -12.42
1084,0.73,0.00  -8.32  0.00
1085,0.71,-6.45  0.00  0.00
1086,0.90,0.00  -9.58  0.00
1087,0.69,0.00  0.00  -16.74
1088,0.93,-11.68  0.00  0.00
1089,0.85,0.00  0.00  -13.49
1090,0.92,0.00  0.00  -7.02
1091,0.93,0.00  -10.49  0.00
1092,0.68,0.00  0.00  -9.16
1093,0.79,-11.34  0.00  0.00
1094,0.83,0.00  -10.10  0.00
1095,0.73,0.00  0.00  -10.55
1096,0.74,-21.39  0.00  0.00
1097,0.85,-10.30  0.00  0.00
1098,0.96,-6.54  0.00  0.00
1099,0.73,0.00  0.00  -16.40
1100,0.81,-7.75  0.00  0.00
1101,0.86,-14.72  0.00  0.00
1102,0.93,-15.50  0.00  0.00
1103,0.93,-17.20  0.00  0.00
1104,0.75,-9.09  0.00  0.00
1105,0.83,0.00  0.00  -11.32
1106,0.75,0.00  -7.93  0.00
1107,0.73,-11.18  0.00  0.00
1108,0.91,-18.07  0.00  0.00
1109,0.77,0.00  0.00  -15.35
1110,0.69,-14.77  0.00  0.00
1111,0.69,0.00  0.00  -8.80
1112,0.69,-5.82  0.00  0.00
1113,0.75,-11.45  0.00  0.00
1114,0.75,-11.84  0.00  0.00
1115,0.76,-9.17  0.00  0.00
1116,0.92,-10.89  0.00  0.00
1117,0.73,0.00  -10.23  0.00
1118,0.84,-13.49  0.00  0.00
1119,0.84,0.00  0.00  -12.88
1120,0.68,0.00  0.00  -9.66
1121,0.84,-11.85  0.00  0.00
1122,0.73,0.00  -14.62  0.00
1123,0.72,-18.77  0.00  0.00
1124,0.90,-18.46  0.00  0.00
1125,0.70,0.00  -12.10  0.00
1126,0.84,0.00  -7.58  0.00
1127,0.89,0.00  0.00  -10.81
1128,0.88,0.00  -4.59  0.00
1129,0.84,0.00  0.00  -16.54
1130,0.66,-22.28  0.00  0.00
1131,0.80,0.00  -13.02  0.00
1132,0.76,-6.39  0.00  0.00
1133,0.68,-17.62  0.00  0.00
1134,0.83,0.00  -14.44  0.00
1135,0.73,-10.76  0.00  0.00
1136,0.80,-16.35  0.00  0.00
1137,0.88,0.00  -17.98  0.00
1138,0.68,-8.45  0.00  0.00
1139,0.65,0.00  -11.69  0.00
1140,0.73,-11.30  0.00  0.00
1141,0.67,0.00  -10.49  0.00
1142,0.77,-18.48  0.00  0.00
1143,0.84,0.00  -10.04  0.00
1144,0.73,0.00  0.00  -10.86
1145,0.77,-7.46  0.00  0.00
1146,0.69,0.00  -9.13  0.00
1147,0.92,0.00  -9.71  0.00
1148,0.71,0.00  0.00  -11.55
1149,0.72,0.00  0.00  -10.73
1150,0.81,0.00  -9.23  0.00
1151,0.70,-15.82  0.00  0.00
1152,0.83,0.00  -14.97  0.00
1153,0.92,0.00  0.00  -19.34
1154,0.64,0.00  -4.31  0.00
1155,0.90,-8.34  0.00  0.00
1156,0.82,0.00  -9.32  0.00
1157,0.71,0.00  -12.12  0.00
1158,0.82,0.00  -6.38  0.00
1159,0.87,0.00  0.00  -8.44
1160,0.75,0.00  -20.70  0.00
1161,0.65,-11.80  0.00  0.00
1162,0.93,0.00  0.00  -9.00
1163,0.94,0.00  -11.13  0.00
1164,0.76,0.00  0.00  -5.27
1165,0.66,-11.24  0.00  0.00
1166,0.72,0.00  0.00  -14.99
1167,0.73,-11.62  0.00  0.00
1168,0.69,-9.00  0.00  0.00
1169,0.74,-9.09  0.00  0.00
1170,0.89,0.00  -10.01  0.00
1171,0.69,0.00  0.00  -18.24
1172,0.72,0.00  0.00  -11.35
1173,0.85,0.00  -6.00  0.00
1174,0.88,0.00  0.00  -15.43
1175,0.90,-4.76  0.00  0.00
1176,0.83,-21.53  0.00  0.00
1177,0.70,-14.83  0.00  0.00
1178,0.73,0.00  0.00  -14.72
1179,0.80,0.00  -8.78  0.00
1180,0.76,-14.16  0.00  0.00
1181,0.74,-17.51  0.00  0.00
1182,0.77,-12.31  0.00  0.00
1183,0.91,0.00  0.00  -16.40
1184,0.87,0.00  -8.65  0.00
1185,0.87,-7.26  0.00  0.00
1186,0.76,-20.83  0.00  0.00
1187,0.83,0.00  -11.99  0.00
1188,0.78,-8.74  0.00  0.00
1189,0.68,0.00  -11.05  0.00
1190,0.69,0.00  -6.75  0.00
1191,0.82,-17.41  0.00  0.00
1192,0.93,0.00  0.00  -7.48
1193,0.70,-11.93  0.00  0.00
1194,0.76,0.00  0.00  -20.17
1195,0.81,0.00  -15.59  0.00
1196,0.79,-8.63  0.00  0.00
1197,0.87,0.00  0.00  -15.53
1198,0.94,0.00  -7.57  0.00
1199,0.70,-11.90  0.00  0.00
