id,epsilon,q_table
280,0.75,0.00  -14.34  0.00
281,0.79,-12.73  0.00  0.00
282,0.84,0.00  0.00  -14.81
283,0.90,0.00  -18.50  0.00
284,0.82,0.00  0.00  -7.13
285,0.94,-10.35  0.00  0.00
286,0.86,-7.30  0.00  0.00
287,0.73,0.00  -13.04  0.00
288,0.81,0.00  -12.56  0.00
289,0.89,-8.46  0.00  0.00
290,0.71,0.00  0.00  -10.22
291,0.90,0.00  0.00  -5.49
292,0.72,0.00  -19.49  0.00
293,0.88,0.00  -8.55  0.00
294,0.67,0.00  -21.70  0.00
295,0.74,-8.50  0.00  0.00
296,0.66,0.00  -12.16  0.00
297,0.75,0.00  -4.80  0.00
298,0.76,-17.71  0.00  0.00
299,0.67,-17.98  0.00  0.00
300,0.77,-9.69  0.00  0.00
301,0.71,0.00  0.00  -18.76
302,0.73,-7.91  0.00  0.00
303,0.67,0.00  -7.37  0.00
304,0.91,0.00  -11.51  0.00
305,0.88,0.00  -9.87  0.00
306,0.85,-12.06  0.00  0.00
307,0.75,0.00  -9.50  0.00
308,0.70,0.00  -15.08  0.00
309,0.80,0.00  0.00  -6.21
310,0.91,-16.54  0.00  0.00
311,0.93,0.00  -20.10  0.00
312,0.93,-10.24  0.00  0.00
313,0.69,0.00  -9.08  0.00
314,0.91,-16.55  0.00  0.00
315,0.79,0.00  -7.91  0.00
316,0.72,0.00  -18.62  0.00
317,0.86,-11.87  0.00  0.00
318,0.72,0.00  0.00  -11.18
319,0.75,0.00  0.00  -7.74
320,0.86,-7.37  0.00  0.00
321,0.82,0.00  -8.69  0.00
322,0.83,0.00  0.00  -6.82
323,0.94,0.00  -16.20  0.00
324,0.76,-7.71  0.00  0.00
325,0.82,-9.79  0.00  0.00
326,0.87,0.00  0.00  -6.56
327,0.68,0.00  -6.72  0.00
328,0.94,-10.50  0.00  0.00
329,0.93,-14.33  0.00  0.00
330,0.91,0.00  0.00  -8.18
331,0.80,-18.83  0.00  0.00
332,0.75,-21.63  0.00  0.00
333,0.71,-14.92  0.00  0.00
334,0.81,0.00  0.00  -8.01
335,0.81,0.00  0.00  -9.88
336,0.82,-9.46  0.00  0.00
337,0.86,-10.39  0.00  0.00
338,0.70,0.00  0.00  -4.98
339,0.68,-10.21  0.00  0.00
340,0.74,0.00  0.00  -11.17
341,0.87,-7.67  0.00  0.00
342,0.82,-21.94  0.00  0.00
343,0.95,-17.59  0.00  0.00
344,0.66,-4.98  0.00  0.00
345,0.79,-16.42  0.00  0.00
346,0.82,0.00  -8.06  0.00
347,0.85,-16.15  0.00  0.00
348,0.78,0.00  0.00  -20.85
349,0.72,0.00  -5.10  0.00
350,0.75,-7.23  0.00  0.00
351,0.93,-9.14  0.00  0.00
352,0.88,-12.80  0.00  0.00
353,0.94,0.00  -9.71  0.00
354,0.70,0.00  -11.73  0.00
355,0.80,0.00  -12.88  0.00
356,0.74,-20.20  0.00  0.00
357,0.86,0.00  0.00  -14.15
358,0.83,-22.64  0.00  0.00
359,0.72,0.00  0.00  -16.80
360,0.66,-12.85  0.00  0.00
361,0.83,0.00  0.00  -13.41
362,0.70,0.00  0.00  -13.43
363,0.87,0.00  0.00  -21.40
364,0.83,0.00  -5.18  0.00
365,0.67,0.00  0.00  -15.65
366,0.78,0.00  -16.63  0.00
367,0.76,-9.17  0.00  0.00
368,0.69,0.00  -10.48  0.00
369,0.72,-12.59  0.00  0.00
370,0.87,-9.40  0.00  0.00
371,0.75,0.00  0.00  -15.50
372,0.85,-10.30  0.00  0.00
373,0.70,-16.51  0.00  0.00
374,0.78,0.00  -18.07  0.00
375,0.78,-6.36  0.00  0.00
376,0.87,0.00  0.00  -12.93
377,0.89,0.00  0.00  -7.70
378,0.89,-9.91  0.00  0.00
379,0.71,0.00  0.00  -12.78
380,0.69,0.00  -10.33  0.00
381,0.83,0.00  -16.61  0.00
382,0.91,0.00  0.00  -8.56
383,0.75,0.00  0.00  -21.72
384,0.83,0.00  0.00  -8.26
385,0.72,0.00  0.00  -21.12
386,0.86,-10.74  0.00  0.00
387,0.83,0.00  0.00  -9.71
388,0.75,0.00  0.00  -17.79
389,0.70,-17.16  0.00  0.00
390,0.74,0.00  0.00  -12.50
391,0.80,0.00  0.00  -8.91
392,0.83,0.00  0.00  -11.39
393,0.77,0.00  -7.99  0.00
394,0.81,0.00  -10.09  0.00
395,0.92,0.00  0.00  -12.31
396,0.82,0.00  0.00  -16.88
397,0.75,-6.97  0.00  0.00
398,0.80,0.00  -4.28  0.00
399,0.73,0.00  0.00  -6.58
400,0.73,0.00  0.00  -17.97
401,0.73,-15.94  0.00  0.00
402,0.95,-17.59  0.00  0.00
403,0.88,0.00  0.00  -14.02
404,0.71,0.00  0.00  -6.50
405,0.76,0.00  -10.80  0.00
406,0.71,0.00  0.00  -17.86
407,0.91,-15.84  0.00  0.00
408,0.93,0.00  -8.29  0.00
409,0.79,-17.36  0.00  0.00
410,0.90,0.00  0.00  -12.55
411,0.72,-10.08  0.00  0.00
412,0.92,-9.97  0.00  0.00
413,0.83,-11.83  0.00  0.00
414,0.71,-10.05  0.00  0.00
415,0.75,0.00  -19.08  0.00
416,0.82,-17.54  0.00  0.00
417,0.83,-11.70  0.00  0.00
418,0.70,0.00  -12.89  0.00
419,0.69,0.00  -6.57  0.00
420,0.89,-10.81  0.00  0.00
421,0.71,0.00  -20.10  0.00
422,0.87,0.00  0.00  -11.30
423,0.73,0.00  0.00  -10.16
424,0.88,-10.26  0.00  0.00
425,0.82,-10.28  0.00  0.00
426,0.91,-11.27  0.00  0.00
427,0.83,0.00  -9.75  0.00
428,0.79,-5.25  0.00  0.00
429,0.75,-14.32  0.00  0.00
430,0.74,0.00  0.00  -13.22
431,0.71,-15.22  0.00  0.00
432,0.82,0.00  -17.43  0.00
433,0.64,-10.17  0.00  0.00
434,0.89,-12.16  0.00  0.00
435,0.92,0.00  -10.96  0.00
436,0.86,-9.60  0.00  0.00
437,0.96,0.00  0.00  -12.11
438,0.89,0.00  -9.58  0.00
439,0.67,-7.69  0.00  0.00
440,0.90,0.00  -12.71  0.00
441,0.73,0.00  -12.33  0.00
442,0.89,-19.76  0.00  0.00
443,0.76,0.00  -4.84  0.00
444,0.71,-6.16  0.00  0.00
445,0.69,-10.34  0.00  0.00
446,0.71,0.00  -13.86  0.00
447,0.89,-12.50  0.00  0.00
448,0.75,0.00  -11.13  0.00
449,0.75,0.00  -10.38  0.00
450,0.72,0.00  0.00  -17.76
451,0.74,0.00  -18.90  0.00
452,0.74,0.00  0.00  -9.27
453,0.68,-10.86  0.00  0.00
454,0.77,0.00  -11.99  0.00
455,0.79,-11.21  0.00  0.00
456,0.70,-16.57  0.00  0.00
457,0.78,0.00  -21.41  0.00
458,0.81,0.00  0.00  -7.21
459,0.85,0.00  -14.53  0.00
460,0.97,0.00  0.00  -4.74
461,0.73,0.00  0.00  -10.40
462,0.80,0.00  0.00  -5.79
463,0.95,0.00  0.00  -8.56
464,0.83,0.00  -5.84  0.00
465,0.87,0.00  0.00  -19.84
466,0.85,0.00  0.00  -17.67
467,0.75,-6.21  0.00  0.00
468,0.82,0.00  0.00  -5.01
469,0.83,0.00  0.00  -18.85
470,0.69,0.00  0.00  -14.55
471,0.76,-13.48  0.00  0.00
472,0.79,-8.68  0.00  0.00
473,0.70,-14.40  0.00  0.00
474,0.87,0.00  0.00  -17.12
475,0.82,-24.22  0.00  0.00
476,0.92,0.00  0.00  -11.84
477,0.76,0.00  0.00  -8.16
478,0.67,0.00  -8.49  0.00
479,0.79,0.00  -8.63  0.00
480,0.76,0.00  -7.58  0.00
481,0.76,-6.95  0.00  0.00
482,0.72,0.00  0.00  -10.54
483,0.73,0.00  -8.04  0.00
484,0.88,0.00  -5.32  0.00
485,0.77,-18.64  0.00  0.00
486,0.84,-16.57  0.00  0.00
487,0.81,-16.70  0.00  0.00
488,0.87,-12.65  0.00  0.00
489,0.80,-10.23  0.00  0.00
490,0.79,0.00  0.00  -18.93
491,0.94,-20.39  0.00  0.00
492,0.80,-10.76  0.00  0.00
493,0.87,-17.89  0.00  0.00
494,0.79,-13.68  0.00  0.00
495,0.78,-11.00  0.00  0.00
496,0.88,0.00  0.00  -7.04
497,0.68,-8.89  0.00  0.00
498,0.87,-9.99  0.00  0.00
499,0.93,-10.99  0.00  0.00
500,0.73,0.00  -8.85  0.00
501,0.86,0.00  0.00  -11.22
502,0.68,0.00  -5.90  0.00
503,0.73,0.00  0.00  -11.38
504,0.77,-7.73  0.00  0.00
505,0.88,0.00  0.00  -11.13
506,0.74,0.00  0.00  -11.79
507,0.89,0.00  -6.89  0.00
508,0.86,-13.94  0.00  0.00
509,0.84,-6.68  0.00  0.00
510,0.79,0.00  0.00  -11.90
511,0.89,0.00  0.00  -5.25
512,0.80,-15.61  0.00  0.00
513,0.83,0.00  -5.42  0.00
514,0.71,0.00  -9.88  0.00
515,0.78,0.00  -8.61  0.00
516,0.80,0.00  0.00  -16.72
517,0.87,0.00  -13.16  0.00
518,0.79,-8.64  0.00  0.00
519,0.89,0.00  -13.49  0.00
520,0.87,0.00  -21.95  0.00
521,0.86,0.00  -15.37  0.00
522,0.89,-10.67  0.00  0.00
523,0.88,0.00  -12.80  0.00
524,0.67,-14.97  0.00  0.00
525,0.72,0.00  0.00  -22.26
526,0.81,0.00  0.00  -15.42
527,0.82,-11.16  0.00  0.00
528,0.66,-14.32  0.00  0.00
529,0.90,-15.44  0.00  0.00
530,0.68,0.00  -13.70  0.00
531,0.69,0.00  0.00  -6.47
532,0.65,-9.02  0.00  0.00
533,0.93,-20.56  0.00  0.00
534,0.90,-21.97  0.00  0.00
535,0.84,-20.11  0.00  0.00
536,0.70,-9.24  0.00  0.00
537,0.76,0.00  -13.88  0.00
538,0.86,0.00  0.00  -17.45
539,0.88,0.00  0.00  -11.06
540,0.94,0.00  -10.29  0.00
541,0.69,-7.97  0.00  0.00
542,0.76,-12.36  0.00  0.00
543,0.76,-11.00  0.00  0.00
544,0.97,-6.66  0.00  0.00
545,0.91,0.00  -4.07  0.00
546,0.83,-11.87  0.00  0.00
547,0.82,0.00  -15.84  0.00
548,0.73,-10.54  0.00  0.00
549,0.68,-13.71  0.00  0.00
550,0.76,-14.09  0.00  0.00
551,0.80,0.00  -11.41  0.00
552,0.90,-11.19  0.00  0.00
553,0.80,-8.23  0.00  0.00
554,0.83,-9.89  0.00  0.00
555,0.67,0.00  0.00  -8.27
556,0.81,-11.42  0.00  0.00
557,0.81,-10.77  0.00  0.00
558,0.80,0.00  0.00  -9.34
559,0.79,0.00  -6.34  0.00
560,0.82,-11.06  0.00  0.00
561,0.65,0.00  -13.44  0.00
562,0.66,-9.29  0.00  0.00
563,0.79,0.00  -17.92  0.00
564,0.69,-12.32  0.00  0.00
565,0.77,-9.36  0.00  0.00
566,0.77,-10.63  0.00  0.00
567,0.83,0.00  -9.26  0.00
568,0.74,-10.30  0.00  0.00
569,0.79,-11.47  0.00  0.00
570,0.94,-6.05  0.00  0.00
571,0.69,-9.18  0.00  0.00
572,0.87,-8.48  0.00  0.00
573,0.80,0.00  0.00  -9.77
574,0.76,-9.67  0.00  0.00
575,0.74,-10.94  0.00  0.00
576,0.78,0.00  -14.63  0.00
577,0.79,-8.20  0.00  0.00
578,0.67,-7.62  0.00  0.00
579,0.68,-15.45  0.00  0.00
580,0.68,0.00  -11.93  0.00
581,0.78,0.00  0.00  -6.38
582,0.86,-21.28  0.00  0.00
583,0.80,-8.83  0.00  0.00
584,0.92,0.00  0.00  -6.88
585,0.91,0.00  0.00  -13.84
586,0.66,0.00  -9.33  0.00
587,0.77,0.00  -11.11  0.00
588,0.79,0.00  0.00  -10.10
589,0.74,-12.43  0.00  0.00
590,0.91,0.00  -11.85  0.00
591,0.82,-17.75  0.00  0.00
592,0.78,-5.92  0.00  0.00
593,0.83,-6.90  0.00  0.00
594,0.92,0.00  0.00  -8.66
595,0.82,-11.26  0.00  0.00
596,0.93,-21.00  0.00  0.00
597,0.70,0.00  0.00  -13.03
598,0.87,0.00  0.00  -12.31
599,0.80,-13.86  0.00  0.00
600,0.83,0.00  -7.00  0.00
601,0.66,0.00  0.00  -9.42
602,0.90,0.00  -5.24  0.00
603,0.92,0.00  0.00  -19.05
604,0.78,0.00  0.00  -8.84
605,0.84,0.00  -8.32  0.00
606,0.69,0.00  -12.05  0.00
607,0.69,0.00  -20.28  0.00
608,0.75,-15.25  0.00  0.00
609,0.80,0.00  -5.70  0.00
610,0.86,-6.57  0.00  0.00
611,0.72,-13.13  0.00  0.00
612,0.80,0.00  0.00  -7.15
613,0.68,0.00  -6.90  0.00
614,0.77,0.00  0.00  -7.35
615,0.84,0.00  0.00  -15.24
616,0.78,0.00  0.00  -15.64
617,0.73,-10.10  0.00  0.00
618,0.83,0.00  -23.52  0.00
619,0.91,0.00  0.00  -8.08
620,0.91,0.00  0.00  -6.14
621,0.70,0.00  -11.15  0.00
622,0.69,-10.51  0.00  0.00
623,0.86,-10.71  0.00  0.00
624,0.69,-5.48  0.00  0.00
625,0.71,-6.99  0.00  0.00
626,0.75,0.00  -8.95  0.00
627,0.81,0.00  -15.17  0.00
628,0.71,0.00  0.00  -13.84
629,0.88,0.00  0.00  -15.30
630,0.78,0.00  0.00  -8.72
631,0.90,-11.49  0.00  0.00
632,0.82,0.00  0.00  -20.83
633,0.75,0.00  -19.14  0.00
634,0.81,-9.37  0.00  0.00
635,0.67,0.00  -10.60  0.00
636,0.89,0.00  -6.74  0.00
637,0.89,0.00  -9.86  0.00
638,0.78,-19.70  0.00  0.00
639,0.76,0.00  0.00  -16.59
640,0.70,-6.95  0.00  0.00
641,0.72,0.00  -20.17  0.00
642,0.80,0.00  0.00  -13.86
643,0.87,-9.94  0.00  0.00
644,0.79,-16.29  0.00  0.00
645,0.71,-5.80  0.00  0.00
646,0.78,-12.89  0.00  0.00
647,0.82,0.00  0.00  -15.28
648,0.68,-6.64  0.00  0.00
649,0.86,0.00  -12.88  0.00
650,0.73,-19.33  0.00  0.00
651,0.83,-8.68  0.00  0.00
652,0.83,-11.42  0.00  0.00
653,0.77,0.00  -6.31  0.00
654,0.86,0.00  0.00  -12.88
655,0.70,-16.32  0.00  0.00
656,0.95,-16.44  0.00  0.00
657,0.93,-15.15  0.00  0.00
658,0.75,-7.10  0.00  0.00
659,0.87,0.00  0.00  -16.83
660,0.74,-13.59  0.00  0.00
661,0.86,0.00  0.00  -12.43
662,0.68,-13.94  0.00  0.00
663,0.87,-14.24  0.00  0.00
664,0.75,0.00  0.00  -11.27
665,0.74,-9.31  0.00  0.00
666,0.93,0.00  0.00  -15.32
667,0.86,-5.87  0.00  0.00
668,0.78,0.00  -9.05  0.00
669,0.67,-15.07  0.00  0.00
670,0.83,-17.93  0.00  0.00
671,0.75,0.00  0.00  -11.33
672,0.87,0.00  -9.11  0.00
673,0.67,-14.34  0.00  0.00
674,0.80,-8.15  0.00  0.00
675,0.79,0.00  0.00  -6.42
676,0.76,0.00  0.00  -14.52
677,0.96,0.00  0.00  -10.78
678,0.73,0.00  0.00  -9.63
679,0.85,0.00  -10.54  0.00
680,0.74,0.00  -18.57  0.00
681,0.90,0.00  0.00  -14.42
682,0.88,0.00  0.00  -14.08
683,0.89,0.00  -14.72  0.00
684,0.80,-12.62  0.00  0.00
685,0.85,0.00  -14.54  0.00
686,0.88,-8.35  0.00  0.00
687,0.67,-9.48  0.00  0.00
688,0.75,-9.29  0.00  0.00
689,0.68,-15.81  0.00  0.00
690,0.88,0.00  0.00  -13.66
691,0.75,0.00  0.00  -15.86
692,0.74,0.00  -13.59  0.00
693,0.73,0.00  0.00  -11.81
694,0.74,0.00  0.00  -14.44
695,0.83,0.00  0.00  -15.60
696,0.87,0.00  0.00  -11.55
697,0.93,-15.55  0.00  0.00
698,0.85,-13.52  0.00  0.00
699,0.78,-12.95  0.00  0.00
700,0.91,0.00  -6.80  0.00
701,0.67,0.00  0.00  -16.06
