id,epsilon,q_table
0,0.61,-15.96  -11.31  0.00
1,0.81,0.00  -7.53  -10.81
2,0.90,-8.76  0.00  -14.26
3,0.63,-7.32  -4.57  0.00
4,0.76,-11.27  0.00  -11.85
5,0.80,-14.02  -13.80  0.00
6,0.85,-4.63  0.00  -9.17
7,0.74,0.00  -16.92  -8.42
8,0.83,-7.89  -12.74  0.00
9,0.92,0.00  0.00  -17.84
10,0.87,-17.72  0.00  0.00
11,0.80,-12.68  0.00  -17.10
12,0.70,-19.44  0.00  0.00
13,0.82,-19.94  -19.16  0.00
14,0.82,-13.84  0.00  0.00
15,0.72,-8.52  -8.40  0.00
16,0.84,0.00  -19.37  0.00
17,0.63,0.00  -26.23  0.00
18,0.67,-5.86  0.00  -10.02
19,0.89,-23.18  0.00  0.00
20,0.78,-18.21  -10.90  0.00
21,0.77,-10.58  0.00  -11.13
22,0.75,-9.89  -4.79  0.00
23,0.73,-10.83  0.00  0.00
24,0.74,-9.53  -18.15  0.00
25,0.81,0.00  -9.46  -4.69
26,0.76,0.00  0.00  -14.56
27,0.82,-11.34  0.00  -18.32
28,0.80,0.00  -6.84  -10.55
29,0.71,0.00  0.00  -26.16
30,0.78,-18.72  -17.29  0.00
31,0.68,-11.25  0.00  -8.73
32,0.67,-10.77  0.00  -13.43
33,0.81,-11.56  0.00  -9.45
34,0.67,-7.81  0.00  -6.87
35,0.74,-12.64  -11.93  0.00
36,0.79,-22.45  0.00  -23.84
37,0.84,0.00  -19.72  0.00
38,0.72,-12.19  -13.02  0.00
39,0.76,0.00  -23.39  0.00
40,0.90,-14.00  -15.00  0.00
41,0.78,-10.38  -15.51  0.00
42,0.86,0.00  0.00  -28.83
43,0.81,-15.72  0.00  -12.10
44,0.86,-7.31  -11.31  0.00
45,0.86,-18.37  0.00  -11.84
46,0.62,-13.22  0.00  0.00
47,0.73,-14.69  -14.28  0.00
48,0.87,-23.04  0.00  0.00
49,0.67,-10.99  0.00  -21.78
50,0.80,-7.60  0.00  -10.13
51,0.87,-16.33  0.00  -9.92
52,0.78,-14.58  -7.95  0.00
53,0.61,-11.16  -20.34  0.00
54,0.77,-15.49  0.00  0.00
55,0.81,-18.84  -11.46  0.00
56,0.73,-5.20  0.00  -6.58
57,0.80,-9.58  -11.48  0.00
58,0.76,0.00  -7.10  -9.89
59,0.75,-4.62  0.00  -9.83
60,0.79,-6.83  -10.44  0.00
61,0.63,-10.74  0.00  -8.61
62,0.86,0.00  -13.32  -10.54
63,0.71,-10.54  0.00  -16.21
64,0.87,-9.29  0.00  -21.21
65,0.64,-12.45  -16.11  0.00
66,0.73,-15.80  0.00  -14.23
67,0.72,-9.27  0.00  -12.69
68,0.72,0.00  -5.63  -7.63
69,0.72,0.00  0.00  -29.49
70,0.65,0.00  -10.78  -14.09
71,0.61,0.00  0.00  -26.67
72,0.75,0.00  -7.34  -4.14
73,0.71,-31.50  0.00  0.00
74,0.83,-9.75  0.00  -4.49
75,0.71,-7.53  0.00  -7.09
76,0.64,-12.76  0.00  -12.00
77,0.80,0.00  -18.40  -7.73
78,0.68,-6.45  0.00  -5.07
79,0.83,-9.02  -11.81  0.00
80,0.80,-10.45  -6.93  0.00
81,0.80,-10.61  0.00  -12.38
82,0.74,-8.51  0.00  -14.18
83,0.83,-14.05  -16.35  0.00
84,0.78,-7.59  0.00  -11.06
85,0.70,-8.77  0.00  -7.57
86,0.91,0.00  -13.22  -22.36
87,0.84,-5.75  -11.06  0.00
88,0.74,-7.28  -5.91  0.00
89,0.83,0.00  -11.01  -12.41
90,0.75,-20.68  -18.80  0.00
91,0.71,0.00  -9.40  -4.45
92,0.78,-19.89  -13.39  0.00
93,0.66,-17.78  0.00  -16.69
94,0.64,-21.32  0.00  0.00
95,0.57,-9.15  0.00  -7.83
96,0.86,0.00  0.00  -26.86
97,0.61,-5.53  -7.95  0.00
98,0.73,-16.59  0.00  -12.66
99,0.62,0.00  0.00  -11.20
100,0.82,-15.04  -14.85  0.00
101,0.80,-7.53  0.00  -13.24
102,0.65,-30.10  0.00  0.00
103,0.64,-11.62  -10.12  0.00
104,0.88,0.00  -14.50  -11.90
105,0.70,-9.58  0.00  -11.87
106,0.78,0.00  -19.27  -17.94
107,0.81,0.00  -12.87  -8.78
108,0.82,-6.18  0.00  -4.76
109,0.68,0.00  -7.93  -8.92
110,0.77,-11.64  -9.75  0.00
111,0.87,-17.76  0.00  -11.98
112,0.78,-17.12  -17.71  0.00
113,0.76,-15.64  0.00  0.00
114,0.80,-13.82  0.00  -14.33
115,0.86,-11.32  0.00  -7.55
116,0.73,0.00  -16.58  -19.19
117,0.74,0.00  -11.53  -12.19
118,0.91,0.00  0.00  -21.93
119,0.61,-10.08  -7.38  0.00
120,0.85,0.00  -18.60  -16.24
121,0.71,0.00  0.00  -16.67
122,0.89,-7.72  0.00  -7.10
123,0.69,-7.58  0.00  -5.23
124,0.84,-14.90  0.00  -9.02
125,0.85,-6.80  -14.32  0.00
126,0.82,-22.69  0.00  0.00
127,0.62,-9.78  -6.83  0.00
128,0.65,-15.95  0.00  0.00
129,0.64,-15.75  0.00  0.00
130,0.68,-10.03  -9.40  0.00
131,0.84,-5.37  -5.15  0.00
132,0.82,-24.78  0.00  0.00
