id,reward
0,-24.09339412840273
1,-46.17261794105933
2,-47.93713353766065
3,-21.985292870164354
4,-23.61461816934174
5,-21.54589665586081
6,-35.21220213068722
7,-27.90920143821133
8,-28.723963836381113
9,-39.347556365062744
10,-38.72005017223961
11,-43.217962862783935
12,-32.54190019674947
13,-41.86228852438316
14,-43.800234771417266
15,-34.986359640096666
16,-27.91892356146088
17,-26.46260698480148
18,-44.210785734470846
19,-20.1602557459956
20,-34.35863289416637
21,-41.37691403091563
22,-44.06148142850219
23,-35.82415528672518
24,-30.60991784755737
25,-39.385556042753386
26,-39.512776916428734
27,-21.531603986127042
28,-37.40435856958424
29,-32.20260535593236
30,-32.27980131361812
31,-27.246810104762194
32,-40.67750616880076
33,-21.067247830251144
34,-33.763723322812424
35,-43.887589962424855
36,-34.70176977869661
37,-28.060411414993542
38,-25.18629828332582
39,-27.489534239083437
40,-20.09328968366978
41,-37.59662826615407
42,-23.52569736341582
43,-42.50460708251892
44,-41.572255943944555
45,-20.451258853152797
46,-26.760554648854054
47,-20.507631632900424
48,-44.91712203169557
49,-33.98575778635713
50,-23.612354991882953
51,-36.99807265900505
52,-43.86365098701006
53,-23.60749031119651
54,-21.970030508666333
55,-30.9214759273001
56,-25.519790305085138
57,-22.578925259399863
58,-31.51250937946299
59,-21.717592512014217
60,-42.2843348157002
61,-26.293330368064254
62,-35.41640062519792
63,-28.799268106120742
64,-23.316086632943666
65,-48.95996087513537
66,-45.25053750173143
67,-43.4505131079696
68,-25.66361914641013
69,-33.3298481029482
70,-37.942746555688736
71,-30.449006614240645
72,-37.40099238039795
73,-40.98189471554984
74,-42.89180203226103
75,-40.360624032490634
76,-42.6716159757066
77,-22.74261926785919
78,-47.93062393470524
79,-42.226782421732274
80,-22.958494297922197
81,-23.046337027563023
82,-25.22669643611855
83,-44.39721419777671
84,-29.24633890064725
85,-22.301983378823188
86,-29.2596552790504
87,-42.85199972522203
88,-21.39144854074737
89,-46.858762310010306
90,-29.11253477361632
91,-49.687652393130264
92,-45.46657165909812
93,-35.00846945902943
94,-41.26659164139065
95,-37.74648675113326
96,-20.603836799782265
97,-20.080242858243395
98,-34.72707228666667
99,-21.46352884828388
100,-39.613594144342656
101,-26.77449863836923
102,-39.56517209996957
103,-27.187531725615578
104,-42.501003952759035
105,-20.054949753238603
106,-20.26706980710084
107,-49.7145933280203
108,-36.00266342287878
109,-25.0970557891289
110,-31.555512263575817
111,-31.638415785271206
112,-20.16111914337748
113,-47.997228977025735
114,-23.36111325895788
115,-30.52831265127903
116,-35.963573895326114
117,-37.06153061553882
118,-29.44383044894977
119,-27.760498815769786
120,-23.99163293251481
121,-38.19270567324309
122,-41.47142826443269
123,-49.844829003734645
124,-23.9825088070823
125,-29.20031483055954
126,-22.80463852418179
127,-21.91879340077499
128,-36.958848858078525
129,-39.210938087302225
130,-34.763939300506344
131,-22.891098499116982
132,-27.17012902394608
133,-28.18379858280216
134,-26.905848406024877
135,-48.16993809333927
136,-42.759131028974195
137,-26.304016427331238
138,-22.475545872634267
139,-29.725938786703445
140,-32.11806285488675
141,-49.09191041661512
142,-26.807496421964068
143,-21.18935573639567
144,-46.65502259386359
145,-29.896388479844838
146,-23.984187486659877
147,-25.037463505856287
148,-26.377859951447007
149,-40.31089079415817
150,-41.13687681033639
151,-22.222510693466575
152,-24.46467538030213
153,-47.71675777753142
154,-20.47696347530869
155,-33.65394277385994
156,-20.477390845167534
157,-49.66667585502786
158,-25.344979404423324
159,-37.24698680061029
160,-47.65569672824449
161,-25.219958054952752
162,-38.356768824563304
163,-31.09921221936842
164,-39.00938382804836
165,-42.135385433877005
166,-40.48647788775199
167,-22.144692779973052
168,-40.085441910118675
169,-29.168754620030604
170,-48.048430260746564
171,-32.78490381476798
172,-39.72821493601278
173,-29.015317854826645
174,-37.32265505576545
175,-34.94037577515053
176,-29.633203986079188
177,-49.10952354470225
178,-42.791643898693586
179,-46.69191883621269
180,-33.65778250533574
181,-37.054208080255776
182,-20.66557658956999
183,-28.854051664922274
184,-40.4359413078884
185,-29.926528957102864
186,-48.06202220474607
187,-34.633454190491996
188,-21.495539016882322
189,-43.75659272706839
190,-23.302696798197267
191,-21.36927039408922
192,-35.853395498742394
193,-36.33577043429456
194,-49.852803254098305
195,-36.777557382787506
196,-33.68143043799522
197,-34.37522672801343
198,-48.770148769079825
199,-31.062860771978194
200,-35.69022004255816
201,-49.13987710462614
202,-28.51237470382273
203,-38.80651795755426
204,-36.70682276438703
205,-38.06822264684156
206,-44.322155376756
207,-22.763597494179713
208,-37.22921892402215
209,-47.3879752981315
210,-49.06654025743657
211,-26.956806126670234
212,-40.1793013705955
213,-47.10137071813896
214,-37.25079327535523
215,-25.849304794904167
216,-45.9930396269354
217,-21.417127284172604
218,-21.098933432569044
219,-39.899114938652104
220,-26.369680521828
221,-49.47691786407418
222,-33.85591971153758
223,-44.89614604675701
224,-43.55063960161512
225,-28.13047795317999
226,-35.73389437245567
227,-40.61927464773201
228,-48.0809352092826
229,-37.23769489273221
230,-32.16757977217051
231,-42.9427413659539
232,-45.026973094146314
233,-35.579304654168475
234,-31.838200531425436
235,-22.23655340702066
236,-43.14069848995172
237,-46.927702574551596
238,-38.518325631254044
239,-42.55078223746389
240,-47.34455605686476
241,-42.4317206566577
242,-25.483288425593
243,-23.982769067155516
244,-25.622013953204732
245,-37.43800448343559
246,-32.99623997078983
247,-38.40950001377454
248,-27.5115840079499
249,-26.890225887033683
250,-47.14405271495387
251,-20.797288627758547
252,-47.92076456283226
253,-34.54177346939738
254,-31.72014582068761
255,-25.668157644775214
256,-28.82084980755436
257,-20.067177033642903
258,-33.72952644631975
259,-22.603173102850505
260,-43.32624731407237
261,-24.406971829830564
262,-40.62322831409167
263,-25.257766728250086
264,-42.07082610355077
265,-46.66877123667099
266,-22.317010871537114
267,-20.03761050690207
268,-30.10929513349498
269,-25.529792193348563
270,-38.50211549859617
271,-26.672009280727963
272,-31.212099774109134
273,-36.593386395921954
274,-24.41606790613364
275,-43.627113786131325
276,-37.8812012707999
277,-26.15651489223643
278,-34.95687557912444
279,-46.82774119783694
280,-44.51770386087012
281,-39.596161783185764
282,-46.90357068126242
283,-45.99764881020469
284,-26.723861598237253
285,-47.20867051854215
286,-34.30071668675064
287,-35.212730880163505
288,-22.652881665082266
289,-38.94445018776202
290,-24.154240106067657
291,-42.91166604819048
292,-47.63996870017635
