id,action,origin,destination,start_time
0,2,0,0,0
1,1,1,1,0
2,0,0,0,6
3,1,1,1,6
4,1,0,0,12
5,0,1,1,12
6,2,0,0,18
7,2,1,1,18
8,1,0,0,24
9,2,1,1,24
10,0,0,0,30
11,2,1,1,30
12,2,0,0,36
13,2,1,1,36
14,1,0,0,42
15,2,1,1,42
16,1,0,0,48
17,2,1,1,48
18,1,0,0,54
19,2,1,1,54
20,0,0,0,60
21,1,1,1,60
22,2,0,0,66
23,1,1,1,66
24,2,0,0,72
25,2,1,1,72
26,0,0,0,78
27,0,1,1,78
28,1,0,0,84
29,0,1,1,84
30,0,0,0,90
31,0,1,1,90
32,2,0,0,96
33,2,1,1,96
34,1,0,0,102
35,1,1,1,102
36,0,0,0,108
37,2,1,1,108
38,2,0,0,114
39,0,1,1,114
40,1,0,0,120
41,2,1,1,120
42,0,0,0,126
43,1,1,1,126
44,1,0,0,132
45,2,1,1,132
46,0,0,0,138
47,1,1,1,138
48,1,0,0,144
49,2,1,1,144
50,2,0,0,150
51,2,1,1,150
52,2,0,0,156
53,2,1,1,156
54,0,0,0,162
55,2,1,1,162
56,1,0,0,168
57,0,1,1,168
58,1,0,0,174
59,2,1,1,174
60,0,0,0,180
61,0,1,1,180
62,1,0,0,186
63,2,1,1,186
64,1,0,0,192
65,1,1,1,192
66,2,0,0,198
67,0,1,1,198
68,0,0,0,204
69,0,1,1,204
70,1,0,0,210
71,1,1,1,210
72,0,0,0,216
73,2,1,1,216
74,0,0,0,222
75,1,1,1,222
76,2,0,0,228
77,1,1,1,228
78,1,0,0,234
79,2,1,1,234
80,2,0,0,240
81,0,1,1,240
82,0,0,0,246
83,2,1,1,246
84,2,0,0,252
85,1,1,1,252
86,0,0,0,258
87,1,1,1,258
88,0,0,0,264
89,2,1,1,264
90,2,0,0,270
91,1,1,1,270
92,1,0,0,276
93,2,1,1,276
94,2,0,0,282
95,1,1,1,282
96,0,0,0,288
97,0,1,1,288
98,0,0,0,294
99,2,1,1,294
100,0,0,0,300
101,0,1,1,300
102,2,0,0,306
