id,action,origin,destination,start_time,epsilon
0,2,0,0,0,0.77
1,0,1,1,0,0.86
2,2,0,0,6,0.69
3,2,1,1,6,0.73
4,2,0,0,12,0.66
5,0,1,1,12,0.79
6,2,0,0,18,0.65
7,2,1,1,18,0.95
8,0,0,0,24,0.72
9,0,1,1,24,0.78
10,1,0,0,30,0.74
11,2,1,1,30,0.80
12,0,0,0,36,0.94
13,1,1,1,36,0.89
14,0,0,0,42,0.65
15,1,1,1,42,0.91
16,0,0,0,48,0.83
17,0,1,1,48,0.73
18,1,0,0,54,0.74
19,1,1,1,54,0.77
20,1,0,0,60,0.72
21,1,1,1,60,0.72
22,0,0,0,66,0.73
23,1,1,1,66,0.88
24,0,0,0,72,0.86
25,0,1,1,72,0.74
26,1,0,0,78,0.82
27,1,1,1,78,0.94
28,2,0,0,84,0.67
29,0,1,1,84,0.67
30,2,0,0,90,0.77
31,1,1,1,90,0.83
32,1,0,0,96,0.75
33,2,1,1,96,0.67
34,1,0,0,102,0.84
35,0,1,1,102,0.77
36,1,0,0,108,0.76
37,1,1,1,108,0.84
38,1,0,0,114,0.68
39,2,1,1,114,0.70
40,2,0,0,120,0.92
41,0,1,1,120,0.75
42,1,0,0,126,0.80
43,2,1,1,126,0.67
44,1,0,0,132,0.84
45,2,1,1,132,0.83
46,2,0,0,138,0.82
47,0,1,1,138,0.76
48,2,0,0,144,0.70
49,1,1,1,144,0.69
50,0,0,0,150,0.89
51,2,1,1,150,0.75
52,0,0,0,156,0.83
53,0,1,1,156,0.78
54,1,0,0,162,0.75
55,0,1,1,162,0.73
56,1,0,0,168,0.66
57,0,1,1,168,0.83
58,0,0,0,174,0.78
59,0,1,1,174,0.87
60,0,0,0,180,0.64
61,2,1,1,180,0.94
62,2,0,0,186,0.84
63,0,1,1,186,0.93
64,0,0,0,192,0.91
65,1,1,1,192,0.76
66,2,0,0,198,0.91
67,1,1,1,198,0.84
68,1,0,0,204,0.79
69,0,1,1,204,0.73
70,0,0,0,210,0.71
71,0,1,1,210,0.81
72,2,0,0,216,0.73
73,0,1,1,216,0.80
74,0,0,0,222,0.92
75,1,1,1,222,0.87
76,1,0,0,228,0.79
77,2,1,1,228,0.78
78,0,0,0,234,0.80
79,1,1,1,234,0.66
80,1,0,0,240,0.87
81,0,1,1,240,0.74
82,1,0,0,246,0.72
83,0,1,1,246,0.86
84,0,0,0,252,0.89
85,2,1,1,252,0.68
86,0,0,0,258,0.73
87,0,1,1,258,0.77
88,1,0,0,264,0.65
89,1,1,1,264,0.91
90,2,0,0,270,0.94
91,2,1,1,270,0.76
92,0,0,0,276,0.65
93,2,1,1,276,0.70
94,1,0,0,282,0.69
95,0,1,1,282,0.74
96,2,0,0,288,0.78
97,1,1,1,288,0.87
98,0,0,0,294,0.66
99,1,1,1,294,0.70
100,2,0,0,300,0.75
101,0,1,1,300,0.74
102,1,0,0,306,0.84
103,0,1,1,306,0.67
104,0,0,0,312,0.67
105,0,1,1,312,0.75
106,0,0,0,318,0.85
107,1,1,1,318,0.79
108,0,0,0,324,0.73
109,2,1,1,324,0.79
110,0,0,0,330,0.80
111,0,1,1,330,0.96
112,1,0,0,336,0.67
113,0,1,1,336,0.79
114,1,0,0,342,0.92
115,2,1,1,342,0.76
116,0,0,0,348,0.74
117,2,1,1,348,0.88
118,0,0,0,354,0.87
119,0,1,1,354,0.94
120,1,0,0,360,0.71
121,1,1,1,360,0.83
122,0,0,0,366,0.68
123,0,1,1,366,0.79
124,1,0,0,372,0.79
125,1,1,1,372,0.93
126,0,0,0,378,0.74
127,2,1,1,378,0.86
128,0,0,0,384,0.91
129,0,1,1,384,0.81
130,1,0,0,390,0.83
131,1,1,1,390,0.67
132,1,0,0,396,0.69
133,2,1,1,396,0.93
134,2,0,0,402,0.78
135,2,1,1,402,0.75
136,0,0,0,408,0.68
137,2,1,1,408,0.85
138,0,0,0,414,0.71
139,0,1,1,414,0.76
140,1,0,0,420,0.85
141,0,1,1,420,0.74
142,1,0,0,426,0.81
143,2,1,1,426,0.69
144,0,0,0,432,0.84
145,0,1,1,432,0.81
146,2,0,0,438,0.88
147,0,1,1,438,0.94
148,0,0,0,444,0.87
149,0,1,1,444,0.90
150,2,0,0,450,0.84
151,2,1,1,450,0.68
152,0,0,0,456,0.70
153,1,1,1,456,0.94
154,1,0,0,462,0.65
155,0,1,1,462,0.80
156,0,0,0,468,0.83
157,1,1,1,468,0.88
158,0,0,0,474,0.76
159,2,1,1,474,0.86
160,2,0,0,480,0.87
161,0,1,1,480,0.71
162,2,0,0,486,0.78
163,2,1,1,486,0.80
164,2,0,0,492,0.86
165,2,1,1,492,0.77
166,1,0,0,498,0.73
167,0,1,1,498,0.75
168,1,0,0,504,0.86
169,0,1,1,504,0.81
170,1,0,0,510,0.82
171,0,1,1,510,0.78
172,1,0,0,516,0.79
173,1,1,1,516,0.87
174,2,0,0,522,0.71
175,0,1,1,522,0.73
176,0,0,0,528,0.80
177,2,1,1,528,0.84
178,1,0,0,534,0.77
179,0,1,1,534,0.94
180,2,0,0,540,0.83
181,1,1,1,540,0.85
182,0,0,0,546,0.82
183,0,1,1,546,0.86
184,1,0,0,552,0.86
185,1,1,1,552,0.78
186,0,0,0,558,0.90
187,0,1,1,558,0.96
188,0,0,0,564,0.76
189,2,1,1,564,0.74
190,1,0,0,570,0.87
191,2,1,1,570,0.69
192,2,0,0,576,0.86
193,1,1,1,576,0.90
194,1,0,0,582,0.82
195,1,1,1,582,0.67
196,1,0,0,588,0.87
197,2,1,1,588,0.72
198,0,0,0,594,0.90
199,0,1,1,594,0.83
200,2,0,0,600,0.78
201,2,1,1,600,0.71
202,0,0,0,606,0.70
203,1,1,1,606,0.94
204,1,0,0,612,0.79
205,0,1,1,612,0.70
206,2,0,0,618,0.78
207,1,1,1,618,0.84
208,0,0,0,624,0.92
209,0,1,1,624,0.81
210,1,0,0,630,0.78
211,1,1,1,630,0.66
212,1,0,0,636,0.75
213,0,1,1,636,0.82
214,0,0,0,642,0.76
215,2,1,1,642,0.67
216,1,0,0,648,0.84
217,2,1,1,648,0.81
218,1,0,0,654,0.70
219,2,1,1,654,0.80
220,1,0,0,660,0.70
221,0,1,1,660,0.85
222,2,0,0,666,0.72
223,2,1,1,666,0.86
224,0,0,0,672,0.85
225,0,1,1,672,0.86
226,2,0,0,678,0.74
227,0,1,1,678,0.77
228,1,0,0,684,0.75
229,0,1,1,684,0.79
230,0,0,0,690,0.71
231,0,1,1,690,0.74
232,0,0,0,696,0.72
233,0,1,1,696,0.81
234,2,0,0,702,0.67
235,2,1,1,702,0.84
236,1,0,0,708,0.83
237,0,1,1,708,0.79
238,0,0,0,714,0.81
239,0,1,1,714,0.85
240,0,0,0,720,0.92
241,0,1,1,720,0.85
242,1,0,0,726,0.83
243,0,1,1,726,0.67
244,0,0,0,732,0.87
245,2,1,1,732,0.66
246,1,0,0,738,0.83
247,2,1,1,738,0.81
248,2,0,0,744,0.83
249,2,1,1,744,0.83
250,0,0,0,750,0.67
251,0,1,1,750,0.85
252,1,0,0,756,0.88
