id,action,origin,destination,start_time,epsilon
0,1,0,0,0,0.53
1,1,1,1,0,0.75
2,1,0,0,6,0.56
3,0,1,1,6,0.59
4,2,0,0,12,0.46
5,2,1,1,12,0.65
6,1,0,0,18,0.46
7,2,1,1,18,0.84
8,1,0,0,24,0.55
9,0,1,1,24,0.62
10,0,0,0,30,0.54
11,2,1,1,30,0.53
12,1,0,0,36,0.79
13,2,1,1,36,0.64
14,0,0,0,42,0.45
15,2,1,1,42,0.84
16,1,0,0,48,0.69
17,2,1,1,48,0.60
18,0,0,0,54,0.51
19,1,1,1,54,0.66
20,1,0,0,60,0.68
21,0,1,1,60,0.49
22,1,0,0,66,0.49
23,2,1,1,66,0.77
24,1,0,0,72,0.74
25,1,1,1,72,0.55
26,1,0,0,78,0.66
27,1,1,1,78,0.82
28,1,0,0,84,0.46
29,0,1,1,84,0.57
30,1,0,0,90,0.56
31,2,1,1,90,0.62
32,1,0,0,96,0.60
33,1,1,1,96,0.51
34,2,0,0,102,0.70
35,1,1,1,102,0.55
36,0,0,0,108,0.57
37,0,1,1,108,0.61
38,0,0,0,114,0.48
39,0,1,1,114,0.47
40,0,0,0,120,0.87
41,0,1,1,120,0.67
42,2,0,0,126,0.70
43,1,1,1,126,0.45
44,0,0,0,132,0.78
45,0,1,1,132,0.66
46,0,0,0,138,0.65
47,2,1,1,138,0.57
48,2,0,0,144,0.52
49,0,1,1,144,0.51
50,2,0,0,150,0.71
51,2,1,1,150,0.59
52,2,0,0,156,0.63
53,0,1,1,156,0.58
54,2,0,0,162,0.59
55,2,1,1,162,0.49
56,0,0,0,168,0.48
57,1,1,1,168,0.57
58,1,0,0,174,0.67
59,2,1,1,174,0.67
60,0,0,0,180,0.44
61,0,1,1,180,0.84
62,0,0,0,186,0.59
63,1,1,1,186,0.76
64,0,0,0,192,0.83
65,0,1,1,192,0.53
66,0,0,0,198,0.70
67,0,1,1,198,0.58
68,1,0,0,204,0.73
69,0,1,1,204,0.52
70,1,0,0,210,0.49
71,1,1,1,210,0.72
72,2,0,0,216,0.57
73,2,1,1,216,0.70
74,1,0,0,222,0.79
75,0,1,1,222,0.80
76,1,0,0,228,0.53
77,0,1,1,228,0.71
78,2,0,0,234,0.63
79,1,1,1,234,0.50
80,0,0,0,240,0.78
81,0,1,1,240,0.53
82,1,0,0,246,0.60
83,2,1,1,246,0.56
84,2,0,0,252,0.63
85,2,1,1,252,0.45
86,1,0,0,258,0.51
87,2,1,1,258,0.69
88,1,0,0,264,0.44
89,0,1,1,264,0.84
90,0,0,0,270,0.78
91,0,1,1,270,0.62
92,1,0,0,276,0.44
93,1,1,1,276,0.62
94,2,0,0,282,0.66
95,2,1,1,282,0.50
96,1,0,0,288,0.60
97,0,1,1,288,0.72
98,0,0,0,294,0.44
99,2,1,1,294,0.50
100,1,0,0,300,0.65
101,1,1,1,300,0.56
102,2,0,0,306,0.79
103,2,1,1,306,0.44
104,0,0,0,312,0.49
105,2,1,1,312,0.65
106,0,0,0,318,0.65
107,2,1,1,318,0.74
108,1,0,0,324,0.50
109,0,1,1,324,0.52
110,2,0,0,330,0.75
111,2,1,1,330,0.88
112,0,0,0,336,0.53
113,2,1,1,336,0.64
114,0,0,0,342,0.88
115,1,1,1,342,0.71
116,2,0,0,348,0.67
117,1,1,1,348,0.78
118,1,0,0,354,0.77
119,1,1,1,354,0.77
120,0,0,0,360,0.49
121,1,1,1,360,0.72
122,2,0,0,366,0.47
123,0,1,1,366,0.67
124,2,0,0,372,0.72
125,0,1,1,372,0.80
126,1,0,0,378,0.50
