id,action,origin,destination,start_time,epsilon
0,0,0,0,0,0.34
1,1,1,1,0,0.62
2,0,0,0,6,0.43
3,0,1,1,6,0.45
4,1,0,0,12,0.29
5,0,1,1,12,0.52
6,1,0,0,18,0.30
7,1,1,1,18,0.72
8,0,0,0,24,0.40
9,2,1,1,24,0.46
10,0,0,0,30,0.36
11,1,1,1,30,0.32
12,1,0,0,36,0.65
13,2,1,1,36,0.43
14,1,0,0,42,0.29
15,0,1,1,42,0.76
16,0,0,0,48,0.55
17,2,1,1,48,0.47
18,1,0,0,54,0.33
19,2,1,1,54,0.54
20,2,0,0,60,0.63
21,0,1,1,60,0.30
22,0,0,0,66,0.30
23,0,1,1,66,0.64
24,2,0,0,72,0.62
25,2,1,1,72,0.38
26,2,0,0,78,0.51
27,0,1,1,78,0.70
28,0,0,0,84,0.29
29,0,1,1,84,0.46
30,0,0,0,90,0.37
31,2,1,1,90,0.42
32,2,0,0,96,0.45
33,1,1,1,96,0.37
34,0,0,0,102,0.55
35,2,1,1,102,0.36
36,1,0,0,108,0.40
37,2,1,1,108,0.41
38,0,0,0,114,0.31
39,2,1,1,114,0.28
40,2,0,0,120,0.81
41,2,1,1,120,0.59
42,1,0,0,126,0.59
43,2,1,1,126,0.28
44,2,0,0,132,0.71
45,2,1,1,132,0.49
46,2,0,0,138,0.50
47,0,1,1,138,0.41
48,1,0,0,144,0.36
49,1,1,1,144,0.36
50,0,0,0,150,0.54
51,2,1,1,150,0.44
52,0,0,0,156,0.45
53,0,1,1,156,0.39
54,0,0,0,162,0.44
55,2,1,1,162,0.30
56,0,0,0,168,0.32
57,2,1,1,168,0.35
58,0,0,0,174,0.55
59,2,1,1,174,0.49
60,1,0,0,180,0.27
61,2,1,1,180,0.72
62,2,0,0,186,0.38
63,2,1,1,186,0.59
64,2,0,0,192,0.75
65,0,1,1,192,0.34
66,0,0,0,198,0.50
67,2,1,1,198,0.37
68,2,0,0,204,0.65
69,1,1,1,204,0.33
70,1,0,0,210,0.31
71,2,1,1,210,0.61
72,0,0,0,216,0.42
73,1,1,1,216,0.60
74,1,0,0,222,0.66
75,1,1,1,222,0.72
76,2,0,0,228,0.32
77,1,1,1,228,0.63
78,0,0,0,234,0.47
79,0,1,1,234,0.35
80,0,0,0,240,0.68
81,1,1,1,240,0.35
82,0,0,0,246,0.48
83,0,1,1,246,0.33
84,2,0,0,252,0.41
85,1,1,1,252,0.27
86,0,0,0,258,0.32
87,1,1,1,258,0.60
88,1,0,0,264,0.27
89,2,1,1,264,0.77
90,1,0,0,270,0.62
91,1,1,1,270,0.48
92,2,0,0,276,0.27
93,1,1,1,276,0.54
94,1,0,0,282,0.61
95,1,1,1,282,0.30
96,1,0,0,288,0.43
97,1,1,1,288,0.57
98,1,0,0,294,0.27
99,1,1,1,294,0.33
100,2,0,0,300,0.54
101,1,1,1,300,0.39
102,1,0,0,306,0.73
103,2,1,1,306,0.26
104,2,0,0,312,0.32
105,1,1,1,312,0.55
106,2,0,0,318,0.46
107,0,1,1,318,0.68
108,0,0,0,324,0.31
109,1,1,1,324,0.31
110,2,0,0,330,0.70
111,1,1,1,330,0.80
112,1,0,0,336,0.40
113,0,1,1,336,0.48
114,1,0,0,342,0.83
115,1,1,1,342,0.66
116,0,0,0,348,0.59
117,2,1,1,348,0.66
118,2,0,0,354,0.67
119,1,1,1,354,0.61
120,0,0,0,360,0.31
121,2,1,1,360,0.61
122,1,0,0,366,0.30
123,0,1,1,366,0.55
124,2,0,0,372,0.64
125,2,1,1,372,0.67
