id,action,origin,destination,start_time
318,1,0,0,954
319,0,1,1,954
320,0,0,0,960
321,1,1,1,960
322,0,0,0,966
323,2,1,1,966
324,1,0,0,972
325,1,1,1,972
326,1,0,0,978
327,0,1,1,978
328,0,0,0,984
329,0,1,1,984
330,2,0,0,990
331,1,1,1,990
332,1,0,0,996
333,0,1,1,996
334,0,0,0,1002
335,0,1,1,1002
336,0,0,0,1008
337,2,1,1,1008
338,1,0,0,1014
339,2,1,1,1014
340,0,0,0,1020
341,2,1,1,1020
342,0,0,0,1026
343,1,1,1,1026
344,1,0,0,1032
345,1,1,1,1032
346,0,0,0,1038
347,1,1,1,1038
348,1,0,0,1044
349,1,1,1,1044
350,2,0,0,1050
351,1,1,1,1050
352,0,0,0,1056
353,1,1,1,1056
354,1,0,0,1062
355,0,1,1,1062
356,0,0,0,1068
357,0,1,1,1068
358,0,0,0,1074
359,0,1,1,1074
360,2,0,0,1080
361,2,1,1,1080
362,0,0,0,1086
363,0,1,1,1086
364,0,0,0,1092
365,1,1,1,1092
366,2,0,0,1098
367,2,1,1,1098
368,1,0,0,1104
369,0,1,1,1104
370,2,0,0,1110
371,0,1,1,1110
372,1,0,0,1116
373,1,1,1,1116
374,2,0,0,1122
375,0,1,1,1122
376,2,0,0,1128
377,1,1,1,1128
378,1,0,0,1134
379,1,1,1,1134
380,0,0,0,1140
381,0,1,1,1140
382,0,0,0,1146
383,0,1,1,1146
384,1,0,0,1152
385,0,1,1,1152
386,2,0,0,1158
387,2,1,1,1158
388,1,0,0,1164
389,1,1,1,1164
390,1,0,0,1170
391,0,1,1,1170
392,1,0,0,1176
393,1,1,1,1176
394,1,0,0,1182
395,1,1,1,1182
396,2,0,0,1188
397,1,1,1,1188
398,1,0,0,1194
399,1,1,1,1194
400,2,0,0,1200
401,1,1,1,1200
402,1,0,0,1206
403,0,1,1,1206
404,1,0,0,1212
405,1,1,1,1212
406,2,0,0,1218
407,2,1,1,1218
408,2,0,0,1224
409,2,1,1,1224
410,2,0,0,1230
411,0,1,1,1230
412,2,0,0,1236
413,0,1,1,1236
414,1,0,0,1242
415,2,1,1,1242
416,2,0,0,1248
417,0,1,1,1248
418,1,0,0,1254
419,2,1,1,1254
420,2,0,0,1260
421,0,1,1,1260
422,2,0,0,1266
423,0,1,1,1266
424,1,0,0,1272
425,0,1,1,1272
426,0,0,0,1278
427,1,1,1,1278
428,0,0,0,1284
429,2,1,1,1284
430,0,0,0,1290
431,1,1,1,1290
432,1,0,0,1296
433,1,1,1,1296
434,1,0,0,1302
435,1,1,1,1302
436,1,0,0,1308
437,2,1,1,1308
438,1,0,0,1314
439,1,1,1,1314
440,1,0,0,1320
441,1,1,1,1320
442,2,0,0,1326
443,0,1,1,1326
444,2,0,0,1332
445,0,1,1,1332
446,0,0,0,1338
447,0,1,1,1338
448,1,0,0,1344
449,2,1,1,1344
450,0,0,0,1350
451,2,1,1,1350
452,1,0,0,1356
453,0,1,1,1356
454,0,0,0,1362
455,0,1,1,1362
456,2,0,0,1368
457,1,1,1,1368
458,1,0,0,1374
459,2,1,1,1374
460,1,0,0,1380
461,0,1,1,1380
462,2,0,0,1386
463,0,1,1,1386
464,2,0,0,1392
465,1,1,1,1392
466,1,0,0,1398
467,1,1,1,1398
468,0,0,0,1404
469,0,1,1,1404
470,0,0,0,1410
471,2,1,1,1410
472,1,0,0,1416
473,2,1,1,1416
474,1,0,0,1422
475,2,1,1,1422
476,1,0,0,1428
477,2,1,1,1428
478,2,0,0,1434
479,1,1,1,1434
480,1,0,0,1440
481,1,1,1,1440
482,1,0,0,1446
483,0,1,1,1446
484,0,0,0,1452
485,0,1,1,1452
486,0,0,0,1458
487,0,1,1,1458
488,2,0,0,1464
489,0,1,1,1464
490,0,0,0,1470
491,2,1,1,1470
492,1,0,0,1476
493,2,1,1,1476
494,0,0,0,1482
495,1,1,1,1482
496,0,0,0,1488
497,2,1,1,1488
498,2,0,0,1494
499,2,1,1,1494
500,0,0,0,1500
501,1,1,1,1500
502,0,0,0,1506
503,1,1,1,1506
504,1,0,0,1512
505,0,1,1,1512
506,0,0,0,1518
507,1,1,1,1518
508,2,0,0,1524
509,2,1,1,1524
510,0,0,0,1530
511,1,1,1,1530
512,2,0,0,1536
513,0,1,1,1536
514,0,0,0,1542
515,1,1,1,1542
516,0,0,0,1548
517,1,1,1,1548
518,1,0,0,1554
519,2,1,1,1554
520,2,0,0,1560
521,1,1,1,1560
522,1,0,0,1566
523,0,1,1,1566
524,1,0,0,1572
525,1,1,1,1572
526,2,0,0,1578
527,0,1,1,1578
528,0,0,0,1584
529,2,1,1,1584
530,0,0,0,1590
531,2,1,1,1590
532,2,0,0,1596
533,0,1,1,1596
534,2,0,0,1602
535,0,1,1,1602
536,0,0,0,1608
537,0,1,1,1608
538,1,0,0,1614
539,1,1,1,1614
540,0,0,0,1620
541,2,1,1,1620
542,1,0,0,1626
543,1,1,1,1626
544,1,0,0,1632
545,1,1,1,1632
546,2,0,0,1638
547,2,1,1,1638
548,0,0,0,1644
549,0,1,1,1644
550,2,0,0,1650
551,2,1,1,1650
552,2,0,0,1656
553,0,1,1,1656
554,0,0,0,1662
555,2,1,1,1662
556,0,0,0,1668
557,1,1,1,1668
558,1,0,0,1674
559,2,1,1,1674
560,2,0,0,1680
561,1,1,1,1680
562,0,0,0,1686
563,2,1,1,1686
564,0,0,0,1692
565,1,1,1,1692
566,0,0,0,1698
567,2,1,1,1698
568,1,0,0,1704
569,0,1,1,1704
570,0,0,0,1710
571,1,1,1,1710
572,2,0,0,1716
573,0,1,1,1716
574,0,0,0,1722
575,0,1,1,1722
576,1,0,0,1728
577,2,1,1,1728
578,2,0,0,1734
579,0,1,1,1734
580,1,0,0,1740
581,2,1,1,1740
582,2,0,0,1746
583,0,1,1,1746
584,0,0,0,1752
585,0,1,1,1752
586,0,0,0,1758
587,2,1,1,1758
588,0,0,0,1764
589,1,1,1,1764
590,0,0,0,1770
591,1,1,1,1770
592,2,0,0,1776
593,2,1,1,1776
594,1,0,0,1782
595,0,1,1,1782
596,2,0,0,1788
597,0,1,1,1788
598,0,0,0,1794
599,0,1,1,1794
600,2,0,0,1800
601,0,1,1,1800
602,1,0,0,1806
603,1,1,1,1806
604,0,0,0,1812
605,0,1,1,1812
606,2,0,0,1818
607,2,1,1,1818
608,1,0,0,1824
609,0,1,1,1824
610,2,0,0,1830
611,0,1,1,1830
612,0,0,0,1836
613,2,1,1,1836
614,1,0,0,1842
615,0,1,1,1842
