id,action,origin,destination,start_time,epsilon
227,2,1,1,678,0.73
228,0,0,0,684,0.69
229,0,1,1,684,0.76
230,1,0,0,690,0.66
231,1,1,1,690,0.72
232,1,0,0,696,0.68
233,1,1,1,696,0.81
234,2,0,0,702,0.63
235,1,1,1,702,0.81
236,0,0,0,708,0.80
237,1,1,1,708,0.78
238,0,0,0,714,0.79
239,2,1,1,714,0.79
240,2,0,0,720,0.88
241,2,1,1,720,0.77
242,0,0,0,726,0.78
243,1,1,1,726,0.63
244,0,0,0,732,0.85
245,0,1,1,732,0.62
246,0,0,0,738,0.82
247,1,1,1,738,0.78
248,2,0,0,744,0.79
249,1,1,1,744,0.76
250,2,0,0,750,0.61
251,1,1,1,750,0.84
252,0,0,0,756,0.82
253,2,1,1,756,0.83
254,0,0,0,762,0.90
255,0,1,1,762,0.79
256,0,0,0,768,0.59
257,1,1,1,768,0.90
258,0,0,0,774,0.75
259,0,1,1,774,0.88
260,2,0,0,780,0.79
261,2,1,1,780,0.82
262,1,0,0,786,0.64
263,2,1,1,786,0.73
264,0,0,0,792,0.81
265,0,1,1,792,0.85
266,1,0,0,798,0.87
267,0,1,1,798,0.73
268,2,0,0,804,0.70
269,1,1,1,804,0.79
270,2,0,0,810,0.89
271,0,1,1,810,0.74
272,2,0,0,816,0.87
273,1,1,1,816,0.59
274,0,0,0,822,0.69
275,1,1,1,822,0.73
276,0,0,0,828,0.78
277,1,1,1,828,0.72
278,0,0,0,834,0.77
279,2,1,1,834,0.74
280,1,0,0,840,0.89
281,0,1,1,840,0.77
282,2,0,0,846,0.75
283,2,1,1,846,0.74
284,2,0,0,852,0.93
285,0,1,1,852,0.83
286,2,0,0,858,0.86
287,1,1,1,858,0.81
288,0,0,0,864,0.80
289,1,1,1,864,0.73
290,1,0,0,870,0.80
291,2,1,1,870,0.84
292,0,0,0,876,0.70
293,0,1,1,876,0.81
294,0,0,0,882,0.90
295,0,1,1,882,0.72
296,0,0,0,888,0.62
297,1,1,1,888,0.71
298,1,0,0,894,0.72
299,0,1,1,894,0.68
300,1,0,0,900,0.74
301,1,1,1,900,0.64
302,0,0,0,906,0.80
303,2,1,1,906,0.79
304,1,0,0,912,0.71
305,1,1,1,912,0.88
306,1,0,0,918,0.60
307,1,1,1,918,0.69
308,1,0,0,924,0.85
309,1,1,1,924,0.73
310,0,0,0,930,0.86
311,2,1,1,930,0.77
312,1,0,0,936,0.73
313,1,1,1,936,0.79
314,2,0,0,942,0.89
315,1,1,1,942,0.81
316,0,0,0,948,0.72
317,2,1,1,948,0.65
318,1,0,0,954,0.62
319,0,1,1,954,0.75
320,1,0,0,960,0.75
321,2,1,1,960,0.66
322,1,0,0,966,0.91
323,0,1,1,966,0.70
324,2,0,0,972,0.89
325,1,1,1,972,0.77
326,2,0,0,978,0.92
327,0,1,1,978,0.72
328,1,0,0,984,0.71
329,1,1,1,984,0.73
330,0,0,0,990,0.80
331,0,1,1,990,0.79
332,1,0,0,996,0.76
333,1,1,1,996,0.69
334,0,0,0,1002,0.69
335,0,1,1,1002,0.78
336,2,0,0,1008,0.74
337,1,1,1,1008,0.77
338,0,0,0,1014,0.81
339,1,1,1,1014,0.76
340,1,0,0,1020,0.81
341,0,1,1,1020,0.69
342,0,0,0,1026,0.69
343,0,1,1,1026,0.83
344,0,0,0,1032,0.89
345,1,1,1,1032,0.78
346,0,0,0,1038,0.82
347,1,1,1,1038,0.60
348,0,0,0,1044,0.71
349,2,1,1,1044,0.87
350,2,0,0,1050,0.91
351,1,1,1,1050,0.69
352,2,0,0,1056,0.90
353,0,1,1,1056,0.58
354,0,0,0,1062,0.73
355,0,1,1,1062,0.68
356,1,0,0,1068,0.73
357,0,1,1,1068,0.62
