id,action,origin,destination,start_time
0,0,0,0,0
1,0,1,1,0
2,1,0,0,6
3,2,1,1,6
4,0,0,0,12
5,0,1,1,12
6,0,0,0,18
7,0,1,1,18
8,0,0,0,24
9,1,1,1,24
10,2,0,0,30
11,2,1,1,30
12,2,0,0,36
13,0,1,1,36
14,0,0,0,42
15,2,1,1,42
16,1,0,0,48
17,1,1,1,48
18,1,0,0,54
19,1,1,1,54
20,1,0,0,60
21,2,1,1,60
22,1,0,0,66
23,1,1,1,66
24,2,0,0,72
25,1,1,1,72
26,1,0,0,78
27,1,1,1,78
28,1,0,0,84
29,2,1,1,84
30,1,0,0,90
31,1,1,1,90
32,1,0,0,96
33,0,1,1,96
34,2,0,0,102
35,2,1,1,102
36,0,0,0,108
37,1,1,1,108
38,1,0,0,114
39,1,1,1,114
40,0,0,0,120
41,0,1,1,120
42,0,0,0,126
43,1,1,1,126
44,2,0,0,132
45,1,1,1,132
46,2,0,0,138
47,0,1,1,138
48,2,0,0,144
49,0,1,1,144
50,0,0,0,150
51,2,1,1,150
52,2,0,0,156
53,2,1,1,156
54,2,0,0,162
55,1,1,1,162
56,2,0,0,168
57,0,1,1,168
58,0,0,0,174
59,1,1,1,174
60,2,0,0,180
61,1,1,1,180
62,0,0,0,186
63,2,1,1,186
64,1,0,0,192
65,1,1,1,192
66,1,0,0,198
67,0,1,1,198
68,2,0,0,204
69,1,1,1,204
70,2,0,0,210
71,0,1,1,210
72,0,0,0,216
73,2,1,1,216
74,0,0,0,222
75,1,1,1,222
76,0,0,0,228
77,0,1,1,228
78,0,0,0,234
79,2,1,1,234
80,1,0,0,240
81,2,1,1,240
82,2,0,0,246
83,1,1,1,246
84,0,0,0,252
85,1,1,1,252
86,1,0,0,258
87,2,1,1,258
88,1,0,0,264
89,2,1,1,264
90,1,0,0,270
91,0,1,1,270
92,2,0,0,276
93,1,1,1,276
94,0,0,0,282
95,2,1,1,282
96,1,0,0,288
97,0,1,1,288
98,1,0,0,294
99,0,1,1,294
100,2,0,0,300
101,2,1,1,300
102,1,0,0,306
103,1,1,1,306
104,1,0,0,312
105,2,1,1,312
106,0,0,0,318
107,0,1,1,318
108,0,0,0,324
109,1,1,1,324
110,1,0,0,330
111,2,1,1,330
112,0,0,0,336
113,2,1,1,336
114,2,0,0,342
115,2,1,1,342
116,0,0,0,348
117,1,1,1,348
118,1,0,0,354
119,1,1,1,354
120,2,0,0,360
121,0,1,1,360
122,2,0,0,366
123,2,1,1,366
124,2,0,0,372
125,2,1,1,372
126,2,0,0,378
127,2,1,1,378
128,1,0,0,384
129,2,1,1,384
130,1,0,0,390
131,0,1,1,390
132,2,0,0,396
133,2,1,1,396
134,2,0,0,402
135,2,1,1,402
136,0,0,0,408
137,2,1,1,408
138,0,0,0,414
139,0,1,1,414
140,0,0,0,420
141,0,1,1,420
142,0,0,0,426
143,2,1,1,426
144,1,0,0,432
145,0,1,1,432
146,2,0,0,438
147,0,1,1,438
148,1,0,0,444
149,2,1,1,444
150,2,0,0,450
151,0,1,1,450
152,2,0,0,456
153,2,1,1,456
154,0,0,0,462
155,1,1,1,462
156,2,0,0,468
157,0,1,1,468
158,2,0,0,474
159,1,1,1,474
160,1,0,0,480
161,2,1,1,480
162,0,0,0,486
163,1,1,1,486
164,0,0,0,492
165,0,1,1,492
166,2,0,0,498
167,1,1,1,498
168,2,0,0,504
169,2,1,1,504
170,2,0,0,510
171,1,1,1,510
172,1,0,0,516
173,0,1,1,516
174,1,0,0,522
175,0,1,1,522
176,0,0,0,528
177,0,1,1,528
178,2,0,0,534
179,2,1,1,534
180,0,0,0,540
181,1,1,1,540
182,2,0,0,546
183,0,1,1,546
184,1,0,0,552
185,1,1,1,552
186,1,0,0,558
187,2,1,1,558
188,1,0,0,564
189,1,1,1,564
190,0,0,0,570
191,0,1,1,570
192,0,0,0,576
193,0,1,1,576
194,0,0,0,582
195,0,1,1,582
196,2,0,0,588
197,2,1,1,588
198,2,0,0,594
199,1,1,1,594
200,1,0,0,600
201,2,1,1,600
202,2,0,0,606
203,0,1,1,606
204,0,0,0,612
205,0,1,1,612
206,2,0,0,618
207,2,1,1,618
208,2,0,0,624
209,0,1,1,624
210,0,0,0,630
211,1,1,1,630
212,1,0,0,636
213,0,1,1,636
214,0,0,0,642
215,1,1,1,642
216,1,0,0,648
217,2,1,1,648
218,2,0,0,654
219,1,1,1,654
220,2,0,0,660
221,1,1,1,660
222,0,0,0,666
223,1,1,1,666
224,1,0,0,672
225,2,1,1,672
226,1,0,0,678
227,2,1,1,678
228,1,0,0,684
229,2,1,1,684
230,1,0,0,690
231,0,1,1,690
232,1,0,0,696
233,1,1,1,696
234,0,0,0,702
235,1,1,1,702
236,2,0,0,708
237,1,1,1,708
238,2,0,0,714
239,2,1,1,714
240,1,0,0,720
241,0,1,1,720
242,0,0,0,726
243,1,1,1,726
244,1,0,0,732
245,1,1,1,732
246,0,0,0,738
247,0,1,1,738
248,0,0,0,744
249,0,1,1,744
250,1,0,0,750
251,1,1,1,750
252,1,0,0,756
253,1,1,1,756
254,1,0,0,762
255,0,1,1,762
256,2,0,0,768
257,2,1,1,768
258,1,0,0,774
259,1,1,1,774
260,1,0,0,780
261,0,1,1,780
262,2,0,0,786
263,0,1,1,786
264,1,0,0,792
265,0,1,1,792
266,1,0,0,798
267,2,1,1,798
268,0,0,0,804
269,2,1,1,804
270,1,0,0,810
271,0,1,1,810
272,2,0,0,816
273,0,1,1,816
274,0,0,0,822
