id,action,origin,destination,start_time
0,1,0,0,0
1,2,1,1,0
2,0,0,0,6
3,2,1,1,6
4,1,0,0,12
5,0,1,1,12
6,1,0,0,18
7,2,1,1,18
8,1,0,0,24
9,1,1,1,24
10,0,0,0,30
11,0,1,1,30
12,1,0,0,36
13,2,1,1,36
14,2,0,0,42
15,0,1,1,42
16,0,0,0,48
17,0,1,1,48
18,0,0,0,54
19,0,1,1,54
20,1,0,0,60
21,1,1,1,60
22,2,0,0,66
23,0,1,1,66
24,2,0,0,72
25,2,1,1,72
26,2,0,0,78
27,1,1,1,78
28,0,0,0,84
29,1,1,1,84
30,2,0,0,90
31,1,1,1,90
32,2,0,0,96
33,2,1,1,96
34,2,0,0,102
35,0,1,1,102
36,1,0,0,108
37,0,1,1,108
38,0,0,0,114
39,1,1,1,114
40,2,0,0,120
41,1,1,1,120
42,1,0,0,126
43,0,1,1,126
44,1,0,0,132
45,2,1,1,132
46,1,0,0,138
47,2,1,1,138
48,2,0,0,144
49,0,1,1,144
50,2,0,0,150
51,1,1,1,150
52,2,0,0,156
53,0,1,1,156
54,1,0,0,162
55,1,1,1,162
56,0,0,0,168
57,2,1,1,168
58,2,0,0,174
59,2,1,1,174
60,1,0,0,180
61,0,1,1,180
62,0,0,0,186
63,2,1,1,186
64,1,0,0,192
65,1,1,1,192
66,2,0,0,198
67,1,1,1,198
68,0,0,0,204
69,0,1,1,204
70,0,0,0,210
71,1,1,1,210
72,1,0,0,216
73,1,1,1,216
74,2,0,0,222
75,1,1,1,222
76,1,0,0,228
77,0,1,1,228
78,1,0,0,234
79,1,1,1,234
80,0,0,0,240
81,1,1,1,240
82,1,0,0,246
83,0,1,1,246
84,2,0,0,252
85,1,1,1,252
86,2,0,0,258
87,2,1,1,258
88,2,0,0,264
89,0,1,1,264
90,0,0,0,270
91,1,1,1,270
92,0,0,0,276
93,0,1,1,276
94,1,0,0,282
95,1,1,1,282
96,2,0,0,288
97,2,1,1,288
98,2,0,0,294
99,0,1,1,294
100,2,0,0,300
101,1,1,1,300
102,1,0,0,306
103,1,1,1,306
104,1,0,0,312
105,0,1,1,312
106,1,0,0,318
107,2,1,1,318
108,1,0,0,324
109,0,1,1,324
110,2,0,0,330
111,1,1,1,330
112,2,0,0,336
113,2,1,1,336
114,1,0,0,342
115,2,1,1,342
116,0,0,0,348
117,1,1,1,348
118,0,0,0,354
119,0,1,1,354
120,1,0,0,360
121,0,1,1,360
122,1,0,0,366
123,2,1,1,366
124,1,0,0,372
125,1,1,1,372
126,2,0,0,378
127,2,1,1,378
128,1,0,0,384
129,2,1,1,384
130,1,0,0,390
131,2,1,1,390
132,0,0,0,396
133,1,1,1,396
134,1,0,0,402
135,1,1,1,402
136,1,0,0,408
137,0,1,1,408
138,1,0,0,414
139,0,1,1,414
140,2,0,0,420
141,0,1,1,420
142,1,0,0,426
143,0,1,1,426
144,2,0,0,432
145,0,1,1,432
146,1,0,0,438
147,0,1,1,438
148,0,0,0,444
149,0,1,1,444
150,0,0,0,450
151,1,1,1,450
152,0,0,0,456
153,2,1,1,456
154,2,0,0,462
155,2,1,1,462
156,0,0,0,468
157,1,1,1,468
158,0,0,0,474
159,0,1,1,474
160,2,0,0,480
161,1,1,1,480
162,0,0,0,486
163,0,1,1,486
164,1,0,0,492
165,1,1,1,492
166,1,0,0,498
167,2,1,1,498
168,2,0,0,504
169,0,1,1,504
170,0,0,0,510
171,0,1,1,510
172,2,0,0,516
173,0,1,1,516
174,0,0,0,522
175,2,1,1,522
176,0,0,0,528
177,1,1,1,528
178,0,0,0,534
179,0,1,1,534
180,0,0,0,540
181,0,1,1,540
182,1,0,0,546
183,1,1,1,546
184,1,0,0,552
185,0,1,1,552
186,2,0,0,558
187,1,1,1,558
188,0,0,0,564
189,0,1,1,564
190,1,0,0,570
191,2,1,1,570
192,1,0,0,576
193,1,1,1,576
194,0,0,0,582
195,2,1,1,582
196,0,0,0,588
197,2,1,1,588
198,0,0,0,594
199,1,1,1,594
200,2,0,0,600
201,0,1,1,600
202,0,0,0,606
203,2,1,1,606
204,0,0,0,612
205,2,1,1,612
206,0,0,0,618
207,0,1,1,618
208,1,0,0,624
209,2,1,1,624
210,1,0,0,630
211,2,1,1,630
212,1,0,0,636
213,0,1,1,636
214,0,0,0,642
215,0,1,1,642
216,0,0,0,648
217,0,1,1,648
218,2,0,0,654
219,0,1,1,654
220,0,0,0,660
221,0,1,1,660
222,0,0,0,666
223,1,1,1,666
224,1,0,0,672
225,2,1,1,672
226,0,0,0,678
227,2,1,1,678
228,0,0,0,684
229,0,1,1,684
230,0,0,0,690
231,0,1,1,690
232,2,0,0,696
233,0,1,1,696
234,2,0,0,702
235,2,1,1,702
236,0,0,0,708
237,0,1,1,708
238,2,0,0,714
239,1,1,1,714
240,2,0,0,720
241,2,1,1,720
242,2,0,0,726
243,0,1,1,726
244,0,0,0,732
245,0,1,1,732
246,2,0,0,738
247,1,1,1,738
248,2,0,0,744
249,0,1,1,744
250,1,0,0,750
251,0,1,1,750
252,0,0,0,756
253,0,1,1,756
254,1,0,0,762
255,2,1,1,762
256,1,0,0,768
257,1,1,1,768
258,1,0,0,774
259,2,1,1,774
260,2,0,0,780
261,0,1,1,780
262,0,0,0,786
263,1,1,1,786
264,0,0,0,792
265,2,1,1,792
266,2,0,0,798
267,1,1,1,798
268,0,0,0,804
269,1,1,1,804
270,2,0,0,810
271,2,1,1,810
272,2,0,0,816
273,2,1,1,816
274,0,0,0,822
275,1,1,1,822
276,2,0,0,828
277,1,1,1,828
278,1,0,0,834
279,0,1,1,834
280,1,0,0,840
281,1,1,1,840
282,1,0,0,846
283,2,1,1,846
284,0,0,0,852
285,0,1,1,852
286,2,0,0,858
287,2,1,1,858
288,0,0,0,864
289,0,1,1,864
290,1,0,0,870
291,2,1,1,870
292,2,0,0,876
293,0,1,1,876
294,0,0,0,882
295,2,1,1,882
296,2,0,0,888
297,0,1,1,888
298,1,0,0,894
299,1,1,1,894
300,1,0,0,900
301,0,1,1,900
302,1,0,0,906
303,0,1,1,906
304,0,0,0,912
305,1,1,1,912
306,0,0,0,918
307,0,1,1,918
308,2,0,0,924
309,0,1,1,924
310,1,0,0,930
311,2,1,1,930
312,1,0,0,936
313,2,1,1,936
314,2,0,0,942
315,2,1,1,942
316,2,0,0,948
317,0,1,1,948
318,1,0,0,954
319,1,1,1,954
320,1,0,0,960
321,0,1,1,960
322,0,0,0,966
323,0,1,1,966
324,0,0,0,972
325,0,1,1,972
326,2,0,0,978
327,0,1,1,978
328,1,0,0,984
329,1,1,1,984
330,0,0,0,990
331,0,1,1,990
332,0,0,0,996
333,1,1,1,996
334,1,0,0,1002
335,1,1,1,1002
336,2,0,0,1008
337,1,1,1,1008
338,1,0,0,1014
339,1,1,1,1014
340,0,0,0,1020
341,2,1,1,1020
342,1,0,0,1026
343,2,1,1,1026
344,2,0,0,1032
345,0,1,1,1032
346,1,0,0,1038
347,0,1,1,1038
348,2,0,0,1044
349,0,1,1,1044
350,0,0,0,1050
351,2,1,1,1050
352,0,0,0,1056
