id,action,origin,destination,start_time
0,1,0,0,0
1,0,1,1,0
2,0,0,0,6
3,0,1,1,6
4,1,0,0,12
5,0,1,1,12
6,2,0,0,18
7,0,1,1,18
8,1,0,0,24
9,0,1,1,24
10,1,0,0,30
11,0,1,1,30
12,0,0,0,36
13,1,1,1,36
14,1,0,0,42
15,1,1,1,42
16,0,0,0,48
17,0,1,1,48
18,0,0,0,54
19,1,1,1,54
20,0,0,0,60
21,1,1,1,60
22,1,0,0,66
23,1,1,1,66
24,0,0,0,72
25,2,1,1,72
26,1,0,0,78
27,0,1,1,78
28,1,0,0,84
29,0,1,1,84
30,2,0,0,90
31,2,1,1,90
32,1,0,0,96
33,2,1,1,96
34,1,0,0,102
35,1,1,1,102
36,1,0,0,108
37,0,1,1,108
38,1,0,0,114
39,0,1,1,114
40,1,0,0,120
41,2,1,1,120
42,1,0,0,126
43,0,1,1,126
44,0,0,0,132
45,0,1,1,132
46,2,0,0,138
47,1,1,1,138
48,1,0,0,144
49,2,1,1,144
50,0,0,0,150
51,0,1,1,150
52,1,0,0,156
53,2,1,1,156
54,0,0,0,162
55,1,1,1,162
56,2,0,0,168
57,2,1,1,168
58,2,0,0,174
59,0,1,1,174
60,0,0,0,180
61,1,1,1,180
62,0,0,0,186
63,0,1,1,186
64,2,0,0,192
65,2,1,1,192
66,1,0,0,198
67,1,1,1,198
68,2,0,0,204
69,0,1,1,204
70,2,0,0,210
71,0,1,1,210
72,2,0,0,216
73,1,1,1,216
74,1,0,0,222
75,0,1,1,222
76,1,0,0,228
77,2,1,1,228
78,1,0,0,234
79,2,1,1,234
80,2,0,0,240
81,1,1,1,240
82,1,0,0,246
83,2,1,1,246
84,1,0,0,252
85,2,1,1,252
86,0,0,0,258
87,0,1,1,258
88,1,0,0,264
89,0,1,1,264
90,2,0,0,270
91,1,1,1,270
92,2,0,0,276
93,0,1,1,276
94,1,0,0,282
95,1,1,1,282
96,1,0,0,288
97,1,1,1,288
98,0,0,0,294
99,1,1,1,294
100,0,0,0,300
101,1,1,1,300
102,1,0,0,306
103,2,1,1,306
104,1,0,0,312
105,0,1,1,312
106,1,0,0,318
107,1,1,1,318
108,2,0,0,324
109,0,1,1,324
110,2,0,0,330
111,0,1,1,330
112,2,0,0,336
113,0,1,1,336
114,0,0,0,342
115,0,1,1,342
116,1,0,0,348
117,0,1,1,348
118,1,0,0,354
119,2,1,1,354
120,2,0,0,360
121,1,1,1,360
122,1,0,0,366
123,1,1,1,366
124,2,0,0,372
125,1,1,1,372
126,2,0,0,378
127,2,1,1,378
128,2,0,0,384
129,2,1,1,384
130,0,0,0,390
131,1,1,1,390
132,1,0,0,396
133,2,1,1,396
134,0,0,0,402
135,0,1,1,402
136,0,0,0,408
137,1,1,1,408
138,0,0,0,414
139,1,1,1,414
140,1,0,0,420
141,0,1,1,420
142,2,0,0,426
143,0,1,1,426
144,0,0,0,432
145,1,1,1,432
146,1,0,0,438
147,1,1,1,438
148,2,0,0,444
149,0,1,1,444
150,0,0,0,450
151,2,1,1,450
152,2,0,0,456
153,2,1,1,456
154,0,0,0,462
155,2,1,1,462
156,2,0,0,468
157,2,1,1,468
158,1,0,0,474
159,2,1,1,474
160,0,0,0,480
161,1,1,1,480
162,1,0,0,486
163,2,1,1,486
164,0,0,0,492
165,1,1,1,492
166,0,0,0,498
167,1,1,1,498
168,2,0,0,504
169,2,1,1,504
170,1,0,0,510
171,1,1,1,510
172,1,0,0,516
173,1,1,1,516
174,2,0,0,522
175,2,1,1,522
176,0,0,0,528
177,0,1,1,528
178,0,0,0,534
179,1,1,1,534
180,2,0,0,540
181,2,1,1,540
182,0,0,0,546
183,2,1,1,546
184,0,0,0,552
185,1,1,1,552
186,2,0,0,558
187,0,1,1,558
188,1,0,0,564
189,0,1,1,564
190,1,0,0,570
191,2,1,1,570
192,1,0,0,576
193,2,1,1,576
194,1,0,0,582
195,1,1,1,582
196,0,0,0,588
197,0,1,1,588
198,1,0,0,594
199,0,1,1,594
200,0,0,0,600
201,0,1,1,600
202,0,0,0,606
203,2,1,1,606
204,1,0,0,612
205,0,1,1,612
206,2,0,0,618
207,0,1,1,618
208,0,0,0,624
209,2,1,1,624
210,0,0,0,630
211,0,1,1,630
212,0,0,0,636
213,0,1,1,636
214,2,0,0,642
215,2,1,1,642
216,0,0,0,648
217,0,1,1,648
218,2,0,0,654
219,1,1,1,654
220,2,0,0,660
221,1,1,1,660
222,1,0,0,666
223,2,1,1,666
224,1,0,0,672
225,0,1,1,672
226,0,0,0,678
227,0,1,1,678
228,2,0,0,684
229,1,1,1,684
230,2,0,0,690
231,1,1,1,690
232,0,0,0,696
233,1,1,1,696
234,1,0,0,702
235,1,1,1,702
236,0,0,0,708
237,2,1,1,708
238,0,0,0,714
239,0,1,1,714
240,2,0,0,720
241,2,1,1,720
242,1,0,0,726
243,0,1,1,726
244,1,0,0,732
245,0,1,1,732
246,1,0,0,738
247,0,1,1,738
248,2,0,0,744
249,1,1,1,744
250,1,0,0,750
251,2,1,1,750
252,2,0,0,756
253,2,1,1,756
254,2,0,0,762
255,2,1,1,762
256,0,0,0,768
257,0,1,1,768
258,0,0,0,774
259,1,1,1,774
