id,action,origin,destination,start_time
0,2,0,0,0
1,0,1,1,0
2,2,0,0,6
3,2,1,1,6
4,0,0,0,12
5,2,1,1,12
6,1,0,0,18
7,0,1,1,18
8,0,0,0,24
9,1,1,1,24
10,1,0,0,30
11,0,1,1,30
12,1,0,0,36
13,0,1,1,36
14,2,0,0,42
15,2,1,1,42
16,2,0,0,48
17,1,1,1,48
18,1,0,0,54
19,2,1,1,54
20,1,0,0,60
21,2,1,1,60
22,1,0,0,66
23,2,1,1,66
24,0,0,0,72
25,2,1,1,72
26,2,0,0,78
27,2,1,1,78
28,0,0,0,84
29,2,1,1,84
30,2,0,0,90
31,2,1,1,90
32,1,0,0,96
33,1,1,1,96
34,1,0,0,102
35,2,1,1,102
36,1,0,0,108
37,2,1,1,108
38,2,0,0,114
39,1,1,1,114
40,2,0,0,120
41,0,1,1,120
42,2,0,0,126
43,1,1,1,126
44,0,0,0,132
45,2,1,1,132
46,1,0,0,138
47,0,1,1,138
48,1,0,0,144
49,1,1,1,144
50,1,0,0,150
51,1,1,1,150
52,1,0,0,156
53,2,1,1,156
54,2,0,0,162
55,0,1,1,162
56,1,0,0,168
57,0,1,1,168
58,0,0,0,174
59,0,1,1,174
60,2,0,0,180
61,1,1,1,180
62,1,0,0,186
63,0,1,1,186
64,0,0,0,192
65,2,1,1,192
66,1,0,0,198
67,0,1,1,198
68,2,0,0,204
69,1,1,1,204
70,2,0,0,210
71,0,1,1,210
72,0,0,0,216
73,2,1,1,216
74,0,0,0,222
75,2,1,1,222
76,2,0,0,228
77,2,1,1,228
78,0,0,0,234
79,0,1,1,234
80,0,0,0,240
81,1,1,1,240
82,0,0,0,246
83,1,1,1,246
84,1,0,0,252
85,1,1,1,252
86,2,0,0,258
87,2,1,1,258
88,0,0,0,264
89,1,1,1,264
90,0,0,0,270
91,2,1,1,270
92,2,0,0,276
93,0,1,1,276
94,2,0,0,282
95,2,1,1,282
96,2,0,0,288
97,2,1,1,288
98,1,0,0,294
99,1,1,1,294
100,1,0,0,300
101,0,1,1,300
102,2,0,0,306
103,1,1,1,306
104,2,0,0,312
105,2,1,1,312
106,0,0,0,318
107,0,1,1,318
108,2,0,0,324
109,1,1,1,324
110,1,0,0,330
111,2,1,1,330
112,0,0,0,336
113,1,1,1,336
114,2,0,0,342
115,1,1,1,342
116,0,0,0,348
117,2,1,1,348
118,0,0,0,354
119,1,1,1,354
120,1,0,0,360
121,2,1,1,360
122,0,0,0,366
123,1,1,1,366
124,1,0,0,372
125,1,1,1,372
126,0,0,0,378
127,1,1,1,378
128,2,0,0,384
129,1,1,1,384
130,2,0,0,390
131,2,1,1,390
132,1,0,0,396
133,1,1,1,396
134,2,0,0,402
135,0,1,1,402
136,2,0,0,408
137,0,1,1,408
138,2,0,0,414
139,1,1,1,414
140,1,0,0,420
141,1,1,1,420
142,1,0,0,426
143,0,1,1,426
144,1,0,0,432
145,2,1,1,432
146,2,0,0,438
147,1,1,1,438
148,2,0,0,444
149,2,1,1,444
150,2,0,0,450
151,1,1,1,450
152,2,0,0,456
153,0,1,1,456
154,2,0,0,462
155,0,1,1,462
156,0,0,0,468
157,2,1,1,468
158,1,0,0,474
159,2,1,1,474
160,1,0,0,480
161,2,1,1,480
162,2,0,0,486
163,2,1,1,486
164,2,0,0,492
165,1,1,1,492
166,2,0,0,498
167,2,1,1,498
168,0,0,0,504
169,2,1,1,504
170,2,0,0,510
171,1,1,1,510
172,1,0,0,516
173,2,1,1,516
174,1,0,0,522
175,0,1,1,522
176,2,0,0,528
177,2,1,1,528
178,0,0,0,534
179,2,1,1,534
180,2,0,0,540
181,1,1,1,540
182,0,0,0,546
183,0,1,1,546
184,0,0,0,552
185,0,1,1,552
186,1,0,0,558
187,1,1,1,558
188,2,0,0,564
189,2,1,1,564
190,0,0,0,570
191,1,1,1,570
