id,action,origin,destination,start_time
0,1,0,0,0
1,1,1,1,0
2,0,0,0,6
3,0,1,1,6
4,0,0,0,12
5,0,1,1,12
6,2,0,0,18
7,1,1,1,18
8,0,0,0,24
9,2,1,1,24
10,0,0,0,30
11,0,1,1,30
12,0,0,0,36
13,0,1,1,36
14,0,0,0,42
15,0,1,1,42
16,1,0,0,48
17,1,1,1,48
18,2,0,0,54
19,0,1,1,54
20,1,0,0,60
21,0,1,1,60
22,0,0,0,66
23,0,1,1,66
24,0,0,0,72
25,2,1,1,72
26,2,0,0,78
27,0,1,1,78
28,2,0,0,84
29,2,1,1,84
30,0,0,0,90
31,0,1,1,90
32,2,0,0,96
33,2,1,1,96
34,2,0,0,102
35,0,1,1,102
36,0,0,0,108
37,1,1,1,108
38,0,0,0,114
39,1,1,1,114
40,1,0,0,120
41,0,1,1,120
42,2,0,0,126
43,0,1,1,126
44,0,0,0,132
45,2,1,1,132
46,0,0,0,138
47,1,1,1,138
48,0,0,0,144
49,0,1,1,144
50,2,0,0,150
51,0,1,1,150
52,0,0,0,156
53,0,1,1,156
54,0,0,0,162
55,1,1,1,162
56,2,0,0,168
57,1,1,1,168
58,2,0,0,174
59,2,1,1,174
60,1,0,0,180
61,2,1,1,180
62,1,0,0,186
63,2,1,1,186
64,2,0,0,192
65,1,1,1,192
66,0,0,0,198
67,2,1,1,198
68,1,0,0,204
69,2,1,1,204
70,1,0,0,210
71,2,1,1,210
72,1,0,0,216
73,0,1,1,216
74,2,0,0,222
75,2,1,1,222
76,0,0,0,228
77,1,1,1,228
78,2,0,0,234
79,1,1,1,234
80,1,0,0,240
81,0,1,1,240
82,2,0,0,246
83,0,1,1,246
84,2,0,0,252
85,2,1,1,252
86,2,0,0,258
87,0,1,1,258
88,1,0,0,264
89,1,1,1,264
90,1,0,0,270
91,1,1,1,270
92,1,0,0,276
93,0,1,1,276
94,0,0,0,282
95,0,1,1,282
96,2,0,0,288
97,0,1,1,288
98,2,0,0,294
99,2,1,1,294
100,0,0,0,300
101,0,1,1,300
102,0,0,0,306
103,1,1,1,306
104,1,0,0,312
105,0,1,1,312
106,1,0,0,318
107,1,1,1,318
108,2,0,0,324
109,2,1,1,324
110,1,0,0,330
111,0,1,1,330
112,0,0,0,336
113,0,1,1,336
114,2,0,0,342
115,0,1,1,342
116,1,0,0,348
117,2,1,1,348
118,2,0,0,354
119,1,1,1,354
120,2,0,0,360
121,2,1,1,360
122,0,0,0,366
123,2,1,1,366
124,2,0,0,372
125,1,1,1,372
126,0,0,0,378
127,1,1,1,378
128,0,0,0,384
129,0,1,1,384
130,0,0,0,390
131,0,1,1,390
132,0,0,0,396
133,0,1,1,396
134,0,0,0,402
135,1,1,1,402
136,2,0,0,408
137,0,1,1,408
138,1,0,0,414
139,2,1,1,414
140,1,0,0,420
141,1,1,1,420
142,1,0,0,426
143,1,1,1,426
144,0,0,0,432
145,1,1,1,432
146,0,0,0,438
147,2,1,1,438
148,1,0,0,444
149,1,1,1,444
150,1,0,0,450
151,0,1,1,450
152,1,0,0,456
153,2,1,1,456
154,0,0,0,462
155,0,1,1,462
156,2,0,0,468
157,1,1,1,468
158,2,0,0,474
159,0,1,1,474
160,0,0,0,480
161,0,1,1,480
162,0,0,0,486
163,1,1,1,486
164,2,0,0,492
165,1,1,1,492
166,0,0,0,498
167,1,1,1,498
168,1,0,0,504
169,2,1,1,504
170,0,0,0,510
171,1,1,1,510
172,0,0,0,516
173,1,1,1,516
174,1,0,0,522
175,0,1,1,522
176,1,0,0,528
