id,action,origin,destination,start_time,epsilon
0,1,0,0,0,0.64
1,2,1,1,0,0.80
2,0,0,0,6,0.62
3,1,1,1,6,0.66
4,0,0,0,12,0.55
5,1,1,1,12,0.72
6,0,0,0,18,0.55
7,0,1,1,18,0.90
8,0,0,0,24,0.63
9,1,1,1,24,0.69
10,1,0,0,30,0.63
11,1,1,1,30,0.65
12,0,0,0,36,0.86
13,2,1,1,36,0.75
14,1,0,0,42,0.54
15,1,1,1,42,0.87
16,2,0,0,48,0.76
17,1,1,1,48,0.66
18,2,0,0,54,0.61
19,2,1,1,54,0.71
20,0,0,0,60,0.70
21,0,1,1,60,0.59
22,2,0,0,66,0.60
23,0,1,1,66,0.82
24,0,0,0,72,0.80
25,0,1,1,72,0.64
26,2,0,0,78,0.73
27,2,1,1,78,0.88
28,1,0,0,84,0.56
29,1,1,1,84,0.62
30,0,0,0,90,0.65
31,1,1,1,90,0.72
32,0,0,0,96,0.67
33,1,1,1,96,0.58
34,0,0,0,102,0.77
35,0,1,1,102,0.65
36,2,0,0,108,0.66
37,2,1,1,108,0.71
38,0,0,0,114,0.57
39,0,1,1,114,0.57
40,2,0,0,120,0.89
41,1,1,1,120,0.71
42,2,0,0,126,0.75
43,0,1,1,126,0.55
44,1,0,0,132,0.81
45,0,1,1,132,0.74
46,0,0,0,138,0.73
47,2,1,1,138,0.66
48,1,0,0,144,0.60
49,0,1,1,144,0.59
50,0,0,0,150,0.79
51,1,1,1,150,0.66
52,1,0,0,156,0.72
53,2,1,1,156,0.67
54,0,0,0,162,0.67
55,0,1,1,162,0.60
56,2,0,0,168,0.56
57,0,1,1,168,0.69
58,0,0,0,174,0.72
59,1,1,1,174,0.76
60,2,0,0,180,0.53
61,1,1,1,180,0.89
62,0,0,0,186,0.70
63,1,1,1,186,0.84
64,0,0,0,192,0.87
65,2,1,1,192,0.63
66,1,0,0,198,0.79
67,0,1,1,198,0.70
68,0,0,0,204,0.76
69,1,1,1,204,0.62
70,1,0,0,210,0.59
71,0,1,1,210,0.76
72,1,0,0,216,0.64
73,1,1,1,216,0.75
74,1,0,0,222,0.85
75,0,1,1,222,0.83
76,2,0,0,228,0.65
77,1,1,1,228,0.74
78,1,0,0,234,0.71
79,2,1,1,234,0.57
80,2,0,0,240,0.83
81,0,1,1,240,0.63
82,1,0,0,246,0.66
83,1,1,1,246,0.69
84,1,0,0,252,0.75
85,2,1,1,252,0.56
86,1,0,0,258,0.61
87,1,1,1,258,0.72
88,0,0,0,264,0.53
89,0,1,1,264,0.87
90,0,0,0,270,0.86
91,1,1,1,270,0.68
92,1,0,0,276,0.54
93,0,1,1,276,0.66
94,0,0,0,282,0.68
95,2,1,1,282,0.60
96,0,0,0,288,0.68
97,0,1,1,288,0.79
98,2,0,0,294,0.54
99,0,1,1,294,0.59
100,2,0,0,300,0.70
101,1,1,1,300,0.64
102,2,0,0,306,0.82
103,0,1,1,306,0.55
104,0,0,0,312,0.57
105,1,1,1,312,0.70
106,1,0,0,318,0.74
107,0,1,1,318,0.76
108,2,0,0,324,0.61
109,0,1,1,324,0.64
110,1,0,0,330,0.78
111,0,1,1,330,0.92
112,0,0,0,336,0.59
113,0,1,1,336,0.71
114,0,0,0,342,0.90
115,1,1,1,342,0.74
116,1,0,0,348,0.70
117,0,1,1,348,0.83
118,2,0,0,354,0.82
119,2,1,1,354,0.85
120,2,0,0,360,0.59
121,1,1,1,360,0.77
122,0,0,0,366,0.57
123,1,1,1,366,0.72
124,1,0,0,372,0.75
125,0,1,1,372,0.87
126,0,0,0,378,0.61
127,2,1,1,378,0.70
128,2,0,0,384,0.85
129,1,1,1,384,0.71
130,1,0,0,390,0.81
131,2,1,1,390,0.55
132,0,0,0,396,0.58
133,1,1,1,396,0.89
134,2,0,0,402,0.71
135,2,1,1,402,0.63
136,0,0,0,408,0.59
137,2,1,1,408,0.79
138,2,0,0,414,0.69
139,0,1,1,414,0.69
140,0,0,0,420,0.79
141,1,1,1,420,0.71
142,0,0,0,426,0.78
143,1,1,1,426,0.62
144,1,0,0,432,0.71
145,1,1,1,432,0.70
146,0,0,0,438,0.72
147,2,1,1,438,0.85
148,0,0,0,444,0.84
149,1,1,1,444,0.85
150,2,0,0,450,0.72
151,0,1,1,450,0.59
152,0,0,0,456,0.61
153,0,1,1,456,0.85
154,0,0,0,462,0.56
155,0,1,1,462,0.78
156,1,0,0,468,0.79
157,2,1,1,468,0.85
158,1,0,0,474,0.64
159,0,1,1,474,0.71
160,0,0,0,480,0.80
161,1,1,1,480,0.63
162,0,0,0,486,0.71
163,1,1,1,486,0.73
164,0,0,0,492,0.80
165,2,1,1,492,0.65
166,1,0,0,498,0.69
167,1,1,1,498,0.61
168,1,0,0,504,0.84
169,2,1,1,504,0.70
170,1,0,0,510,0.79
171,2,1,1,510,0.71
172,2,0,0,516,0.72
173,2,1,1,516,0.72
174,2,0,0,522,0.60
175,0,1,1,522,0.71
176,1,0,0,528,0.73
177,1,1,1,528,0.80
178,2,0,0,534,0.72
179,0,1,1,534,0.87
180,2,0,0,540,0.74
181,0,1,1,540,0.80
182,0,0,0,546,0.76
183,0,1,1,546,0.79
184,0,0,0,552,0.82
185,0,1,1,552,0.65
186,1,0,0,558,0.78
187,2,1,1,558,0.91
188,1,0,0,564,0.62
189,2,1,1,564,0.62
190,2,0,0,570,0.72
191,0,1,1,570,0.65
192,1,0,0,576,0.75
193,0,1,1,576,0.79
194,0,0,0,582,0.72
195,2,1,1,582,0.59
196,0,0,0,588,0.78
197,1,1,1,588,0.65
198,2,0,0,594,0.87
199,1,1,1,594,0.73
200,1,0,0,600,0.71
201,1,1,1,600,0.60
202,1,0,0,606,0.66
203,0,1,1,606,0.87
204,1,0,0,612,0.69
205,1,1,1,612,0.64
206,1,0,0,618,0.73
207,0,1,1,618,0.68
208,2,0,0,624,0.80
209,0,1,1,624,0.75
210,2,0,0,630,0.68
211,0,1,1,630,0.59
212,0,0,0,636,0.63
213,1,1,1,636,0.68
214,1,0,0,642,0.72
215,1,1,1,642,0.61
216,0,0,0,648,0.81
217,1,1,1,648,0.74
218,2,0,0,654,0.60
219,0,1,1,654,0.66
220,2,0,0,660,0.68
221,0,1,1,660,0.81
222,1,0,0,666,0.69
223,2,1,1,666,0.74
224,1,0,0,672,0.75
225,1,1,1,672,0.70
226,1,0,0,678,0.66
227,2,1,1,678,0.70
228,2,0,0,684,0.63
229,1,1,1,684,0.72
230,2,0,0,690,0.62
231,1,1,1,690,0.69
232,1,0,0,696,0.64
233,1,1,1,696,0.80
234,0,0,0,702,0.60
235,1,1,1,702,0.79
236,2,0,0,708,0.78
237,0,1,1,708,0.76
238,0,0,0,714,0.76
239,2,1,1,714,0.74
240,1,0,0,720,0.85
241,0,1,1,720,0.71
242,2,0,0,726,0.74
243,2,1,1,726,0.59
244,1,0,0,732,0.83
245,1,1,1,732,0.58
246,1,0,0,738,0.80
247,0,1,1,738,0.75
248,0,0,0,744,0.76
249,2,1,1,744,0.70
250,0,0,0,750,0.56
251,1,1,1,750,0.83
252,0,0,0,756,0.77
253,0,1,1,756,0.78
254,0,0,0,762,0.87
255,1,1,1,762,0.76
256,1,0,0,768,0.54
257,1,1,1,768,0.86
258,1,0,0,774,0.68
259,2,1,1,774,0.86
260,1,0,0,780,0.73
261,1,1,1,780,0.76
262,0,0,0,786,0.60
263,1,1,1,786,0.68
264,1,0,0,792,0.79
265,1,1,1,792,0.79
266,0,0,0,798,0.85
267,1,1,1,798,0.66
268,2,0,0,804,0.69
269,0,1,1,804,0.72
270,1,0,0,810,0.87
271,1,1,1,810,0.70
272,0,0,0,816,0.86
273,2,1,1,816,0.53
274,1,0,0,822,0.62
275,0,1,1,822,0.72
276,0,0,0,828,0.75
277,1,1,1,828,0.72
278,2,0,0,834,0.70
279,1,1,1,834,0.67
280,2,0,0,840,0.86
281,1,1,1,840,0.75
282,0,0,0,846,0.68
283,0,1,1,846,0.68
284,2,0,0,852,0.90
285,0,1,1,852,0.81
286,1,0,0,858,0.85
287,0,1,1,858,0.78
288,2,0,0,864,0.72
289,2,1,1,864,0.70
290,2,0,0,870,0.74
291,2,1,1,870,0.82
292,0,0,0,876,0.67
293,1,1,1,876,0.75
294,0,0,0,882,0.89
295,2,1,1,882,0.69
296,1,0,0,888,0.58
297,2,1,1,888,0.68
298,2,0,0,894,0.65
299,2,1,1,894,0.66
300,2,0,0,900,0.69
301,1,1,1,900,0.60
302,1,0,0,906,0.77
303,0,1,1,906,0.78
304,2,0,0,912,0.68
305,0,1,1,912,0.85
306,2,0,0,918,0.55
307,2,1,1,918,0.65
308,2,0,0,924,0.80
309,2,1,1,924,0.67
310,1,0,0,930,0.85
311,1,1,1,930,0.74
312,2,0,0,936,0.68
313,1,1,1,936,0.75
314,2,0,0,942,0.86
315,1,1,1,942,0.80
316,2,0,0,948,0.68
317,0,1,1,948,0.62
318,2,0,0,954,0.56
319,2,1,1,954,0.71
320,0,0,0,960,0.72
321,1,1,1,960,0.62
322,1,0,0,966,0.88
