id,action,origin,destination,start_time,epsilon
0,1,0,0,0,0.49
1,1,1,1,0,0.72
2,2,0,0,6,0.53
3,2,1,1,6,0.56
4,0,0,0,12,0.42
5,2,1,1,12,0.62
6,1,0,0,18,0.42
7,0,1,1,18,0.82
8,2,0,0,24,0.52
9,1,1,1,24,0.58
10,0,0,0,30,0.50
11,0,1,1,30,0.48
12,2,0,0,36,0.76
13,1,1,1,36,0.59
14,2,0,0,42,0.41
15,2,1,1,42,0.82
16,1,0,0,48,0.66
17,0,1,1,48,0.58
18,1,0,0,54,0.47
19,0,1,1,54,0.63
20,0,0,0,60,0.67
21,2,1,1,60,0.44
22,0,0,0,66,0.44
23,2,1,1,66,0.74
24,0,0,0,72,0.72
25,1,1,1,72,0.51
26,2,0,0,78,0.63
27,1,1,1,78,0.80
28,2,0,0,84,0.42
29,1,1,1,84,0.54
30,0,0,0,90,0.51
31,1,1,1,90,0.57
32,2,0,0,96,0.57
33,0,1,1,96,0.48
34,1,0,0,102,0.67
35,0,1,1,102,0.51
36,0,0,0,108,0.53
37,1,1,1,108,0.57
38,2,0,0,114,0.44
39,1,1,1,114,0.42
40,1,0,0,120,0.85
41,0,1,1,120,0.65
42,0,0,0,126,0.68
43,2,1,1,126,0.41
44,0,0,0,132,0.77
45,1,1,1,132,0.62
46,0,0,0,138,0.62
47,2,1,1,138,0.54
48,0,0,0,144,0.48
49,2,1,1,144,0.48
50,2,0,0,150,0.67
51,0,1,1,150,0.56
52,2,0,0,156,0.59
53,1,1,1,156,0.53
54,1,0,0,162,0.56
55,1,1,1,162,0.45
56,2,0,0,168,0.44
57,2,1,1,168,0.51
58,2,0,0,174,0.64
59,1,1,1,174,0.63
60,2,0,0,180,0.40
61,0,1,1,180,0.81
62,1,0,0,186,0.54
63,0,1,1,186,0.72
64,2,0,0,192,0.82
65,2,1,1,192,0.49
66,1,0,0,198,0.65
67,0,1,1,198,0.53
68,2,0,0,204,0.71
69,2,1,1,204,0.47
70,0,0,0,210,0.45
71,2,1,1,210,0.69
72,0,0,0,216,0.54
73,0,1,1,216,0.68
74,0,0,0,222,0.76
75,0,1,1,222,0.78
76,1,0,0,228,0.48
77,0,1,1,228,0.69
78,1,0,0,234,0.60
79,0,1,1,234,0.46
80,1,0,0,240,0.76
81,1,1,1,240,0.49
82,0,0,0,246,0.57
83,0,1,1,246,0.51
84,1,0,0,252,0.58
85,1,1,1,252,0.41
86,2,0,0,258,0.46
87,2,1,1,258,0.67
88,0,0,0,264,0.40
89,1,1,1,264,0.83
90,2,0,0,270,0.75
91,2,1,1,270,0.59
92,0,0,0,276,0.40
93,2,1,1,276,0.61
94,1,0,0,282,0.65
95,2,1,1,282,0.45
96,0,0,0,288,0.56
97,0,1,1,288,0.69
98,2,0,0,294,0.40
99,0,1,1,294,0.46
100,0,0,0,300,0.63
101,2,1,1,300,0.52
102,0,0,0,306,0.78
103,1,1,1,306,0.40
104,1,0,0,312,0.45
105,1,1,1,312,0.63
106,0,0,0,318,0.61
107,1,1,1,318,0.73
108,2,0,0,324,0.46
109,0,1,1,324,0.47
110,1,0,0,330,0.74
111,1,1,1,330,0.87
112,1,0,0,336,0.50
113,2,1,1,336,0.60
114,1,0,0,342,0.87
115,2,1,1,342,0.70
116,1,0,0,348,0.65
117,1,1,1,348,0.75
118,0,0,0,354,0.75
119,2,1,1,354,0.74
120,1,0,0,360,0.45
121,0,1,1,360,0.70
122,2,0,0,366,0.43
123,2,1,1,366,0.64
124,1,0,0,372,0.70
125,0,1,1,372,0.77
126,2,0,0,378,0.46
127,0,1,1,378,0.52
128,0,0,0,384,0.76
129,1,1,1,384,0.59
130,1,0,0,390,0.77
131,2,1,1,390,0.41
132,0,0,0,396,0.44
133,2,1,1,396,0.83
134,0,0,0,402,0.60
135,0,1,1,402,0.48
136,2,0,0,408,0.48
137,0,1,1,408,0.72
138,2,0,0,414,0.65
139,2,1,1,414,0.59
140,0,0,0,420,0.70
141,1,1,1,420,0.66
142,0,0,0,426,0.73
143,1,1,1,426,0.53
144,0,0,0,432,0.55
145,1,1,1,432,0.56
146,2,0,0,438,0.54
147,2,1,1,438,0.73
148,1,0,0,444,0.80
149,0,1,1,444,0.78
150,1,0,0,450,0.56
151,2,1,1,450,0.49
152,2,0,0,456,0.49
153,2,1,1,456,0.73
154,1,0,0,462,0.45
155,0,1,1,462,0.74
156,2,0,0,468,0.73
157,0,1,1,468,0.80
158,2,0,0,474,0.49
159,2,1,1,474,0.52
160,2,0,0,480,0.72
161,0,1,1,480,0.52
162,2,0,0,486,0.61
163,2,1,1,486,0.64
164,1,0,0,492,0.71
165,1,1,1,492,0.50
166,0,0,0,498,0.62
167,2,1,1,498,0.45
168,0,0,0,504,0.82
169,0,1,1,504,0.57
170,2,0,0,510,0.73
171,2,1,1,510,0.63
172,1,0,0,516,0.62
173,1,1,1,516,0.53
174,1,0,0,522,0.47
175,1,1,1,522,0.68
176,1,0,0,528,0.64
177,0,1,1,528,0.75
178,2,0,0,534,0.64
179,2,1,1,534,0.76
180,0,0,0,540,0.62
181,2,1,1,540,0.72
182,1,0,0,546,0.66
183,2,1,1,546,0.69
184,0,0,0,552,0.78
185,2,1,1,552,0.49
186,0,0,0,558,0.63
187,1,1,1,558,0.85
188,1,0,0,564,0.46
189,0,1,1,564,0.47
190,2,0,0,570,0.55
191,0,1,1,570,0.60
192,1,0,0,576,0.61
193,2,1,1,576,0.65
194,2,0,0,582,0.58
195,1,1,1,582,0.48
196,2,0,0,588,0.66
197,0,1,1,588,0.55
198,2,0,0,594,0.82
199,0,1,1,594,0.61
200,1,0,0,600,0.62
201,0,1,1,600,0.48
202,1,0,0,606,0.60
203,1,1,1,606,0.77
204,2,0,0,612,0.56
205,0,1,1,612,0.56
206,1,0,0,618,0.65
207,1,1,1,618,0.50
208,1,0,0,624,0.65
209,1,1,1,624,0.67
210,0,0,0,630,0.55
211,1,1,1,630,0.50
212,2,0,0,636,0.48
213,1,1,1,636,0.50
214,2,0,0,642,0.67
215,2,1,1,642,0.52
216,1,0,0,648,0.77
217,1,1,1,648,0.64
218,2,0,0,654,0.47
219,1,1,1,654,0.49
220,1,0,0,660,0.65
221,2,1,1,660,0.75
222,2,0,0,666,0.65
223,0,1,1,666,0.59
224,1,0,0,672,0.62
225,0,1,1,672,0.52
226,1,0,0,678,0.56
227,0,1,1,678,0.60
228,1,0,0,684,0.48
229,2,1,1,684,0.64
230,0,0,0,690,0.51
231,0,1,1,690,0.62
232,2,0,0,696,0.55
233,2,1,1,696,0.77
234,1,0,0,702,0.51
235,1,1,1,702,0.72
236,0,0,0,708,0.72
237,2,1,1,708,0.72
238,2,0,0,714,0.69
239,2,1,1,714,0.60
240,1,0,0,720,0.76
241,2,1,1,720,0.54
242,1,0,0,726,0.61
243,0,1,1,726,0.49
244,1,0,0,732,0.76
245,0,1,1,732,0.47
246,2,0,0,738,0.75
247,1,1,1,738,0.67
248,2,0,0,744,0.66
249,0,1,1,744,0.54
250,1,0,0,750,0.42
251,2,1,1,750,0.79
252,1,0,0,756,0.63
253,2,1,1,756,0.65
254,2,0,0,762,0.81
255,2,1,1,762,0.66
256,2,0,0,768,0.41
257,0,1,1,768,0.75
258,1,0,0,774,0.53
259,2,1,1,774,0.80
260,1,0,0,780,0.57
261,1,1,1,780,0.59
262,2,0,0,786,0.51
263,2,1,1,786,0.54
264,1,0,0,792,0.74
265,2,1,1,792,0.64
266,2,0,0,798,0.81
267,0,1,1,798,0.49
268,1,0,0,804,0.67
269,1,1,1,804,0.56
270,0,0,0,810,0.84
271,2,1,1,810,0.59
272,1,0,0,816,0.80
273,0,1,1,816,0.40
274,1,0,0,822,0.46
275,0,1,1,822,0.68
276,2,0,0,828,0.69
277,2,1,1,828,0.69
278,0,0,0,834,0.54
279,2,1,1,834,0.51
280,1,0,0,840,0.77
281,1,1,1,840,0.71
282,2,0,0,846,0.51
283,0,1,1,846,0.51
284,0,0,0,852,0.84
285,2,1,1,852,0.76
286,0,0,0,858,0.81
287,1,1,1,858,0.72
288,1,0,0,864,0.54
289,1,1,1,864,0.63
290,0,0,0,870,0.58
291,2,1,1,870,0.75
292,0,0,0,876,0.59
293,1,1,1,876,0.59
294,2,0,0,882,0.85
295,1,1,1,882,0.63
296,1,0,0,888,0.48
297,1,1,1,888,0.58
298,1,0,0,894,0.50
299,1,1,1,894,0.62
300,2,0,0,900,0.56
301,1,1,1,900,0.48
302,0,0,0,906,0.70
303,2,1,1,906,0.73
304,2,0,0,912,0.58
305,2,1,1,912,0.78
306,0,0,0,918,0.42
307,1,1,1,918,0.53
308,0,0,0,924,0.65
309,2,1,1,924,0.50
310,2,0,0,930,0.81
311,0,1,1,930,0.64
312,0,0,0,936,0.57
313,0,1,1,936,0.65
314,2,0,0,942,0.79
315,2,1,1,942,0.76
316,2,0,0,948,0.56
317,1,1,1,948,0.52
318,0,0,0,954,0.42
319,1,1,1,954,0.60
320,2,0,0,960,0.65
321,1,1,1,960,0.50
322,0,0,0,966,0.79
323,1,1,1,966,0.58
324,2,0,0,972,0.75
325,1,1,1,972,0.67
326,0,0,0,978,0.84
327,1,1,1,978,0.59
328,1,0,0,984,0.50
329,0,1,1,984,0.70
330,1,0,0,990,0.53
331,2,1,1,990,0.65
332,2,0,0,996,0.62
333,2,1,1,996,0.59
334,1,0,0,1002,0.64
335,0,1,1,1002,0.69
336,0,0,0,1008,0.53
337,0,1,1,1008,0.60
338,0,0,0,1014,0.58
339,1,1,1,1014,0.68
340,0,0,0,1020,0.65
341,0,1,1,1020,0.55
342,1,0,0,1026,0.65
343,1,1,1,1026,0.63
344,0,0,0,1032,0.79
345,0,1,1,1032,0.69
346,2,0,0,1038,0.68
347,2,1,1,1038,0.40
348,1,0,0,1044,0.51
349,0,1,1,1044,0.74
350,2,0,0,1050,0.84
351,1,1,1,1050,0.48
352,2,0,0,1056,0.79
353,2,1,1,1056,0.38
354,1,0,0,1062,0.58
355,1,1,1,1062,0.53
356,1,0,0,1068,0.52
357,0,1,1,1068,0.46
358,0,0,0,1074,0.70
359,2,1,1,1074,0.57
360,1,0,0,1080,0.48
361,2,1,1,1080,0.52
362,2,0,0,1086,0.64
363,0,1,1,1086,0.60
364,1,0,0,1092,0.61
365,1,1,1,1092,0.77
366,0,0,0,1098,0.68
367,0,1,1,1098,0.71
368,1,0,0,1104,0.59
369,1,1,1,1104,0.66
370,0,0,0,1110,0.62
371,1,1,1,1110,0.78
372,1,0,0,1116,0.91
373,2,1,1,1116,0.41
374,2,0,0,1122,0.52
375,1,1,1,1122,0.59
376,2,0,0,1128,0.74
377,0,1,1,1128,0.55
378,2,0,0,1134,0.60
379,2,1,1,1134,0.66
380,0,0,0,1140,0.68
381,0,1,1,1140,0.60
382,0,0,0,1146,0.65
383,0,1,1,1146,0.77
384,0,0,0,1152,0.45
385,1,1,1,1152,0.51
386,0,0,0,1158,0.60
387,0,1,1,1158,0.54
388,0,0,0,1164,0.56
389,1,1,1,1164,0.73
