id,action,origin,destination,start_time,epsilon
0,2,0,0,0,0.41
1,2,1,1,0,0.67
2,1,0,0,6,0.48
3,2,1,1,6,0.51
4,1,0,0,12,0.35
5,0,1,1,12,0.57
6,0,0,0,18,0.35
7,0,1,1,18,0.77
8,2,0,0,24,0.45
9,1,1,1,24,0.51
10,1,0,0,30,0.42
11,1,1,1,30,0.39
12,1,0,0,36,0.70
13,2,1,1,36,0.50
14,1,0,0,42,0.35
15,0,1,1,42,0.79
16,0,0,0,48,0.61
17,2,1,1,48,0.52
18,2,0,0,54,0.39
19,0,1,1,54,0.59
20,1,0,0,60,0.65
21,0,1,1,60,0.37
22,2,0,0,66,0.36
23,2,1,1,66,0.69
24,2,0,0,72,0.67
25,1,1,1,72,0.44
26,1,0,0,78,0.56
27,2,1,1,78,0.75
28,1,0,0,84,0.35
29,0,1,1,84,0.50
30,1,0,0,90,0.44
31,0,1,1,90,0.49
32,0,0,0,96,0.51
33,0,1,1,96,0.42
34,2,0,0,102,0.61
35,2,1,1,102,0.43
36,0,0,0,108,0.46
37,2,1,1,108,0.48
38,0,0,0,114,0.37
39,0,1,1,114,0.35
40,1,0,0,120,0.83
41,1,1,1,120,0.62
42,1,0,0,126,0.63
43,1,1,1,126,0.34
44,1,0,0,132,0.74
45,2,1,1,132,0.55
46,0,0,0,138,0.55
47,2,1,1,138,0.47
48,1,0,0,144,0.42
49,2,1,1,144,0.41
50,1,0,0,150,0.60
51,2,1,1,150,0.50
52,1,0,0,156,0.52
53,1,1,1,156,0.46
54,0,0,0,162,0.49
55,2,1,1,162,0.37
56,1,0,0,168,0.37
57,1,1,1,168,0.42
58,1,0,0,174,0.59
59,0,1,1,174,0.55
60,2,0,0,180,0.33
61,1,1,1,180,0.76
62,1,0,0,186,0.46
63,2,1,1,186,0.65
64,2,0,0,192,0.78
65,1,1,1,192,0.41
66,1,0,0,198,0.57
67,1,1,1,198,0.45
68,2,0,0,204,0.68
69,2,1,1,204,0.40
70,1,0,0,210,0.37
71,1,1,1,210,0.65
72,2,0,0,216,0.48
73,0,1,1,216,0.64
74,1,0,0,222,0.71
75,2,1,1,222,0.75
76,2,0,0,228,0.39
77,0,1,1,228,0.66
78,2,0,0,234,0.53
79,0,1,1,234,0.40
80,2,0,0,240,0.72
81,1,1,1,240,0.41
82,2,0,0,246,0.52
83,1,1,1,246,0.41
84,0,0,0,252,0.49
85,1,1,1,252,0.33
86,0,0,0,258,0.38
87,2,1,1,258,0.63
88,0,0,0,264,0.33
89,1,1,1,264,0.80
90,0,0,0,270,0.68
