id,action,origin,destination,start_time,epsilon
0,2,0,0,0,0.58
1,0,1,1,0,0.77
2,1,0,0,6,0.59
3,1,1,1,6,0.62
4,1,0,0,12,0.50
5,2,1,1,12,0.68
6,2,0,0,18,0.50
7,0,1,1,18,0.87
8,0,0,0,24,0.59
9,2,1,1,24,0.65
10,1,0,0,30,0.58
11,0,1,1,30,0.59
12,2,0,0,36,0.83
13,1,1,1,36,0.69
14,2,0,0,42,0.50
15,0,1,1,42,0.86
16,1,0,0,48,0.72
17,1,1,1,48,0.63
18,2,0,0,54,0.56
19,1,1,1,54,0.68
20,2,0,0,60,0.69
21,2,1,1,60,0.54
22,2,0,0,66,0.54
23,1,1,1,66,0.79
24,2,0,0,72,0.77
25,2,1,1,72,0.59
26,0,0,0,78,0.70
27,1,1,1,78,0.85
28,0,0,0,84,0.51
29,1,1,1,84,0.59
30,2,0,0,90,0.60
31,1,1,1,90,0.67
32,2,0,0,96,0.64
33,2,1,1,96,0.55
34,0,0,0,102,0.73
35,2,1,1,102,0.60
36,0,0,0,108,0.61
37,2,1,1,108,0.66
38,1,0,0,114,0.52
39,2,1,1,114,0.52
40,2,0,0,120,0.88
41,2,1,1,120,0.69
42,1,0,0,126,0.72
43,1,1,1,126,0.50
44,2,0,0,132,0.80
45,2,1,1,132,0.70
46,1,0,0,138,0.69
47,2,1,1,138,0.62
48,0,0,0,144,0.56
49,2,1,1,144,0.55
50,2,0,0,150,0.75
51,0,1,1,150,0.63
52,0,0,0,156,0.68
53,1,1,1,156,0.62
54,2,0,0,162,0.63
55,0,1,1,162,0.54
56,1,0,0,168,0.52
57,0,1,1,168,0.62
58,2,0,0,174,0.69
59,2,1,1,174,0.71
60,1,0,0,180,0.48
61,2,1,1,180,0.86
62,0,0,0,186,0.65
63,0,1,1,186,0.80
64,0,0,0,192,0.85
65,2,1,1,192,0.58
66,1,0,0,198,0.74
67,1,1,1,198,0.64
68,0,0,0,204,0.74
69,2,1,1,204,0.57
70,2,0,0,210,0.54
71,0,1,1,210,0.74
72,1,0,0,216,0.61
73,2,1,1,216,0.73
74,1,0,0,222,0.82
75,2,1,1,222,0.81
76,0,0,0,228,0.59
77,2,1,1,228,0.73
78,1,0,0,234,0.67
79,2,1,1,234,0.53
80,0,0,0,240,0.80
81,2,1,1,240,0.58
82,2,0,0,246,0.63
83,2,1,1,246,0.63
84,0,0,0,252,0.69
85,0,1,1,252,0.50
86,1,0,0,258,0.55
87,2,1,1,258,0.71
88,2,0,0,264,0.48
89,2,1,1,264,0.86
90,1,0,0,270,0.82
91,1,1,1,270,0.65
92,1,0,0,276,0.49
93,0,1,1,276,0.64
94,2,0,0,282,0.67
95,2,1,1,282,0.55
96,2,0,0,288,0.64
97,2,1,1,288,0.76
98,0,0,0,294,0.49
99,2,1,1,294,0.54
100,2,0,0,300,0.68
101,0,1,1,300,0.60
102,2,0,0,306,0.80
103,0,1,1,306,0.49
104,1,0,0,312,0.53
105,2,1,1,312,0.67
106,2,0,0,318,0.70
107,1,1,1,318,0.75
108,0,0,0,324,0.55
109,0,1,1,324,0.58
110,0,0,0,330,0.77
111,1,1,1,330,0.90
112,1,0,0,336,0.56
113,2,1,1,336,0.67
114,1,0,0,342,0.89
115,0,1,1,342,0.73
116,0,0,0,348,0.69
117,0,1,1,348,0.80
118,0,0,0,354,0.80
119,2,1,1,354,0.81
120,0,0,0,360,0.54
121,1,1,1,360,0.75
122,1,0,0,366,0.52
123,0,1,1,366,0.70
124,1,0,0,372,0.73
125,2,1,1,372,0.83
126,1,0,0,378,0.56
127,2,1,1,378,0.63
128,0,0,0,384,0.82
129,2,1,1,384,0.67
130,1,0,0,390,0.80
131,0,1,1,390,0.50
132,1,0,0,396,0.53
133,0,1,1,396,0.87
134,1,0,0,402,0.67
135,2,1,1,402,0.58
136,1,0,0,408,0.55
137,1,1,1,408,0.77
138,0,0,0,414,0.67
139,0,1,1,414,0.65
140,1,0,0,420,0.76
141,2,1,1,420,0.69
142,2,0,0,426,0.76
143,2,1,1,426,0.59
144,1,0,0,432,0.65
145,2,1,1,432,0.65
146,1,0,0,438,0.65
147,1,1,1,438,0.81
148,2,0,0,444,0.83
149,0,1,1,444,0.83
150,0,0,0,450,0.66
151,2,1,1,450,0.56
152,1,0,0,456,0.56
153,0,1,1,456,0.81
154,1,0,0,462,0.52
155,2,1,1,462,0.76
156,2,0,0,468,0.77
157,0,1,1,468,0.83
158,0,0,0,474,0.58
159,1,1,1,474,0.64
160,0,0,0,480,0.77
161,2,1,1,480,0.59
162,1,0,0,486,0.68
163,0,1,1,486,0.70
164,1,0,0,492,0.77
165,0,1,1,492,0.59
166,2,0,0,498,0.67
167,2,1,1,498,0.55
168,2,0,0,504,0.84
169,1,1,1,504,0.65
170,0,0,0,510,0.77
171,1,1,1,510,0.68
172,0,0,0,516,0.69
173,0,1,1,516,0.65
174,0,0,0,522,0.55
175,1,1,1,522,0.70
176,2,0,0,528,0.70
177,0,1,1,528,0.78
178,0,0,0,534,0.69
179,1,1,1,534,0.83
180,0,0,0,540,0.70
181,2,1,1,540,0.77
182,0,0,0,546,0.72
183,1,1,1,546,0.76
184,2,0,0,552,0.81
185,2,1,1,552,0.59
186,2,0,0,558,0.73
187,1,1,1,558,0.89
188,0,0,0,564,0.56
189,1,1,1,564,0.56
190,0,0,0,570,0.66
191,2,1,1,570,0.64
192,2,0,0,576,0.70
193,0,1,1,576,0.74
194,2,0,0,582,0.67
195,0,1,1,582,0.55
196,1,0,0,588,0.74
197,1,1,1,588,0.61
198,2,0,0,594,0.85
199,0,1,1,594,0.69
200,0,0,0,600,0.68
201,1,1,1,600,0.56
202,2,0,0,606,0.64
203,1,1,1,606,0.84
204,0,0,0,612,0.64
205,1,1,1,612,0.62
206,2,0,0,618,0.70
207,2,1,1,618,0.61
208,0,0,0,624,0.75
209,1,1,1,624,0.72
210,1,0,0,630,0.63
211,2,1,1,630,0.56
212,2,0,0,636,0.58
213,2,1,1,636,0.61
214,1,0,0,642,0.70
215,1,1,1,642,0.58
216,1,0,0,648,0.80
217,1,1,1,648,0.70
218,0,0,0,654,0.55
219,2,1,1,654,0.60
220,0,0,0,660,0.67
221,1,1,1,660,0.79
222,0,0,0,666,0.68
223,1,1,1,666,0.68
224,1,0,0,672,0.71
225,1,1,1,672,0.63
226,1,0,0,678,0.63
227,2,1,1,678,0.66
228,1,0,0,684,0.57
229,2,1,1,684,0.69
230,2,0,0,690,0.58
231,2,1,1,690,0.67
232,0,0,0,696,0.61
233,0,1,1,696,0.79
234,0,0,0,702,0.57
235,2,1,1,702,0.76
236,1,0,0,708,0.76
237,0,1,1,708,0.75
238,1,0,0,714,0.74
239,2,1,1,714,0.69
240,0,0,0,720,0.82
241,0,1,1,720,0.64
242,2,0,0,726,0.69
243,1,1,1,726,0.56
244,0,0,0,732,0.80
245,1,1,1,732,0.54
246,2,0,0,738,0.78
247,0,1,1,738,0.72
248,1,0,0,744,0.72
249,2,1,1,744,0.64
250,1,0,0,750,0.51
251,2,1,1,750,0.81
252,2,0,0,756,0.72
253,0,1,1,756,0.74
254,0,0,0,762,0.85
255,2,1,1,762,0.72
256,2,0,0,768,0.49
257,0,1,1,768,0.82
258,2,0,0,774,0.63
259,2,1,1,774,0.84
260,0,0,0,780,0.67
261,2,1,1,780,0.70
262,2,0,0,786,0.57
263,0,1,1,786,0.63
264,0,0,0,792,0.77
265,0,1,1,792,0.73
266,2,0,0,798,0.84
267,1,1,1,798,0.60
268,1,0,0,804,0.68
269,2,1,1,804,0.67
270,0,0,0,810,0.86
271,1,1,1,810,0.66
272,2,0,0,816,0.84
273,2,1,1,816,0.48
274,0,0,0,822,0.56
275,1,1,1,822,0.71
276,2,0,0,828,0.73
277,2,1,1,828,0.71
278,2,0,0,834,0.65
279,1,1,1,834,0.61
280,0,0,0,840,0.83
281,2,1,1,840,0.74
282,2,0,0,846,0.62
283,0,1,1,846,0.62
284,1,0,0,852,0.88
285,0,1,1,852,0.79
286,0,0,0,858,0.83
287,2,1,1,858,0.76
288,2,0,0,864,0.66
289,2,1,1,864,0.68
290,0,0,0,870,0.68
291,1,1,1,870,0.79
292,0,0,0,876,0.64
293,2,1,1,876,0.69
294,1,0,0,882,0.87
295,1,1,1,882,0.67
296,2,0,0,888,0.54
297,0,1,1,888,0.65
298,1,0,0,894,0.60
299,0,1,1,894,0.65
300,0,0,0,900,0.65
301,1,1,1,900,0.56
302,2,0,0,906,0.75
303,1,1,1,906,0.76
304,0,0,0,912,0.65
305,0,1,1,912,0.83
306,0,0,0,918,0.50
307,2,1,1,918,0.60
308,1,0,0,924,0.75
309,0,1,1,924,0.61
310,1,0,0,930,0.84
311,1,1,1,930,0.70
312,0,0,0,936,0.65
313,2,1,1,936,0.72
314,1,0,0,942,0.84
315,2,1,1,942,0.79
316,0,0,0,948,0.64
317,1,1,1,948,0.58
318,2,0,0,954,0.51
319,2,1,1,954,0.67
320,0,0,0,960,0.69
321,0,1,1,960,0.57
322,2,0,0,966,0.85
323,0,1,1,966,0.64
324,1,0,0,972,0.82
325,2,1,1,972,0.72
326,2,0,0,978,0.88
327,2,1,1,978,0.65
328,0,0,0,984,0.60
329,0,1,1,984,0.71
330,2,0,0,990,0.65
331,2,1,1,990,0.72
332,0,0,0,996,0.69
333,2,1,1,996,0.64
334,0,0,0,1002,0.66
335,2,1,1,1002,0.73
336,0,0,0,1008,0.63
337,2,1,1,1008,0.68
338,2,0,0,1014,0.69
339,1,1,1,1014,0.72
340,1,0,0,1020,0.73
341,2,1,1,1020,0.62
342,1,0,0,1026,0.67
343,1,1,1,1026,0.72
344,2,0,0,1032,0.84
345,1,1,1,1032,0.73
346,0,0,0,1038,0.75
347,0,1,1,1038,0.49
348,2,0,0,1044,0.60
349,2,1,1,1044,0.80
350,1,0,0,1050,0.87
351,0,1,1,1050,0.57
352,0,0,0,1056,0.84
353,1,1,1,1056,0.47
354,2,0,0,1062,0.65
355,0,1,1,1062,0.60
356,0,0,0,1068,0.62
357,1,1,1,1068,0.53
358,2,0,0,1074,0.72
