travel_time,id,kind,action,origin,destination,start_time,reward,reward_right,cost_table
0.65,0,Human,0,0,0,12,-0.65,-0.65,"-0.6536181643537704,-0.9528980404906668"
0.65,1,Human,0,0,0,35,-0.65,-0.65,"-0.6766479336779593,-1.0103818149110033"
0.55,2,Human,0,0,0,7,-0.55,-0.55,"-0.542266789958455,-0.819210633489067"
0.8,3,Human,0,0,0,44,-0.8,-0.8,"-0.7546469028826437,-1.0426464042605113"
0.9666666666666667,4,Human,1,0,0,28,-0.9666666666666667,-0.9666666666666667,"-0.6557523366830849,-0.9700067372412318"
0.4666666666666667,5,Human,0,0,0,3,-0.4666666666666667,-0.4666666666666667,"-0.4666665706789009,-0.7828138674339843"
0.8333333333333334,6,Human,0,0,0,40,-0.8333333333333334,-0.8333333333333334,"-0.755654859795243,-1.0886902239177838"
0.6666666666666666,7,Human,0,0,0,22,-0.6666666666666666,-0.6666666666666666,"-0.6960348229895822,-1.0610922760743886"
0.75,8,Human,0,0,0,49,-0.75,-0.75,"-0.7229485257895298,-1.0211077017286956"
0.6333333333333333,9,Human,0,0,0,18,-0.6333333333333333,-0.6333333333333333,"-0.6493165786438705,-0.9683007824008537"
0.5666666666666667,10,Human,0,0,0,10,-0.5666666666666667,-0.5666666666666667,"-0.5666668403216899,-0.7914913706666669"
0.7666666666666667,11,Human,0,0,0,50,-0.7666666666666667,-0.7666666666666667,"-0.7373788115441868,-0.9696836507965019"
0.6333333333333333,12,Human,0,0,0,15,-0.6333333333333333,-0.6333333333333333,"-0.6369234723695049,-0.9053267869133483"
0.65,13,Human,0,0,0,20,-0.65,-0.65,"-0.6750242799179134,-0.9769827199945061"
0.65,14,Human,0,0,0,25,-0.65,-0.65,"-0.6657389194272673,-0.972716873910717"
0.6333333333333333,15,Human,0,0,0,30,-0.6333333333333333,-0.6333333333333333,"-0.6572364441106258,-0.967502104981708"
0.5,16,Human,0,0,0,5,-0.5,-0.5,"-0.5035004236148265,-0.8054733602133335"
0.65,17,Human,0,0,0,32,-0.65,-0.65,"-0.6672871643035164,-0.9629828232964107"
0.55,18,Human,0,0,0,8,-0.55,-0.55,"-0.5521400288572174,-0.8419216710544045"
0.6833333333333333,19,Human,0,0,0,38,-0.6833333333333333,-0.6833333333333333,"-0.6895516567445051,-1.050889035795515"
