detid,flow
-186623965#14,31
-186623965#16,11
-22917421#14,20
-23283579#0,22
-23283579#1,22
-23648008#0,53
-23648008#1,5
-25166682#0,53
-28675510#3,6
-28675510#5,16
-297047307,60
-297047310#2,36
-297047310#3,36
-309744810#1,6
-4936412,47
-8716807#0,4
-8716807#4,4
-8716807#5,4
133081985#0,25
133081985#1,25
133081987#0,47
133081987#3,53
186623965#15,0
22917421#5,16
22959550#0,17
22959550#1,13
22959550#3,13
22959550#4,13
23283435#1,22
23647126,4
23648008#1,5
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,51
28675510#1,70
28675510#4,20
297047310#4,7
