travel_time,id,kind,action,origin,destination,start_time,reward,reward_right,cost_table
0.65,0,Human,0,0,0,12,-0.65,-0.65,"-0.6473486171436293,-1.0199288688640002"
0.65,1,Human,0,0,0,35,-0.65,-0.65,"-0.6731854803733218,-1.0482126738476238"
0.55,2,Human,0,0,0,7,-0.55,-0.55,"-0.547429575887623,-0.9031229673439233"
0.7,3,Human,0,0,0,44,-0.7,-0.7,"-0.7457521047805161,-1.0875839405468464"
0.6333333333333333,4,Human,0,0,0,28,-0.6333333333333333,-0.6333333333333333,"-0.6699676040974892,-1.0034173950853122"
0.4666666666666667,5,Human,0,0,0,3,-0.4666666666666667,-0.4666666666666667,"-0.4666666666666657,-0.7941599522133335"
0.7333333333333333,6,Human,0,0,0,40,-0.7333333333333333,-0.7333333333333333,"-0.778245625983963,-1.1180893510047063"
0.6833333333333333,7,Human,0,0,0,22,-0.6833333333333333,-0.6833333333333333,"-0.7060661080982761,-1.0710219155319467"
0.6666666666666666,8,Human,0,0,0,49,-0.6666666666666666,-0.6666666666666666,"-0.7352994874521921,-1.0429963670082905"
0.6333333333333333,9,Human,0,0,0,18,-0.6333333333333333,-0.6333333333333333,"-0.6351628084541676,-1.0304643873969495"
0.5666666666666667,10,Human,0,0,0,10,-0.5666666666666667,-0.5666666666666667,"-0.566666666660516,-0.9336803156743512"
0.6833333333333333,11,Human,0,0,0,50,-0.6833333333333333,-0.6833333333333333,"-0.7386132092712892,-1.0037828724987332"
0.6333333333333333,12,Human,0,0,0,15,-0.6333333333333333,-0.6333333333333333,"-0.6304528715246507,-0.9497826482449069"
0.65,13,Human,0,0,0,20,-0.65,-0.65,"-0.663809653567113,-1.0281627364281336"
0.65,14,Human,0,0,0,25,-0.65,-0.65,"-0.6821804378774322,-0.9994684100707512"
0.65,15,Human,0,0,0,30,-0.65,-0.65,"-0.6831598003680598,-1.0149138420984276"
0.5,16,Human,0,0,0,5,-0.5,-0.5,"-0.5027039009999867,-0.8801605447680003"
0.65,17,Human,0,0,0,32,-0.65,-0.65,"-0.6735026838936168,-1.008755688562835"
0.55,18,Human,0,0,0,8,-0.55,-0.55,"-0.5507590989881507,-0.9098604758106552"
0.6833333333333333,19,Human,0,0,0,38,-0.6833333333333333,-0.6833333333333333,"-0.7477766217822138,-1.0978106929795635"
