travel_time,id,kind,action,origin,destination,start_time,reward,reward_right,cost_table
0.8333333333333334,0,Human,0,0,0,27,-0.8333333333333334,-0.8333333333333334,"-0.6638528819200002,-0.6593600000000001"
1.2833333333333334,1,Human,0,0,0,40,-1.2833333333333334,-1.2833333333333334,"-0.9998951028670466,0.0"
0.85,2,Human,0,0,0,31,-0.85,-0.85,"-0.7863857576121688,0.0"
0.55,3,Human,0,0,0,3,-0.55,-0.55,"-0.5027553597440001,-0.5728533333333334"
1.2666666666666666,4,Human,1,0,0,37,-1.2666666666666666,-1.2666666666666666,"-0.7528820070400002,-0.8530986666666667"
0.8333333333333334,5,Human,0,0,0,28,-0.8333333333333334,-0.8333333333333334,"-0.7015281999926615,0.0"
0.48333333333333334,6,Human,0,0,0,9,-0.48333333333333334,-0.48333333333333334,"-0.466327553490398,0.0"
0.85,7,Human,0,0,0,36,-0.85,-0.85,"-0.8124624528599727,0.0"
0.6,8,Human,0,0,0,22,-0.6,-0.6,"-0.5478824468480001,-0.5566133333333334"
0.5833333333333334,9,Human,0,0,0,25,-0.5833333333333334,-0.5833333333333334,"-0.5921069499542189,0.0"
1.2666666666666666,10,Human,0,0,0,39,-1.2666666666666666,-1.2666666666666666,"-0.9056813602133336,-0.8783893333333335"
0.8666666666666667,11,Human,0,0,0,38,-0.8666666666666667,-0.8666666666666667,"-0.8856844958520664,0.0"
0.4666666666666667,12,Human,0,0,0,2,-0.4666666666666667,-0.4666666666666667,"-0.4345975775232001,-0.4310666666666667"
0.9166666666666666,13,Human,1,0,0,18,-0.9166666666666666,-0.9166666666666666,"-0.45705032704000004,-0.54216"
0.6,14,Human,0,0,0,20,-0.6,-0.6,"-0.5831819184679596,0.0"
0.85,15,Human,0,0,0,29,-0.85,-0.85,"-0.7271567354249218,0.0"
0.8833333333333333,16,Human,1,0,0,16,-0.8833333333333333,-0.8833333333333333,"-0.4265803052373334,-0.51544"
0.8833333333333333,17,Human,0,0,0,32,-0.8833333333333333,-0.8833333333333333,"-0.8220425027261784,0.0"
0.6333333333333333,18,Human,0,0,0,26,-0.6333333333333333,-0.6333333333333333,"-0.6230671098522285,0.0"
1.0833333333333333,19,Human,1,0,0,30,-1.0833333333333333,-1.0833333333333333,"-0.6630896759466667,-0.7392906666666668"
