travel_time,id,kind,action,origin,destination,start_time,reward,reward_right
2.3333333333333335,0,Human,1,1,1,1401,-2.3333333333333335,-2.3333333333333335
3.9166666666666665,1,Human,2,0,0,2317,-3.9166666666666665,-3.9166666666666665
4.65,2,Human,2,0,0,1220,-4.65,-4.65
2.25,3,Human,0,0,1,1610,-2.25,-2.25
2.15,5,Human,1,0,1,2821,-2.15,-2.15
1.8,6,Human,2,0,1,1698,-1.8,-1.8
4.633333333333334,8,Human,2,0,0,2887,-4.633333333333334,-4.633333333333334
2.0166666666666666,9,Human,1,0,1,1762,-2.0166666666666666,-2.0166666666666666
2.6166666666666667,11,Human,0,1,1,1731,-2.6166666666666667,-2.6166666666666667
1.9166666666666667,13,Human,2,0,1,2379,-1.9166666666666667,-1.9166666666666667
4.166666666666667,14,Human,1,1,0,1581,-4.166666666666667,-4.166666666666667
4.416666666666667,15,Human,1,1,0,2161,-4.416666666666667,-4.416666666666667
3.966666666666667,16,Human,2,1,0,1799,-3.966666666666667,-3.966666666666667
2.033333333333333,17,Human,1,0,1,2408,-2.033333333333333,-2.033333333333333
4.016666666666667,19,Human,2,1,0,1009,-4.016666666666667,-4.016666666666667
4.333333333333333,20,Human,0,1,0,2240,-4.333333333333333,-4.333333333333333
5.333333333333333,21,Human,0,1,0,1778,-5.333333333333333,-5.333333333333333
4.45,22,Human,1,1,0,1602,-4.45,-4.45
