origin,destination,path,free_flow_time
0,0,"-201201945#6,-201201945#2,-201201945#1,-201201945#0,-201201945#0.78,-174800513,-201238718#1,-201238718#0,-315392062#4,-24693977#1,-24693977#0,201089423#0,201089423#2,32124744,32124743,285716192#0,285716192#0.83,201963535,-104010328,-25145013#0,-653473569#4,25145011#0,25145012#6,25145012#7,104010354,-164051413,-653473569#5,25145013#0,-25145012#6,25145011#1,-233675413#6,-233675413#3,-233675413#2,22716069#0,25145014#0,25145014#1,25145014#2,-25209894#1,-25209894#0,-28111977#7,-28111977#6,-26642362#0,-25136986,18813598#7",4.1978152960248165
0,0,"-201201945#6,-201201945#2,-201201945#1,-201201945#0,-201201945#0.78,-174800513,201201950#0,-24634411,160314345#1,24634413#1,24634413#2,37386279,-24634414#4,24634415,-24634415,24634414#4,24634414#5,24634414#5.51,32999434#0,201089423#0,201089423#2,32124744,32124743,285716192#0,285716192#0.83,201963535,-104010328,25145013#1,-233675413#8,-25145011#2,-25145011#0,-653473569#2,-22716069#2,-25145012#4,-25145012#3,-25187889,25145014#1,25145014#2,25145014#3,25145014#4,-26642362#1,-26642362#0,-25136986,18813598#7",4.57231749431234
0,0,"-201201945#6,-201201945#2,-201201945#1,-201201945#0,-201201945#0.78,-174800513,-201238718#1,-201238724,24634510#0,24634510#1,24634510#6,204588664#0,-23436553#2,-23436553#1,-22690205#1,-233675413#3,-233675413#2,-233675413#1,-233675413#0,-25187891,-25145014#1,25187889,-25145012#2,-25187895#1,-25187895#0,-28111977#9,-25187893,25145012#1,25145012#2,25145012#3,-25187896,25187895#1,-25145012#1,-25145012#0,-25209894#0,-28111977#7,-28111977#6,-26642362#0,-25136986,18813598#7",5.641677173663776
1,0,"136436468#1,-201201945#1,-201201945#0,-201201945#0.78,-174800513,-201238718#1,-201238724,24634510#0,24634510#1,24634510#6,204588664#0,23436553#3,-22690205#3,-22690205#2,-22690205#1,-233675413#3,-233675413#2,-233675413#1,-233675413#0,-25187891,25145014#2,25145014#3,25145014#4,-26642362#1,-26642362#0,-26642363,26642363,-25136986,18813598#7",4.025595434992784
1,0,"136436468#1,-201201945#1,-201201945#0,-201201945#0.78,-174800513,-201238718#1,-201238718#0,-315392062#4,-24634508,-24634507,-24634509#0,-22716549#6,201089423#2,32124744,32124743,285716192#0,285716192#0.83,201963535,-104010328,-25145012#6,-25145012#5,-22716069#1,25145014#0,25187889,-25145012#2,-25145012#1,25187893,-28111977#8,-28111977#7,-25187892,25145014#4,-26642362#1,-26642362#0,-25136986,18813598#7",4.274579968776567
1,0,"136436468#1,-201201945#1,-201201945#0,-201201945#0.78,-174800513,201201950#0,-24634411,-160314345#0,-315392062#4,-24693977#1,-24693977#0,201089423#0,201089423#2,32124744,32124743,285716192#0,285716192#0.83,201963535,104010354,-164051413,-653473569#5,-653473569#4,-653473569#2,-653473569#1,-653473569#0,-653473568#1,-653473568#0,-18813598#8,-18813598#7,25136986,-26642363,26642363,-25136986,18813598#7",3.458945939787002
0,1,"-201201945#6,-201201945#2,-201201945#1,-201201945#0,-201201945#0.78,-174800513,-201238718#1,-201238718#0,-315392062#4,-24693977#1,-24693977#0,201089423#0,201089423#2,32124744,32124743,285716192#0,285716192#0.83,201963535,-104010328,-25145012#6,-25145012#5,22716069#2,653473569#2",1.822450203983681
0,1,"-201201945#6,-201201945#2,-201201945#1,-201201945#0,-201201945#0.78,-174800513,-201238718#1,-201238724,24634510#0,24634510#1,24634510#6,204588664#0,23436553#3,-22690205#3,-22690205#2,-22690205#1,233675413#4,-25145011#2,-25145012#5,22716069#2,653473569#2",3.119289903420903
0,1,"-201201945#6,-201201945#2,-201201945#1,-201201945#0,-201201945#0.78,-174800513,-201238718#1,-201238718#0,-315392062#4,-24693977#1,-24693977#0,201089423#0,201089423#2,32124744,32124743,285716192#0,285716192#0.83,104010439#1,202070434#0,202070434#2,27920078#0,27920078#1,201963535,-104010328,-25145012#6,-25145012#5,22716069#2,653473569#2",2.036369090472762
1,1,"136436468#1,-201201945#1,-201201945#0,-201201945#0.78,-174800513,-201238718#1,-201238724,24634510#0,24634510#1,24634510#6,204588664#0,-23436553#2,-23436553#1,-22690205#1,-233675413#3,-233675413#2,22716069#0,22716069#1,22716069#2,653473569#2",3.163518379548576
1,1,"136436468#1,-201201945#1,-201201945#0,-201201945#0.78,-174800513,-201238718#1,-201238724,24634510#0,24634511,-24634511,24634510#1,24634510#6,204588664#0,23436553#3,-22690205#3,-22690205#2,-22690205#1,233675413#4,-25145011#2,-25145012#5,22716069#2,653473569#2",3.30893473183463
1,1,"136436468#1,-201201945#1,-201201945#0,-201201945#0.78,-174800513,-201238718#1,-201238724,-24634505,-24608845,-160314351#1,-160314351#0,-24634509#7,-24634509#0,-22716549#6,201089423#2,32124744,32124743,285716192#0,285716192#0.83,201963535,-104010328,-25145012#6,-25145012#5,22716069#2,653473569#2",2.3475123382686407
