travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
0.6666666666666666,0,Human,0,0,0,0,-0.6666666666666666,"-0.6666666666666664,-0.49825493429206114"
0.5333333333333333,20,Human,1,0,0,0,-0.5333333333333333,"-0.7107738185545804,-0.5333122848978005"
0.7,21,Human,0,0,0,0,-0.7,"-0.72684576136604,-1.4186973996425734"
1.4,1,Human,1,0,0,1,-1.4,"-0.8134476603234483,-1.5180184255350508"
0.85,2,Human,0,0,0,2,-0.85,"-0.8354910599054526,-1.3835389712703954"
1.6166666666666667,3,Human,1,0,0,3,-1.6166666666666667,"-0.8587718108401229,-1.6191218141545831"
0.8666666666666667,4,Human,0,0,0,4,-0.8666666666666667,"-0.8946913946475711,-1.5446574785421798"
0.9,5,Human,0,0,0,5,-0.9,"-0.9125261463210895,-1.4745424446693278"
1.6166666666666667,6,Human,1,0,0,6,-1.6166666666666667,"-0.9028179850941591,-1.593851690516514"
1.6333333333333333,7,Human,1,0,0,7,-1.6333333333333333,"-1.044983850802443,-1.624923445944466"
1.0166666666666666,8,Human,0,0,0,8,-1.0166666666666666,"-1.016535417891627,-1.6290361859877893"
1.0666666666666667,9,Human,0,0,0,9,-1.0666666666666667,"-1.0547379145445257,-1.591787035638999"
1.15,10,Human,0,0,0,10,-1.15,"-1.169297995741784,-1.6143445902741633"
1.6,11,Human,1,0,0,11,-1.6,"-1.1633431673990473,-1.6037014716140674"
1.1666666666666667,12,Human,0,0,0,12,-1.1666666666666667,"-1.1822714760364912,-0.871574370050396"
1.6,13,Human,1,0,0,13,-1.6,"-1.1194020110214606,-1.6153303587202978"
1.6,14,Human,1,0,0,14,-1.6,"-0.9510053311370292,-1.6252152769023571"
1.2833333333333334,15,Human,0,0,0,15,-1.2833333333333334,"-1.2997201470533408,-1.5584845882837652"
1.6333333333333333,16,Human,1,0,0,16,-1.6333333333333333,"-1.3365148855340252,-1.6309923627608234"
1.6333333333333333,17,Human,1,0,0,17,-1.6333333333333333,"-1.2485473624344143,-1.6362926846638328"
1.3166666666666667,18,Human,0,0,0,18,-1.3166666666666667,"-1.3313756121937597,-1.6220234300059333"
1.6666666666666667,19,Human,1,0,0,19,-1.6666666666666667,"-1.4317629657910762,-1.6791866033876226"
