travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
0.6666666666666666,0,Human,0,0,0,0,-0.6666666666666666,"-0.6666666639784006,-0.49825493429206114"
0.7,20,Human,0,0,0,0,-0.7,"-0.7080972787897881,-0.5197311006790897"
1.4,21,Human,1,0,0,0,-1.4,"-0.7470148189860977,-1.3595467413239237"
1.7666666666666666,1,Human,1,0,0,1,-1.7666666666666666,"-0.6112657839212864,-1.5352128463071009"
0.85,2,Human,0,0,0,2,-0.85,"-0.8553349786361016,-1.0789702634989202"
1.75,3,Human,1,0,0,3,-1.75,"-0.8671440333992017,-1.54355075059233"
0.8666666666666667,4,Human,0,0,0,4,-0.8666666666666667,"-0.8949273485177407,-1.4538838180554516"
0.9,5,Human,0,0,0,5,-0.9,"-0.9223818459334902,-1.2025831441324697"
1.75,6,Human,1,0,0,6,-1.75,"-0.5986444540436766,-1.6302564878250196"
1.7666666666666666,7,Human,1,0,0,7,-1.7666666666666666,"-1.036319531664355,-1.6652451147057918"
1.8,8,Human,1,0,0,8,-1.8,"-1.0183631146225545,-1.6551527015522238"
1.0333333333333334,9,Human,0,0,0,9,-1.0333333333333334,"-1.051032993297557,-1.5699005063526297"
1.1666666666666667,10,Human,0,0,0,10,-1.1666666666666667,"-1.1689829343926337,-1.6564021945458918"
1.7666666666666666,11,Human,1,0,0,11,-1.7666666666666666,"-1.0643087987048259,-1.6456834845205064"
1.1833333333333333,12,Human,0,0,0,12,-1.1833333333333333,"-1.180391824270328,-0.871574370050396"
1.8,13,Human,1,0,0,13,-1.8,"-1.064690642221032,-1.6677217357632486"
1.8166666666666667,14,Human,1,0,0,14,-1.8166666666666667,"-0.7267031207103432,-1.6743264808888874"
1.3,15,Human,0,0,0,15,-1.3,"-1.3003556069441855,-1.475727347697993"
1.8166666666666667,16,Human,1,0,0,16,-1.8166666666666667,"-1.3226475240716076,-1.6989514188023964"
1.85,17,Human,1,0,0,17,-1.85,"-0.8973678299016081,-1.6922523901660398"
1.2833333333333334,18,Human,0,0,0,18,-1.2833333333333334,"-1.3144493532058688,-1.379367080639309"
1.4166666666666667,19,Human,0,0,0,19,-1.4166666666666667,"-1.4203333151392308,-1.6772144438378795"
