travel_time,id,kind,action,origin,destination,start_time,reward,reward_right
0.9166666666666666,0,Human,1,0,0,12,-0.9166666666666666,-0.9166666666666666
0.7,1,Human,0,0,0,35,-0.7,-0.7
0.5,2,Human,0,0,0,7,-0.5,-0.5
0.5833333333333334,3,Human,0,0,0,44,-0.5833333333333334,-0.5833333333333334
1.05,4,Human,1,0,0,28,-1.05,-1.05
0.4666666666666667,5,Human,0,0,0,3,-0.4666666666666667,-0.4666666666666667
0.9833333333333333,6,Human,1,0,0,40,-0.9833333333333333,-0.9833333333333333
0.48333333333333334,7,Human,0,0,0,22,-0.48333333333333334,-0.48333333333333334
0.5666666666666667,8,Human,0,0,0,49,-0.5666666666666667,-0.5666666666666667
0.8666666666666667,9,Human,1,0,0,18,-0.8666666666666667,-0.8666666666666667
