travel_time,id,kind,action,origin,destination,start_time,reward,reward_right
2.3666666666666667,0,Human,2,1,1,1401,-2.3666666666666667,-2.3666666666666667
3.933333333333333,1,Human,2,0,0,2317,-3.933333333333333,-3.933333333333333
3.05,2,Human,0,0,0,1220,-3.05,-3.05
2.25,3,Human,0,0,1,1610,-2.25,-2.25
2.1666666666666665,5,Human,2,0,1,2821,-2.1666666666666665,-2.1666666666666665
1.7833333333333334,6,Human,0,0,1,1698,-1.7833333333333334,-1.7833333333333334
3.0,8,Human,1,0,0,2887,-3.0,-3.0
2.0166666666666666,9,Human,2,0,1,1762,-2.0166666666666666,-2.0166666666666666
2.65,11,Human,0,1,1,1731,-2.65,-2.65
1.9,13,Human,0,0,1,2379,-1.9,-1.9
4.166666666666667,14,Human,1,1,0,1581,-4.166666666666667,-4.166666666666667
4.45,15,Human,0,1,0,2161,-4.45,-4.45
4.966666666666667,16,Human,1,1,0,1799,-4.966666666666667,-4.966666666666667
1.9833333333333334,17,Human,0,0,1,2408,-1.9833333333333334,-1.9833333333333334
4.233333333333333,19,Human,1,1,0,1009,-4.233333333333333,-4.233333333333333
4.116666666666666,20,Human,2,1,0,2240,-4.116666666666666,-4.116666666666666
5.283333333333333,21,Human,1,1,0,1778,-5.283333333333333,-5.283333333333333
4.483333333333333,22,Human,1,1,0,1602,-4.483333333333333,-4.483333333333333
