detid,flow
-186623965#14,33
-186623965#16,12
-22917421#14,20
-23283579#0,25
-23283579#1,25
-23648008#0,53
-23648008#1,1
-25166682#0,53
-28675510#3,9
-28675510#5,7
-297047307,64
-297047310#2,27
-297047310#3,27
-309744810#1,4
-4936412,47
-8716807#0,14
-8716807#4,14
-8716807#5,14
133081985#0,22
133081985#1,22
133081987#0,47
133081987#3,51
186623965#15,0
22917421#5,7
22959550#0,26
22959550#1,12
22959550#3,12
22959550#4,12
23283435#1,25
23647126,14
23648008#1,1
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,61
28675510#1,82
28675510#4,20
297047310#4,11
