travel_time,id,kind,action,origin,destination,start_time,reward,reward_right
0.5833333333333334,0,Human,0,0,0,322,-0.5833333333333334,-0.5833333333333334
1.1333333333333333,1,Human,0,0,0,190,-1.1333333333333333,-1.1333333333333333
0.6,2,Human,0,0,0,436,-0.6,-0.6
1.2166666666666666,3,Human,0,0,0,76,-1.2166666666666666,-1.2166666666666666
1.1333333333333333,4,Human,1,0,0,498,-1.1333333333333333,-1.1333333333333333
1.6333333333333333,5,Human,0,0,0,145,-1.6333333333333333,-1.6333333333333333
0.9666666666666667,6,Human,1,0,0,374,-0.9666666666666667,-0.9666666666666667
0.9666666666666667,7,Human,1,0,0,291,-0.9666666666666667,-0.9666666666666667
0.6666666666666666,8,Human,0,0,0,489,-0.6666666666666666,-0.6666666666666666
0.95,9,Human,1,0,0,129,-0.95,-0.95
1.25,10,Human,0,0,0,221,-1.25,-1.25
0.8833333333333333,11,Human,1,0,0,342,-0.8833333333333333,-0.8833333333333333
0.9666666666666667,12,Human,1,0,0,108,-0.9666666666666667,-0.9666666666666667
0.5166666666666667,13,Human,0,0,0,357,-0.5166666666666667,-0.5166666666666667
0.9166666666666666,14,Human,1,0,0,265,-0.9166666666666666,-0.9166666666666666
2.066666666666667,15,Human,0,0,0,76,-2.066666666666667,-2.066666666666667
1.0333333333333334,16,Human,0,0,0,290,-1.0333333333333334,-1.0333333333333334
0.9166666666666666,17,Human,1,0,0,402,-0.9166666666666666,-0.9166666666666666
1.05,18,Human,1,0,0,154,-1.05,-1.05
1.1333333333333333,19,Human,1,0,0,489,-1.1333333333333333,-1.1333333333333333
1.2,20,Human,0,0,0,75,-1.2,-1.2
1.0166666666666666,21,Human,1,0,0,384,-1.0166666666666666,-1.0166666666666666
0.95,22,Human,1,0,0,220,-0.95,-0.95
0.9666666666666667,23,Human,1,0,0,167,-0.9666666666666667,-0.9666666666666667
0.9,24,Human,1,0,0,432,-0.9,-0.9
0.4666666666666667,25,Human,0,0,0,11,-0.4666666666666667,-0.4666666666666667
0.8833333333333333,26,Human,1,0,0,289,-0.8833333333333333,-0.8833333333333333
0.48333333333333334,27,Human,0,0,0,481,-0.48333333333333334,-0.48333333333333334
0.85,28,Human,1,0,0,102,-0.85,-0.85
0.9,29,Human,1,0,0,233,-0.9,-0.9
0.9,30,Human,1,0,0,488,-0.9,-0.9
1.2666666666666666,31,Human,0,0,0,176,-1.2666666666666666,-1.2666666666666666
1.1833333333333333,32,Human,1,0,0,499,-1.1833333333333333,-1.1833333333333333
0.9,33,Human,1,0,0,90,-0.9,-0.9
0.9,34,Human,0,0,0,245,-0.9,-0.9
0.48333333333333334,35,Human,0,0,0,473,-0.48333333333333334,-0.48333333333333334
0.95,36,Human,1,0,0,377,-0.95,-0.95
0.9,37,Human,1,0,0,143,-0.9,-0.9
0.9333333333333333,38,Human,1,0,0,350,-0.9333333333333333,-0.9333333333333333
0.8666666666666667,39,Human,1,0,0,65,-0.8666666666666667,-0.8666666666666667
1.2666666666666666,40,Human,0,0,0,218,-1.2666666666666666,-1.2666666666666666
0.55,41,Human,0,0,0,337,-0.55,-0.55
0.95,42,Human,1,0,0,123,-0.95,-0.95
0.85,43,Human,0,0,0,413,-0.85,-0.85
0.9333333333333333,44,Human,1,0,0,269,-0.9333333333333333,-0.9333333333333333
0.55,45,Human,0,0,0,380,-0.55,-0.55
0.95,46,Human,1,0,0,149,-0.95,-0.95
0.6166666666666667,47,Human,0,0,0,438,-0.6166666666666667,-0.6166666666666667
1.1833333333333333,48,Human,0,0,0,227,-1.1833333333333333,-1.1833333333333333
0.95,49,Human,1,0,0,35,-0.95,-0.95
1.3833333333333333,50,Human,0,0,0,494,-1.3833333333333333,-1.3833333333333333
1.0,51,Human,1,0,0,118,-1.0,-1.0
0.9833333333333333,52,Human,1,0,0,365,-0.9833333333333333,-0.9833333333333333
0.8833333333333333,53,Human,1,0,0,179,-0.8833333333333333,-0.8833333333333333
1.05,54,Human,0,0,0,292,-1.05,-1.05
1.6,55,Human,0,0,0,150,-1.6,-1.6
0.7166666666666667,56,Human,0,0,0,426,-0.7166666666666667,-0.7166666666666667
0.9166666666666666,57,Human,1,0,0,235,-0.9166666666666666,-0.9166666666666666
1.15,58,Human,0,0,0,392,-1.15,-1.15
2.433333333333333,59,Human,0,0,0,94,-2.433333333333333,-2.433333333333333
1.05,60,Human,1,0,0,269,-1.05,-1.05
1.1666666666666667,61,Human,1,0,0,489,-1.1666666666666667,-1.1666666666666667
0.9666666666666667,62,Human,1,0,0,168,-0.9666666666666667,-0.9666666666666667
0.48333333333333334,63,Human,0,0,0,334,-0.48333333333333334,-0.48333333333333334
0.85,64,Human,1,0,0,59,-0.85,-0.85
0.5666666666666667,65,Human,0,0,0,278,-0.5666666666666667,-0.5666666666666667
1.1333333333333333,66,Human,0,0,0,395,-1.1333333333333333,-1.1333333333333333
1.4666666666666666,67,Human,0,0,0,162,-1.4666666666666666,-1.4666666666666666
0.9666666666666667,68,Human,1,0,0,488,-0.9666666666666667,-0.9666666666666667
0.8666666666666667,69,Human,1,0,0,135,-0.8666666666666667,-0.8666666666666667
0.7166666666666667,70,Human,0,0,0,423,-0.7166666666666667,-0.7166666666666667
0.6333333333333333,71,Human,0,0,0,270,-0.6333333333333333,-0.6333333333333333
0.55,72,Human,0,0,0,378,-0.55,-0.55
1.1333333333333333,73,Human,0,0,0,188,-1.1333333333333333,-1.1333333333333333
1.1833333333333333,74,Human,1,0,0,491,-1.1833333333333333,-1.1833333333333333
1.05,75,Human,1,0,0,72,-1.05,-1.05
