origins,destinations,path,free_flow_time
0,0,"B3A3,A3A2,A2A1,A1A0,A0B0",1.3093352531797458
0,0,"B3A3,A3A2,A2B2,B2B1,B1A1,A1A0,A0B0",1.9640028797696185
0,0,"B3A3,A3A2,A2B2,B2C2,C2C1,C1B1,B1A1,A1A0,A0B0",2.6186705063594915
1,0,"D0C0,C0C1,C1B1,B1A1,A1A0,A0B0",1.6366690664746821
1,0,"D0C0,C0B0,B0B1,B1A1,A1A0,A0B0",1.6366690664746821
1,0,"D0C0,C0C1,C1C2,C2B2,B2B1,B1A1,A1A0,A0B0",2.291336693064555
0,1,"B3A3,A3A2,A2B2,B2C2,C2D2,D2D3,D3C3",1.9640028797696185
0,1,"B3A3,A3A2,A2A1,A1B1,B1C1,C1C2,C2D2,D2D3,D3C3",2.6186705063594915
0,1,"B3A3,A3A2,A2A1,A1B1,B1B2,B2C2,C2D2,D2D3,D3C3",2.6186705063594915
1,1,"D0C0,C0C1,C1C2,C2D2,D2D3,D3C3",1.6366690664746821
1,1,"D0C0,C0C1,C1D1,D1D2,D2D3,D3C3",1.6366690664746821
1,1,"D0C0,C0C1,C1B1,B1B2,B2C2,C2D2,D2D3,D3C3",2.291336693064555
